"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-grsmn","loadgenerator-7b495c87ff-pb9gv","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 10:22:36,0.00195,0.00195,0.000334,0.000739,0.00164,0.000312,0.00485,,0.000348,0.000295,0.00155,0.00207,0.000371
2024-05-29 10:22:38,0.00194,0.00196,0.000334,0.000739,0.00164,0.000312,0.00481,0.00470,0.000348,0.000285,0.00155,0.00208,0.000360
2024-05-29 10:22:40,0.00194,0.00196,0.000334,0.000739,0.00164,0.000312,0.00478,0.00514,0.000348,0.000283,0.00150,0.00215,0.000358
2024-05-29 10:22:42,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00474,0.00559,0.000339,0.000350,0.00158,0.00215,0.000392
2024-05-29 10:22:44,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00471,0.00604,0.000339,0.000350,0.00153,0.00215,0.000392
2024-05-29 10:22:46,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00468,0.00648,0.000339,0.000350,0.00158,0.00215,0.000392
2024-05-29 10:22:48,0.00186,0.00196,0.000386,0.000716,0.00164,0.000479,0.00464,0.00693,0.000327,0.000350,0.00158,0.00215,0.000392
2024-05-29 10:22:50,0.00193,0.00196,0.000386,0.00357,0.00164,0.000479,0.00449,0.00738,0.000546,0.000350,0.00158,0.00217,0.000392
2024-05-29 10:22:52,0.00204,0.00196,0.000386,0.00369,0.00168,0.000477,0.00463,0.00783,0.000546,0.000350,0.00158,0.00217,0.000392
2024-05-29 10:22:54,0.00204,0.00295,0.000386,0.00369,0.00168,0.000477,0.00459,0.00827,0.000564,0.000350,0.00191,0.00217,0.000392
2024-05-29 10:22:56,0.00204,0.00295,0.000386,0.00369,0.00168,0.000477,0.00456,0.00598,0.000564,0.000355,0.00191,0.00216,0.000392
2024-05-29 10:22:58,0.00204,0.00295,0.000386,0.00369,0.00161,0.000477,0.00452,0.00628,0.000564,0.000343,0.00191,0.00216,0.000380
2024-05-29 10:23:00,0.00204,0.00295,0.000660,0.00369,0.00162,0.00237,0.00449,0.00659,0.000564,0.000341,0.00191,0.00216,0.000520
2024-05-29 10:23:02,0.00204,0.00295,0.000660,0.00369,0.00174,0.00237,0.00445,0.00689,0.000564,0.00119,0.00192,0.00216,0.000520
2024-05-29 10:23:04,0.00226,0.00299,0.000660,0.00378,0.00174,0.00237,0.00442,0.00720,0.000564,0.00119,0.00239,0.00223,0.000530
2024-05-29 10:23:06,0.00227,0.00458,0.000660,0.0114,0.00174,0.00237,0.00438,0.00751,0.00155,0.00123,0.00239,0.00223,0.000530
2024-05-29 10:23:08,0.00227,0.00458,0.000660,0.0117,0.00174,0.00237,0.00438,0.00781,0.00161,0.00123,0.00239,0.00223,0.000530
2024-05-29 10:23:10,0.00227,0.00458,0.000660,0.0117,0.00174,0.00244,0.00435,0.00747,0.00161,0.00123,0.00239,0.00223,0.000530
2024-05-29 10:23:12,0.00227,0.00458,0.000967,0.0117,0.00181,0.00252,0.00431,0.00775,0.00161,0.00123,0.00239,0.00223,0.000530
2024-05-29 10:23:14,0.00227,0.00458,0.000967,0.0117,0.00181,0.00495,0.00428,0.00803,0.00161,0.00123,0.00239,0.00223,0.000530
2024-05-29 10:23:16,0.00249,0.00458,0.000967,0.0117,0.00181,0.00495,0.00424,0.00831,0.00161,0.00123,0.00299,0.00223,0.000708
2024-05-29 10:23:18,0.00243,0.00618,0.000967,0.0117,0.00176,0.00495,0.00421,0.00859,0.00212,0.00124,0.00299,0.00228,0.000725
2024-05-29 10:23:20,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00417,0.00887,0.00218,0.00250,0.00299,0.00228,0.000725
2024-05-29 10:23:22,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00414,0.00915,0.00218,0.00250,0.00299,0.00228,0.000725
2024-05-29 10:23:24,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.00413,0.00943,0.00218,0.00250,0.00299,0.00228,0.000725
2024-05-29 10:23:26,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.00410,0.00943,0.00218,0.00250,0.00354,0.00228,0.000725
2024-05-29 10:23:28,0.00251,0.00618,0.00132,0.0193,0.00176,0.00509,0.00406,0.00970,0.00218,0.00250,0.00354,0.00228,0.000725
2024-05-29 10:23:30,0.00251,0.00816,0.00132,0.0249,0.00175,0.00810,0.00402,0.00998,0.00286,0.00250,0.00354,0.00228,0.000723
2024-05-29 10:23:32,0.00243,0.00845,0.00132,0.0249,0.00193,0.00838,0.00399,0.0102,0.00298,0.00256,0.00363,0.00228,0.000725
2024-05-29 10:23:34,0.00283,0.00845,0.00132,0.0249,0.00193,0.00838,0.00395,0.0105,0.00298,0.00367,0.00363,0.00235,0.00101
2024-05-29 10:23:36,0.00286,0.00845,0.00132,0.0249,0.00195,0.00838,0.00399,0.0108,0.00298,0.00367,0.00363,0.00229,0.00101
2024-05-29 10:23:38,0.00286,0.00845,0.00132,0.0249,0.00195,0.00838,0.00395,0.0111,0.00298,0.00367,0.00363,0.00236,0.00101
2024-05-29 10:23:40,0.00286,0.00845,0.00156,0.0263,0.00195,0.00838,0.00392,0.0113,0.00298,0.00367,0.00363,0.00236,0.00101
2024-05-29 10:23:42,0.00286,0.00845,0.00156,0.0263,0.00195,0.00838,0.00388,0.0116,0.00298,0.00367,0.00352,0.00236,0.00101
2024-05-29 10:23:44,0.00286,0.00845,0.00156,0.0319,0.00195,0.0103,0.00384,0.0104,0.00298,0.00438,0.00441,0.00236,0.00101
2024-05-29 10:23:46,0.00286,0.00830,0.00163,0.0319,0.00196,0.0103,0.00381,0.0118,0.00362,0.00438,0.00444,0.00240,0.00101
2024-05-29 10:23:48,0.00277,0.0109,0.00163,0.0319,0.00201,0.0106,0.00377,0.0121,0.00362,0.00438,0.00457,0.00240,0.00101
2024-05-29 10:23:50,0.00275,0.0113,0.00163,0.0319,0.00201,0.0110,0.00374,0.0123,0.00362,0.00462,0.00457,0.00240,0.00120
2024-05-29 10:23:52,0.00331,0.0113,0.00163,0.0319,0.00201,0.0110,0.00374,0.0126,0.00362,0.00462,0.00457,0.00240,0.00120
