"Time","default"
2024-05-29 10:22:36,0.00137
2024-05-29 10:22:38,0.00176
2024-05-29 10:22:40,0.00179
2024-05-29 10:22:42,0.00185
2024-05-29 10:22:44,0.00188
2024-05-29 10:22:46,0.00192
2024-05-29 10:22:48,0.00195
2024-05-29 10:22:50,0.00224
2024-05-29 10:22:52,0.00231
2024-05-29 10:22:54,0.00246
2024-05-29 10:22:56,0.00226
2024-05-29 10:22:58,0.00228
2024-05-29 10:23:00,0.00249
2024-05-29 10:23:02,0.00260
2024-05-29 10:23:04,0.00269
2024-05-29 10:23:06,0.00357
2024-05-29 10:23:08,0.00363
2024-05-29 10:23:10,0.00360
2024-05-29 10:23:12,0.00366
2024-05-29 10:23:14,0.00388
2024-05-29 10:23:16,0.00399
2024-05-29 10:23:18,0.00418
2024-05-29 10:23:20,0.00487
2024-05-29 10:23:22,0.00489
2024-05-29 10:23:24,0.00500
2024-05-29 10:23:26,0.00504
2024-05-29 10:23:28,0.00510
2024-05-29 10:23:30,0.00605
2024-05-29 10:23:32,0.00615
2024-05-29 10:23:34,0.00633
2024-05-29 10:23:36,0.00635
2024-05-29 10:23:38,0.00638
2024-05-29 10:23:40,0.00653
2024-05-29 10:23:42,0.00654
2024-05-29 10:23:44,0.00719
2024-05-29 10:23:46,0.00736
2024-05-29 10:23:48,0.00763
2024-05-29 10:23:50,0.00775
2024-05-29 10:23:52,0.00782
2024-05-29 10:23:54,0.00783
2024-05-29 10:23:56,0.00841
2024-05-29 10:23:58,0.00858
2024-05-29 10:24:00,0.00900
2024-05-29 10:24:02,0.00904
2024-05-29 10:24:04,0.00907
2024-05-29 10:24:06,0.00933
2024-05-29 10:24:08,0.00978
2024-05-29 10:24:10,0.0100
2024-05-29 10:24:12,0.0101
2024-05-29 10:24:14,0.0103
2024-05-29 10:24:16,0.0105
2024-05-29 10:24:18,0.0107
2024-05-29 10:24:20,0.0108
2024-05-29 10:24:22,0.0112
2024-05-29 10:24:24,0.0114
2024-05-29 10:24:26,0.0116
2024-05-29 10:24:28,0.0117
2024-05-29 10:24:30,0.0120
2024-05-29 10:24:32,0.0127
2024-05-29 10:24:34,0.0128
2024-05-29 10:24:36,0.0129
2024-05-29 10:24:38,0.0129
2024-05-29 10:24:40,0.0130
2024-05-29 10:24:42,0.0132
2024-05-29 10:24:44,0.0133
2024-05-29 10:24:46,0.0141
2024-05-29 10:24:48,0.0141
2024-05-29 10:24:50,0.0141
2024-05-29 10:24:52,0.0143
2024-05-29 10:24:54,0.0143
2024-05-29 10:24:56,0.0146
2024-05-29 10:24:58,0.0146
