"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 10:22:36,0
2024-05-29 10:22:38,0
2024-05-29 10:22:40,0
2024-05-29 10:22:42,0
2024-05-29 10:22:44,0
2024-05-29 10:22:46,0
2024-05-29 10:22:48,0
2024-05-29 10:22:50,0
2024-05-29 10:22:52,0
2024-05-29 10:22:54,0
2024-05-29 10:22:56,0
2024-05-29 10:22:58,0
2024-05-29 10:23:00,0
2024-05-29 10:23:02,0
2024-05-29 10:23:04,0
2024-05-29 10:23:06,0
2024-05-29 10:23:08,0
2024-05-29 10:23:10,0
2024-05-29 10:23:12,0
2024-05-29 10:23:14,0
2024-05-29 10:23:16,0
2024-05-29 10:23:18,0
2024-05-29 10:23:20,0
2024-05-29 10:23:22,0
2024-05-29 10:23:24,0
2024-05-29 10:23:26,0
2024-05-29 10:23:28,0
2024-05-29 10:23:30,0
2024-05-29 10:23:32,0
2024-05-29 10:23:34,0
2024-05-29 10:23:36,0
2024-05-29 10:23:38,0
2024-05-29 10:23:40,0
2024-05-29 10:23:42,0
2024-05-29 10:23:44,0
2024-05-29 10:23:46,0
2024-05-29 10:23:48,0
2024-05-29 10:23:50,0
2024-05-29 10:23:52,0
2024-05-29 10:23:54,0
2024-05-29 10:23:56,0
2024-05-29 10:23:58,0
2024-05-29 10:24:00,0
2024-05-29 10:24:02,0
2024-05-29 10:24:04,0
2024-05-29 10:24:06,0
2024-05-29 10:24:08,0
2024-05-29 10:24:10,0
2024-05-29 10:24:12,0
2024-05-29 10:24:14,0
2024-05-29 10:24:16,0
2024-05-29 10:24:18,0
2024-05-29 10:24:20,0
2024-05-29 10:24:22,0
2024-05-29 10:24:24,0
2024-05-29 10:24:26,0
2024-05-29 10:24:28,0
2024-05-29 10:24:30,0
2024-05-29 10:24:32,0
2024-05-29 10:24:34,0
2024-05-29 10:24:36,0
2024-05-29 10:24:38,0
2024-05-29 10:24:40,0
2024-05-29 10:24:42,0
2024-05-29 10:24:44,0
2024-05-29 10:24:46,0
2024-05-29 10:24:48,0
2024-05-29 10:24:50,0
2024-05-29 10:24:52,0
2024-05-29 10:24:54,0
2024-05-29 10:24:56,0
2024-05-29 10:24:58,0
2024-05-29 10:25:00,0
2024-05-29 10:25:02,0
2024-05-29 10:25:04,0
2024-05-29 10:25:06,0
2024-05-29 10:25:08,0
2024-05-29 10:25:10,0
2024-05-29 10:25:12,0
2024-05-29 10:25:14,0
2024-05-29 10:25:16,0
2024-05-29 10:25:18,0
2024-05-29 10:25:20,0
2024-05-29 10:25:22,0
2024-05-29 10:25:24,0
2024-05-29 10:25:26,0
2024-05-29 10:25:28,0
2024-05-29 10:25:30,0
2024-05-29 10:25:32,0
2024-05-29 10:25:34,0
2024-05-29 10:25:36,0
2024-05-29 10:25:38,0
2024-05-29 10:25:40,0
2024-05-29 10:25:42,0
2024-05-29 10:25:44,0
2024-05-29 10:25:46,0
2024-05-29 10:25:48,0
2024-05-29 10:25:50,0
2024-05-29 10:25:52,0
2024-05-29 10:25:54,0
2024-05-29 10:25:56,0
2024-05-29 10:25:58,0
2024-05-29 10:26:00,0
2024-05-29 10:26:02,0
2024-05-29 10:26:04,0
2024-05-29 10:26:06,0
2024-05-29 10:26:08,0
2024-05-29 10:26:10,0
2024-05-29 10:26:12,0
2024-05-29 10:26:14,0
2024-05-29 10:26:16,0
2024-05-29 10:26:18,0
2024-05-29 10:26:20,0
2024-05-29 10:26:22,0
2024-05-29 10:26:24,0
2024-05-29 10:26:26,0
2024-05-29 10:26:28,0
2024-05-29 10:26:30,0
2024-05-29 10:26:32,0
2024-05-29 10:26:34,0
2024-05-29 10:26:36,0
2024-05-29 10:26:38,0
2024-05-29 10:26:40,0
2024-05-29 10:26:42,0
2024-05-29 10:26:44,0
2024-05-29 10:26:46,0
2024-05-29 10:26:48,0
2024-05-29 10:26:50,0
2024-05-29 10:26:52,0
2024-05-29 10:26:54,27.8
2024-05-29 10:26:56,27.8
2024-05-29 10:26:58,55.6
2024-05-29 10:27:00,56.6
2024-05-29 10:27:02,57.9
2024-05-29 10:27:04,57.9
2024-05-29 10:27:06,57.9
2024-05-29 10:27:08,57.9
2024-05-29 10:27:10,59.1
2024-05-29 10:27:12,57.4
2024-05-29 10:27:14,56.5
2024-05-29 10:27:16,57.2
2024-05-29 10:27:18,57.2
2024-05-29 10:27:20,57.2
2024-05-29 10:27:22,58.1
2024-05-29 10:27:24,58.3
2024-05-29 10:27:26,59.3
2024-05-29 10:27:28,57.2
2024-05-29 10:27:30,56.3
2024-05-29 10:27:32,56.3
2024-05-29 10:27:34,57.2
2024-05-29 10:27:36,58.1
2024-05-29 10:27:38,58.1
2024-05-29 10:27:40,57.0
2024-05-29 10:27:42,57.9
2024-05-29 10:27:44,57.1
2024-05-29 10:27:46,57.2
2024-05-29 10:27:48,57.2
2024-05-29 10:27:50,57.2
2024-05-29 10:27:52,58.5
2024-05-29 10:27:54,57.3
2024-05-29 10:27:56,56.3
2024-05-29 10:27:58,56.3
2024-05-29 10:28:00,56.3
2024-05-29 10:28:02,57.2
2024-05-29 10:28:04,59.3
2024-05-29 10:28:06,58.0
2024-05-29 10:28:08,477
2024-05-29 10:28:10,477
2024-05-29 10:28:12,476
2024-05-29 10:28:14,488
2024-05-29 10:28:16,931
2024-05-29 10:28:18,1352
2024-05-29 10:28:20,1374
2024-05-29 10:28:22,1372
2024-05-29 10:28:24,1372
2024-05-29 10:28:26,1355
2024-05-29 10:28:28,1812
2024-05-29 10:28:30,1816
2024-05-29 10:28:32,1830
2024-05-29 10:28:34,1846
2024-05-29 10:28:36,1846
2024-05-29 10:28:38,1830
2024-05-29 10:28:40,1842
2024-05-29 10:28:42,1845
