"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 10:22:36,0
2024-05-29 10:22:38,0
2024-05-29 10:22:40,0
2024-05-29 10:22:42,0
2024-05-29 10:22:44,0
2024-05-29 10:22:46,0
2024-05-29 10:22:48,0
2024-05-29 10:22:50,0
2024-05-29 10:22:52,0
2024-05-29 10:22:54,0
2024-05-29 10:22:56,0
2024-05-29 10:22:58,0
2024-05-29 10:23:00,0
2024-05-29 10:23:02,0
2024-05-29 10:23:04,70.3
2024-05-29 10:23:06,140
2024-05-29 10:23:08,140
2024-05-29 10:23:10,140
2024-05-29 10:23:12,144
2024-05-29 10:23:14,148
2024-05-29 10:23:16,148
2024-05-29 10:23:18,144
2024-05-29 10:23:20,144
2024-05-29 10:23:22,142
2024-05-29 10:23:24,140
2024-05-29 10:23:26,142
2024-05-29 10:23:28,142
2024-05-29 10:23:30,146
2024-05-29 10:23:32,146
2024-05-29 10:23:34,139
2024-05-29 10:23:36,141
2024-05-29 10:23:38,143
2024-05-29 10:23:40,143
2024-05-29 10:23:42,143
2024-05-29 10:23:44,144
2024-05-29 10:23:46,141
2024-05-29 10:23:48,141
2024-05-29 10:23:50,141
2024-05-29 10:23:52,141
2024-05-29 10:23:54,143
2024-05-29 10:23:56,145
2024-05-29 10:23:58,147
2024-05-29 10:24:00,147
2024-05-29 10:24:02,143
2024-05-29 10:24:04,143
2024-05-29 10:24:06,143
2024-05-29 10:24:08,143
2024-05-29 10:24:10,140
2024-05-29 10:24:12,142
2024-05-29 10:24:14,146
2024-05-29 10:24:16,146
2024-05-29 10:24:18,144
2024-05-29 10:24:20,143
2024-05-29 10:24:22,145
2024-05-29 10:24:24,141
2024-05-29 10:24:26,141
2024-05-29 10:24:28,144
2024-05-29 10:24:30,146
2024-05-29 10:24:32,146
2024-05-29 10:24:34,146
2024-05-29 10:24:36,143
2024-05-29 10:24:38,144
2024-05-29 10:24:40,143
2024-05-29 10:24:42,141
2024-05-29 10:24:44,141
2024-05-29 10:24:46,144
2024-05-29 10:24:48,144
2024-05-29 10:24:50,147
2024-05-29 10:24:52,142
2024-05-29 10:24:54,140
2024-05-29 10:24:56,140
2024-05-29 10:24:58,142
2024-05-29 10:25:00,144
2024-05-29 10:25:02,147
2024-05-29 10:25:04,149
2024-05-29 10:25:06,149
2024-05-29 10:25:08,144
2024-05-29 10:25:10,142
2024-05-29 10:25:12,142
2024-05-29 10:25:14,142
2024-05-29 10:25:16,142
2024-05-29 10:25:18,145
2024-05-29 10:25:20,149
2024-05-29 10:25:22,141
2024-05-29 10:25:24,141
2024-05-29 10:25:26,141
2024-05-29 10:25:28,141
2024-05-29 10:25:30,141
2024-05-29 10:25:32,144
2024-05-29 10:25:34,147
2024-05-29 10:25:36,149
2024-05-29 10:25:38,143
2024-05-29 10:25:40,142
2024-05-29 10:25:42,142
2024-05-29 10:25:44,144
2024-05-29 10:25:46,144
2024-05-29 10:25:48,144
2024-05-29 10:25:50,144
2024-05-29 10:25:52,148
2024-05-29 10:25:54,145
2024-05-29 10:25:56,144
2024-05-29 10:25:58,140
2024-05-29 10:26:00,142
2024-05-29 10:26:02,144
2024-05-29 10:26:04,144
2024-05-29 10:26:06,148
2024-05-29 10:26:08,145
2024-05-29 10:26:10,145
2024-05-29 10:26:12,145
2024-05-29 10:26:14,140
2024-05-29 10:26:16,140
2024-05-29 10:26:18,143
2024-05-29 10:26:20,146
2024-05-29 10:26:22,146
2024-05-29 10:26:24,142
2024-05-29 10:26:26,142
2024-05-29 10:26:28,144
2024-05-29 10:26:30,141
2024-05-29 10:26:32,141
2024-05-29 10:26:34,143
2024-05-29 10:26:36,146
2024-05-29 10:26:38,146
2024-05-29 10:26:40,148
2024-05-29 10:26:42,148
2024-05-29 10:26:44,142
2024-05-29 10:26:46,142
2024-05-29 10:26:48,142
2024-05-29 10:26:50,142
2024-05-29 10:26:52,145
2024-05-29 10:26:54,145
2024-05-29 10:26:56,139
2024-05-29 10:26:58,143
2024-05-29 10:27:00,143
2024-05-29 10:27:02,143
2024-05-29 10:27:04,145
2024-05-29 10:27:06,147
2024-05-29 10:27:08,147
2024-05-29 10:27:10,147
2024-05-29 10:27:12,141
2024-05-29 10:27:14,139
2024-05-29 10:27:16,142
2024-05-29 10:27:18,142
2024-05-29 10:27:20,142
2024-05-29 10:27:22,147
2024-05-29 10:27:24,147
2024-05-29 10:27:26,143
2024-05-29 10:27:28,145
2024-05-29 10:27:30,141
2024-05-29 10:27:32,141
2024-05-29 10:27:34,141
2024-05-29 10:27:36,141
2024-05-29 10:27:38,141
2024-05-29 10:27:40,146
2024-05-29 10:27:42,146
2024-05-29 10:27:44,146
2024-05-29 10:27:46,143
2024-05-29 10:27:48,142
2024-05-29 10:27:50,70.4
2024-05-29 10:27:52,70.4
2024-05-29 10:27:54,70.4
2024-05-29 10:27:56,0
2024-05-29 10:27:58,0
2024-05-29 10:28:00,0
2024-05-29 10:28:02,0
2024-05-29 10:28:04,0
2024-05-29 10:28:06,0
2024-05-29 10:28:08,0
2024-05-29 10:28:10,0
2024-05-29 10:28:12,0
2024-05-29 10:28:14,0
2024-05-29 10:28:16,196
2024-05-29 10:28:18,196
2024-05-29 10:28:20,196
2024-05-29 10:28:22,196
2024-05-29 10:28:24,402
2024-05-29 10:28:26,402
2024-05-29 10:28:28,402
2024-05-29 10:28:30,393
2024-05-29 10:28:32,393
2024-05-29 10:28:34,409
2024-05-29 10:28:36,409
2024-05-29 10:28:38,409
2024-05-29 10:28:40,397
2024-05-29 10:28:42,388
