"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-grsmn","loadgenerator-7b495c87ff-pb9gv","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 10:22:36,113,136,180,173,312,845,5388,154,148,166,325,70.4,224
2024-05-29 10:22:38,114,137,180,173,319,845,5350,170,148,165,325,70.4,224
2024-05-29 10:22:40,114,137,181,173,319,845,5311,185,148,165,325,72.1,224
2024-05-29 10:22:42,114,137,180,167,321,845,5272,200,148,165,325,72.1,224
2024-05-29 10:22:44,114,137,180,173,321,814,5233,215,151,165,325,72.1,224
2024-05-29 10:22:46,114,132,180,173,321,1636,5259,230,151,165,354,72.1,224
2024-05-29 10:22:48,114,181,180,265,327,1636,5220,385,151,165,354,70.8,224
2024-05-29 10:22:50,114,181,180,265,327,1636,5180,409,153,566,354,70.8,224
2024-05-29 10:22:52,115,181,180,265,327,1636,5141,433,153,566,354,70.8,224
2024-05-29 10:22:54,152,184,292,265,327,1636,5102,457,153,566,354,70.8,224
2024-05-29 10:22:56,152,184,292,265,327,1636,5063,481,153,566,354,68.5,224
2024-05-29 10:22:58,152,184,300,265,327,4171,5023,505,165,566,354,103,282
2024-05-29 10:23:00,152,184,300,265,327,4325,4984,528,165,587,356,103,284
2024-05-29 10:23:02,152,184,300,643,327,4325,5009,552,165,587,356,103,284
2024-05-29 10:23:04,152,178,300,643,344,4325,4969,990,165,1807,528,103,284
2024-05-29 10:23:06,152,177,490,643,344,4325,4929,1031,165,1807,528,103,284
2024-05-29 10:23:08,152,455,490,643,347,4325,4890,1072,165,1807,528,103,284
2024-05-29 10:23:10,147,472,490,643,347,4325,4850,1113,165,1807,528,106,284
2024-05-29 10:23:12,234,472,490,643,347,4325,4810,1154,183,1807,528,106,341
2024-05-29 10:23:14,242,472,506,671,347,10180,4770,1195,183,1872,528,161,341
2024-05-29 10:23:16,242,472,506,1105,347,10180,4731,1236,183,1872,541,161,350
2024-05-29 10:23:18,242,472,506,1105,347,10718,4691,1277,183,1872,541,161,350
2024-05-29 10:23:20,242,472,506,1105,336,10718,4726,1631,185,1872,523,161,350
2024-05-29 10:23:22,242,472,751,1105,322,10718,4686,1681,185,3666,763,161,350
2024-05-29 10:23:24,242,749,751,1105,366,10718,4645,1732,185,3879,763,161,350
2024-05-29 10:23:26,242,749,751,1105,366,15362,4605,1783,185,3879,763,161,350
2024-05-29 10:23:28,235,775,751,1105,366,15362,4565,1833,209,3879,763,219,442
2024-05-29 10:23:30,236,775,782,1128,366,15362,4524,1884,206,3879,763,219,439
2024-05-29 10:23:32,338,775,782,1096,366,15362,4484,1935,207,3879,791,219,454
2024-05-29 10:23:34,338,775,782,1753,375,16166,4297,2228,214,3879,791,219,454
2024-05-29 10:23:36,338,775,988,1753,375,16166,4446,2284,214,3879,954,219,454
2024-05-29 10:23:38,338,809,988,1753,375,16166,4405,2341,214,3879,954,219,454
2024-05-29 10:23:40,338,1045,988,1753,375,16166,4364,2398,214,5363,954,219,504
2024-05-29 10:23:42,348,1045,988,1753,377,22945,4324,2455,214,5519,954,219,504
2024-05-29 10:23:44,348,1045,1007,1753,377,22945,4283,2512,231,5706,954,217,504
2024-05-29 10:23:46,348,1045,1014,1753,377,22945,4242,2733,231,5706,954,216,504
2024-05-29 10:23:48,348,1045,1150,1753,383,24061,4201,2794,231,5706,954,298,507
2024-05-29 10:23:50,435,1045,1150,2375,383,24061,4160,2854,235,5706,991,298,522
2024-05-29 10:23:52,454,1045,1150,2375,388,24061,4220,2915,235,6828,957,298,522
2024-05-29 10:23:54,454,1316,1150,2375,388,24061,4179,2975,235,6828,1219,313,522
2024-05-29 10:23:56,454,1316,1150,2375,388,24061,4137,3036,235,6828,1219,313,506
2024-05-29 10:23:58,454,1316,1150,2375,388,29737,4095,3285,235,6828,1219,313,603
2024-05-29 10:24:00,454,1316,1150,2375,388,29737,4053,3349,248,7211,1219,313,603
2024-05-29 10:24:02,511,1316,1150,2375,388,30551,4011,3413,248,7211,1219,313,603
2024-05-29 10:24:04,511,1316,1174,2440,388,30763,3969,3477,248,7211,1219,381,623
2024-05-29 10:24:06,511,1316,1461,3078,409,31761,3928,3541,248,7211,1257,381,623
2024-05-29 10:24:08,511,1349,1510,3078,400,31761,3961,3606,255,8812,1257,381,623
2024-05-29 10:24:10,521,1620,1510,3078,414,31761,3918,3827,255,8812,1467,381,623
2024-05-29 10:24:12,539,1672,1510,3078,414,31761,3875,3894,266,8812,1467,394,623
2024-05-29 10:24:14,539,1672,1510,3078,414,38650,3833,3961,266,8812,1467,394,604
