"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 10:22:36,8236
2024-05-29 10:22:38,8220
2024-05-29 10:22:40,8199
2024-05-29 10:22:42,8170
2024-05-29 10:22:44,8124
2024-05-29 10:22:46,9011
2024-05-29 10:22:48,9273
2024-05-29 10:22:50,9660
2024-05-29 10:22:52,9646
2024-05-29 10:22:54,9782
2024-05-29 10:22:56,9764
2024-05-29 10:22:58,12398
2024-05-29 10:23:00,12561
2024-05-29 10:23:02,12987
2024-05-29 10:23:04,14788
2024-05-29 10:23:06,14978
2024-05-29 10:23:08,15260
2024-05-29 10:23:10,15275
2024-05-29 10:23:12,15438
2024-05-29 10:23:14,21468
2024-05-29 10:23:16,21924
2024-05-29 10:23:18,22463
2024-05-29 10:23:20,22826
2024-05-29 10:23:22,25101
2024-05-29 10:23:24,25646
2024-05-29 10:23:26,30300
2024-05-29 10:23:28,30504
2024-05-29 10:23:30,30564
2024-05-29 10:23:32,30688
2024-05-29 10:23:34,32271
2024-05-29 10:23:36,32845
2024-05-29 10:23:38,32896
2024-05-29 10:23:40,34681
2024-05-29 10:23:42,41647
2024-05-29 10:23:44,41883
2024-05-29 10:23:46,42068
2024-05-29 10:23:48,43431
2024-05-29 10:23:50,44215
2024-05-29 10:23:52,45448
2024-05-29 10:23:54,46015
2024-05-29 10:23:56,46018
2024-05-29 10:23:58,51998
2024-05-29 10:24:00,52416
2024-05-29 10:24:02,53310
2024-05-29 10:24:04,53721
2024-05-29 10:24:06,55726
2024-05-29 10:24:08,57503
2024-05-29 10:24:10,58187
2024-05-29 10:24:12,58304
2024-05-29 10:24:14,65199
2024-05-29 10:24:16,65739
2024-05-29 10:24:18,66155
2024-05-29 10:24:20,66319
2024-05-29 10:24:22,67602
2024-05-29 10:24:24,70263
2024-05-29 10:24:26,70472
2024-05-29 10:24:28,75689
2024-05-29 10:24:30,75992
2024-05-29 10:24:32,76126
2024-05-29 10:24:34,76252
2024-05-29 10:24:36,77879
2024-05-29 10:24:38,78072
2024-05-29 10:24:40,81062
2024-05-29 10:24:42,81223
2024-05-29 10:24:44,80016
2024-05-29 10:24:46,86786
2024-05-29 10:24:48,87110
2024-05-29 10:24:50,87523
2024-05-29 10:24:52,88907
2024-05-29 10:24:54,91662
2024-05-29 10:24:56,91926
2024-05-29 10:24:58,95652
2024-05-29 10:25:00,95688
2024-05-29 10:25:02,95714
2024-05-29 10:25:04,97157
2024-05-29 10:25:06,98355
2024-05-29 10:25:08,100243
2024-05-29 10:25:10,102175
2024-05-29 10:25:12,102999
2024-05-29 10:25:14,106693
2024-05-29 10:25:16,106921
2024-05-29 10:25:18,107077
2024-05-29 10:25:20,108205
2024-05-29 10:25:22,108969
2024-05-29 10:25:24,112833
2024-05-29 10:25:26,112895
2024-05-29 10:25:28,116332
2024-05-29 10:25:30,116736
2024-05-29 10:25:32,116877
2024-05-29 10:25:34,117770
2024-05-29 10:25:36,118552
2024-05-29 10:25:38,122218
2024-05-29 10:25:40,122828
2024-05-29 10:25:42,122977
2024-05-29 10:25:44,120684
2024-05-29 10:25:46,124642
2024-05-29 10:25:48,127863
2024-05-29 10:25:50,127269
2024-05-29 10:25:52,127344
2024-05-29 10:25:54,127286
2024-05-29 10:25:56,127358
2024-05-29 10:25:58,127541
2024-05-29 10:26:00,131310
2024-05-29 10:26:02,127612
2024-05-29 10:26:04,126678
2024-05-29 10:26:06,126390
2024-05-29 10:26:08,126403
2024-05-29 10:26:10,126424
2024-05-29 10:26:12,130499
2024-05-29 10:26:14,131616
2024-05-29 10:26:16,131983
2024-05-29 10:26:18,129449
2024-05-29 10:26:20,127487
2024-05-29 10:26:22,125710
2024-05-29 10:26:24,125959
2024-05-29 10:26:26,125980
2024-05-29 10:26:28,130326
2024-05-29 10:26:30,131496
2024-05-29 10:26:32,132188
2024-05-29 10:26:34,135732
2024-05-29 10:26:36,136014
2024-05-29 10:26:38,137226
2024-05-29 10:26:40,138334
2024-05-29 10:26:42,138611
2024-05-29 10:26:44,144618
2024-05-29 10:26:46,145051
