"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-f2t9t","loadgenerator-7b495c87ff-rxzcq","loadgenerator-7b495c87ff-tjwsb","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 10:42:44,0.00236,0.00578,0.000881,0.0153,0.00197,0.00482,0.00572,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827
2024-05-29 10:42:46,0.00236,0.00578,0.000876,0.0148,0.00197,0.00459,0.00629,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827
2024-05-29 10:42:48,0.00230,0.00568,0.000876,0.0147,0.00195,0.00459,0.00686,0.00585,0.00917,0.00149,0.00206,0.00358,0.00226,0.000837
2024-05-29 10:42:50,0.00232,0.00568,0.000876,0.0147,0.00195,0.00459,0.00469,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837
2024-05-29 10:42:52,0.00238,0.00581,0.000911,0.0147,0.00195,0.00480,0.00505,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837
2024-05-29 10:42:54,0.00238,0.00581,0.000911,0.0147,0.00195,0.00480,0.00541,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852
2024-05-29 10:42:56,0.00238,0.00581,0.000981,0.0153,0.00195,0.00480,0.00576,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852
2024-05-29 10:42:58,0.00238,0.00581,0.000981,0.0153,0.00195,0.00480,0.00612,0.00585,0.00917,0.00172,0.00224,0.00355,0.00227,0.000852
2024-05-29 10:43:00,0.00238,0.00581,0.000981,0.0153,0.00195,0.00480,0.00647,0.00585,0.00917,0.00175,0.00224,0.00355,0.00228,0.000857
2024-05-29 10:43:02,0.00238,0.00611,0.000981,0.0153,0.00195,0.00480,0.00549,0.00585,0.00917,0.00180,0.00224,0.00355,0.00228,0.000857
2024-05-29 10:43:04,0.00238,0.00630,0.000981,0.0153,0.00189,0.00480,0.00549,0.00585,0.00917,0.00180,0.00229,0.00374,0.00228,0.000857
2024-05-29 10:43:06,0.00242,0.00630,0.000981,0.0184,0.00198,0.00589,0.00549,0.00585,0.00917,0.00180,0.00229,0.00374,0.00228,0.000857
2024-05-29 10:43:08,0.00243,0.00630,0.00113,0.0194,0.00205,0.00589,0.00549,0.00585,0.00917,0.00180,0.00229,0.00376,0.00228,0.000857
2024-05-29 10:43:10,0.00243,0.00630,0.00118,0.0194,0.00205,0.00589,0.00589,0.00585,0.00917,0.00180,0.00229,0.00376,0.00229,0.000857
2024-05-29 10:43:12,0.00243,0.00630,0.00118,0.0194,0.00205,0.00589,0.00614,0.00585,0.00917,0.00218,0.00272,0.00376,0.00232,0.000828
2024-05-29 10:43:14,0.00243,0.00630,0.00118,0.0194,0.00205,0.00589,0.00639,0.00585,0.00917,0.00218,0.00283,0.00376,0.00232,0.000957
2024-05-29 10:43:16,0.00243,0.00630,0.00118,0.0194,0.00205,0.00589,0.00665,0.00585,0.00917,0.00218,0.00283,0.00376,0.00232,0.000957
2024-05-29 10:43:18,0.00243,0.00652,0.00118,0.0194,0.00205,0.00589,0.00690,0.00585,0.00917,0.00226,0.00283,0.00376,0.00232,0.000957
2024-05-29 10:43:20,0.00243,0.00628,0.00118,0.0194,0.00205,0.00589,0.00694,0.00114,0.00917,0.00226,0.00283,0.00364,0.00232,0.000957
2024-05-29 10:43:22,0.00260,0.00764,0.00118,0.0194,0.00198,0.00785,0.00719,0.00111,0.00917,0.00226,0.00346,0.00440,0.00232,0.000957
2024-05-29 10:43:24,0.00263,0.00764,0.00119,0.0187,0.00194,0.00822,0.00743,0.00108,0.00917,0.00226,0.00346,0.00432,0.00232,0.000957
2024-05-29 10:43:26,0.00263,0.00764,0.00144,0.0270,0.00216,0.00822,0.00768,0.00105,0.00917,0.00226,0.00346,0.00435,0.00232,0.00106
2024-05-29 10:43:28,0.00263,0.00764,0.00144,0.0270,0.00216,0.00822,0.00792,0.00101,0.00917,0.00228,0.00364,0.00449,0.00225,0.00107
2024-05-29 10:43:30,0.00263,0.00764,0.00144,0.0270,0.00216,0.00822,0.00817,0.000982,0.00917,0.00227,0.00364,0.00449,0.00239,0.00107
2024-05-29 10:43:32,0.00263,0.00764,0.00144,0.0270,0.00216,0.00822,0.00841,0.000950,0.00917,0.00294,0.00364,0.00449,0.00239,0.00107
2024-05-29 10:43:34,0.00258,0.00785,0.00144,0.0270,0.00216,0.0103,0.00867,0.000959,0.00917,0.00294,0.00364,0.00449,0.00239,0.00107
2024-05-29 10:43:36,0.00266,0.00785,0.00144,0.0282,0.00216,0.0103,0.00891,0.000926,0.00917,0.00294,0.00440,0.00504,0.00239,0.00107
2024-05-29 10:43:38,0.00290,0.00785,0.00167,0.0282,0.00216,0.0106,0.00916,0.000893,0.00917,0.00294,0.00440,0.00504,0.00240,0.00106
