"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 10:42:44,400
2024-05-29 10:42:46,403
2024-05-29 10:42:48,403
2024-05-29 10:42:50,403
2024-05-29 10:42:52,403
2024-05-29 10:42:54,403
2024-05-29 10:42:56,403
2024-05-29 10:42:58,392
2024-05-29 10:43:00,399
2024-05-29 10:43:02,399
2024-05-29 10:43:04,399
2024-05-29 10:43:06,399
2024-05-29 10:43:08,399
2024-05-29 10:43:10,415
2024-05-29 10:43:12,410
2024-05-29 10:43:14,398
2024-05-29 10:43:16,398
2024-05-29 10:43:18,398
2024-05-29 10:43:20,398
2024-05-29 10:43:22,410
2024-05-29 10:43:24,410
2024-05-29 10:43:26,402
2024-05-29 10:43:28,405
2024-05-29 10:43:30,400
2024-05-29 10:43:32,400
2024-05-29 10:43:34,400
2024-05-29 10:43:36,400
2024-05-29 10:43:38,407
2024-05-29 10:43:40,407
2024-05-29 10:43:42,407
2024-05-29 10:43:44,407
2024-05-29 10:43:46,395
2024-05-29 10:43:48,395
2024-05-29 10:43:50,405
2024-05-29 10:43:52,405
2024-05-29 10:43:54,405
2024-05-29 10:43:56,397
2024-05-29 10:43:58,407
2024-05-29 10:44:00,407
2024-05-29 10:44:02,401
2024-05-29 10:44:04,405
2024-05-29 10:44:06,398
2024-05-29 10:44:08,398
2024-05-29 10:44:10,398
2024-05-29 10:44:12,398
2024-05-29 10:44:14,411
2024-05-29 10:44:16,411
2024-05-29 10:44:18,411
2024-05-29 10:44:20,392
2024-05-29 10:44:22,398
2024-05-29 10:44:24,398
2024-05-29 10:44:26,398
2024-05-29 10:44:28,398
2024-05-29 10:44:30,398
2024-05-29 10:44:32,415
2024-05-29 10:44:34,404
2024-05-29 10:44:36,404
2024-05-29 10:44:38,404
2024-05-29 10:44:40,404
2024-05-29 10:44:42,404
2024-05-29 10:44:44,404
2024-05-29 10:44:46,404
2024-05-29 10:44:48,409
2024-05-29 10:44:50,411
2024-05-29 10:44:52,404
2024-05-29 10:44:54,397
2024-05-29 10:44:56,397
2024-05-29 10:44:58,397
2024-05-29 10:45:00,397
2024-05-29 10:45:02,397
2024-05-29 10:45:04,397
2024-05-29 10:45:06,409
2024-05-29 10:45:08,400
2024-05-29 10:45:10,400
2024-05-29 10:45:12,400
2024-05-29 10:45:14,407
2024-05-29 10:45:16,414
2024-05-29 10:45:18,406
2024-05-29 10:45:20,399
2024-05-29 10:45:22,403
2024-05-29 10:45:24,403
