"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-f2t9t","loadgenerator-7b495c87ff-rxzcq","loadgenerator-7b495c87ff-tjwsb","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 10:42:44,215,498,526,910,343,8618,5.47,641,2703,176,2175,594,152,320
2024-05-29 10:42:46,209,498,521,921,343,8333,51.0,641,2703,176,2295,594,148,320
2024-05-29 10:42:48,209,498,521,921,343,8333,55.3,641,2703,176,2295,594,148,320
2024-05-29 10:42:50,209,482,521,921,346,8333,59.6,641,2703,177,2226,594,148,323
2024-05-29 10:42:52,209,479,521,921,346,8651,63.9,641,2703,177,2275,594,148,323
2024-05-29 10:42:54,209,495,521,921,346,8651,68.2,641,2703,177,2275,599,150,325
2024-05-29 10:42:56,209,513,521,921,351,8651,72.5,641,2703,177,2275,599,150,325
2024-05-29 10:42:58,217,513,521,921,351,8651,357,641,2703,177,2275,601,150,325
2024-05-29 10:43:00,217,513,521,1028,351,9426,377,641,2703,177,2275,621,160,329
2024-05-29 10:43:02,234,513,632,1075,351,9426,397,641,2703,183,2396,621,160,329
2024-05-29 10:43:04,234,513,632,1075,351,9426,418,641,2703,183,2751,621,160,329
2024-05-29 10:43:06,234,513,632,1075,351,9624,438,641,2703,188,2751,621,165,360
2024-05-29 10:43:08,234,513,632,1075,350,9624,458,641,2703,188,2751,621,165,360
2024-05-29 10:43:10,234,615,632,1075,350,11242,665,641,2703,188,2751,603,165,360
2024-05-29 10:43:12,234,637,632,1075,358,11242,693,641,2703,188,2751,599,184,360
2024-05-29 10:43:14,234,637,632,1283,358,11242,721,641,2703,188,2751,720,184,360
2024-05-29 10:43:16,241,637,632,1283,358,11242,749,641,2703,188,2869,718,184,357
2024-05-29 10:43:18,234,637,656,1304,358,11732,777,642,2703,182,2869,723,185,398
2024-05-29 10:43:20,296,637,783,1350,358,14809,805,642,2703,200,2779,747,192,398
2024-05-29 10:43:22,296,807,783,1350,363,14809,728,627,2703,201,3928,747,192,398
2024-05-29 10:43:24,296,807,783,1350,351,14809,728,610,2703,201,3928,747,192,398
2024-05-29 10:43:26,296,807,783,1350,353,14809,1253,593,2703,201,3928,747,192,398
2024-05-29 10:43:28,296,834,783,1350,365,14809,1293,576,2703,201,3928,899,242,398
2024-05-29 10:43:30,296,834,783,1756,365,14809,1332,559,2703,201,4122,899,242,445
2024-05-29 10:43:32,296,834,905,1756,365,20019,1372,542,2703,201,4122,899,242,445
2024-05-29 10:43:34,299,834,911,1756,365,20640,1411,452,2703,201,5260,899,242,447
2024-05-29 10:43:36,309,834,940,1820,365,20640,1675,452,2703,201,5260,928,244,462
2024-05-29 10:43:38,297,1020,940,1820,354,20640,1721,517,2703,225,5260,928,246,462
2024-05-29 10:43:40,391,1043,940,1820,384,20640,1766,499,2703,225,5260,928,299,462
2024-05-29 10:43:42,391,1075,940,2248,384,20640,1812,481,2703,225,5260,1072,299,525
2024-05-29 10:43:44,391,1075,940,2248,390,20640,1857,463,2703,225,5526,1072,299,525
2024-05-29 10:43:46,391,1075,940,2248,390,20640,1903,445,2703,225,5526,1072,299,525
2024-05-29 10:43:48,391,1075,940,2307,390,27469,2210,427,2703,225,5526,1072,299,525
