"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 10:42:44,17877
2024-05-29 10:42:46,17753
2024-05-29 10:42:48,17757
2024-05-29 10:42:50,17684
2024-05-29 10:42:52,18052
2024-05-29 10:42:54,18080
2024-05-29 10:42:56,18108
2024-05-29 10:42:58,18402
2024-05-29 10:43:00,19338
2024-05-29 10:43:02,19660
2024-05-29 10:43:04,20035
2024-05-29 10:43:06,20294
2024-05-29 10:43:08,20313
2024-05-29 10:43:10,22222
2024-05-29 10:43:12,22294
2024-05-29 10:43:14,22652
2024-05-29 10:43:16,22801
2024-05-29 10:43:18,23399
2024-05-29 10:43:20,26700
2024-05-29 10:43:22,27932
2024-05-29 10:43:24,27903
2024-05-29 10:43:26,28414
2024-05-29 10:43:28,28677
2024-05-29 10:43:30,29346
2024-05-29 10:43:32,34700
2024-05-29 10:43:34,36419
2024-05-29 10:43:36,36834
2024-05-29 10:43:38,37133
2024-05-29 10:43:40,37362
2024-05-29 10:43:42,38056
2024-05-29 10:43:44,38355
2024-05-29 10:43:46,38383
2024-05-29 10:43:48,45559
2024-05-29 10:43:50,48763
2024-05-29 10:43:52,48820
2024-05-29 10:43:54,48857
2024-05-29 10:43:56,49938
2024-05-29 10:43:58,50582
2024-05-29 10:44:00,50474
2024-05-29 10:44:02,49907
2024-05-29 10:44:04,50569
2024-05-29 10:44:06,61860
2024-05-29 10:44:08,65313
2024-05-29 10:44:10,66512
2024-05-29 10:44:12,67137
2024-05-29 10:44:14,67183
2024-05-29 10:44:16,67519
2024-05-29 10:44:18,67856
2024-05-29 10:44:20,67923
2024-05-29 10:44:22,68249
2024-05-29 10:44:24,83425
2024-05-29 10:44:26,87001
2024-05-29 10:44:28,88090
2024-05-29 10:44:30,89045
2024-05-29 10:44:32,89741
2024-05-29 10:44:34,90116
2024-05-29 10:44:36,99262
2024-05-29 10:44:38,102088
2024-05-29 10:44:40,103332
2024-05-29 10:44:42,104215
2024-05-29 10:44:44,104320
2024-05-29 10:44:46,118800
2024-05-29 10:44:48,118872
2024-05-29 10:44:50,120215
2024-05-29 10:44:52,120334
2024-05-29 10:44:54,122685
2024-05-29 10:44:56,125270
2024-05-29 10:44:58,138210
2024-05-29 10:45:00,140414
2024-05-29 10:45:02,140796
2024-05-29 10:45:04,140995
2024-05-29 10:45:06,141982
2024-05-29 10:45:08,143096
2024-05-29 10:45:10,148505
2024-05-29 10:45:12,149153
2024-05-29 10:45:14,166519
2024-05-29 10:45:16,167577
2024-05-29 10:45:18,168623
2024-05-29 10:45:20,172962
2024-05-29 10:45:22,174029
2024-05-29 10:45:24,175602
2024-05-29 10:45:26,178725
2024-05-29 10:45:28,180114
2024-05-29 10:45:30,195994
2024-05-29 10:45:32,201896
2024-05-29 10:45:34,204025
2024-05-29 10:45:36,204506
2024-05-29 10:45:38,205052
2024-05-29 10:45:40,205959
2024-05-29 10:45:42,205424
2024-05-29 10:45:44,211787
2024-05-29 10:45:46,208445
2024-05-29 10:45:48,211565
2024-05-29 10:45:50,236224
2024-05-29 10:45:52,238143
2024-05-29 10:45:54,241196
2024-05-29 10:45:56,241700
2024-05-29 10:45:58,248495
2024-05-29 10:46:00,249461
2024-05-29 10:46:02,252871
2024-05-29 10:46:04,266503
2024-05-29 10:46:06,270995
2024-05-29 10:46:08,271086
2024-05-29 10:46:10,271855
2024-05-29 10:46:12,280358
2024-05-29 10:46:14,280681
2024-05-29 10:46:16,294859
2024-05-29 10:46:18,297851
2024-05-29 10:46:20,298382
2024-05-29 10:46:22,298762
2024-05-29 10:46:24,305484
2024-05-29 10:46:26,312513
2024-05-29 10:46:28,312668
2024-05-29 10:46:30,327017
2024-05-29 10:46:32,328000
2024-05-29 10:46:34,328559
2024-05-29 10:46:36,330012
2024-05-29 10:46:38,340023
2024-05-29 10:46:40,347220
2024-05-29 10:46:42,348254
2024-05-29 10:46:44,349004
2024-05-29 10:46:46,342159
2024-05-29 10:46:48,365446
2024-05-29 10:46:50,367870
2024-05-29 10:46:52,371546
2024-05-29 10:46:54,385667
2024-05-29 10:46:56,388278
2024-05-29 10:46:58,389243
2024-05-29 10:47:00,398184
2024-05-29 10:47:02,401490
2024-05-29 10:47:04,401673
2024-05-29 10:47:06,401682
2024-05-29 10:47:08,404684
2024-05-29 10:47:10,418244
2024-05-29 10:47:12,421163
2024-05-29 10:47:14,433921
2024-05-29 10:47:16,434173
2024-05-29 10:47:18,434715
2024-05-29 10:47:20,438392
2024-05-29 10:47:22,439325
2024-05-29 10:47:24,451002
2024-05-29 10:47:26,461915
2024-05-29 10:47:28,461421
2024-05-29 10:47:30,461691
2024-05-29 10:47:32,467191
2024-05-29 10:47:34,484398
2024-05-29 10:47:36,487223
2024-05-29 10:47:38,488455
