"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-f59kx","loadgenerator-7b495c87ff-grsmn","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 09:48:20,0.00191,0.00251,0.000328,0.000930,0.00176,0.000336,0.00337,,0.000509,0.000306,0.00159,0.00215,0.000391
2024-05-29 09:48:22,0.00191,0.00253,0.000328,0.000930,0.00176,0.000336,0.00336,,0.000502,0.000311,0.00155,0.00215,0.000391
2024-05-29 09:48:24,0.00191,0.00253,0.000312,0.000930,0.00170,0.000336,0.00333,0.00541,0.000502,0.000311,0.00155,0.00215,0.000391
2024-05-29 09:48:26,0.00191,0.00253,0.000323,0.000930,0.00175,0.000336,0.00331,0.00617,0.000502,0.000311,0.00160,0.00215,0.000391
2024-05-29 09:48:28,0.00191,0.00253,0.000313,0.000930,0.00175,0.000343,0.00329,0.00694,0.000492,0.000311,0.00160,0.00215,0.000391
2024-05-29 09:48:30,0.00191,0.00253,0.000311,0.000930,0.00175,0.000343,0.00326,0.00771,0.000508,0.000311,0.00160,0.00215,0.000391
2024-05-29 09:48:32,0.00191,0.00245,0.000321,0.000930,0.00175,0.000343,0.00324,0.00848,0.000508,0.000311,0.00160,0.00215,0.000380
2024-05-29 09:48:34,0.00190,0.00249,0.000321,0.000900,0.00175,0.000334,0.00322,0.00925,0.000508,0.000308,0.00160,0.00215,0.000391
2024-05-29 09:48:36,0.00190,0.00291,0.000321,0.00107,0.00175,0.000334,0.00323,0.0100,0.000508,0.000309,0.00160,0.00215,0.000393
2024-05-29 09:48:38,0.00190,0.00291,0.000321,0.00111,0.00177,0.000334,0.00321,0.00597,0.000493,0.000309,0.00160,0.00208,0.000393
2024-05-29 09:48:40,0.00190,0.00291,0.000321,0.00111,0.00177,0.000329,0.00318,0.00640,0.000490,0.000309,0.00153,0.00214,0.000393
2024-05-29 09:48:42,0.00190,0.00291,0.000495,0.00111,0.00177,0.000329,0.00316,0.00682,0.000675,0.000309,0.00154,0.00221,0.000393
2024-05-29 09:48:44,0.00190,0.00291,0.000495,0.00111,0.00177,0.000329,0.00314,0.00725,0.000675,0.000309,0.00208,0.00221,0.000393
2024-05-29 09:48:46,0.00190,0.00291,0.000495,0.00591,0.00177,0.000329,0.00311,0.00767,0.000682,0.000309,0.00208,0.00221,0.000393
2024-05-29 09:48:48,0.00190,0.00291,0.000495,0.00591,0.00177,0.00273,0.00309,0.00809,0.000682,0.000309,0.00208,0.00221,0.000393
2024-05-29 09:48:50,0.00350,0.00605,0.000495,0.00591,0.00177,0.00273,0.00309,0.00795,0.000682,0.000301,0.00208,0.00221,0.000373
2024-05-29 09:48:52,0.00350,0.00605,0.000495,0.00591,0.00177,0.00273,0.00307,0.00834,0.000682,0.00182,0.00208,0.00221,0.000371
2024-05-29 09:48:54,0.00350,0.00605,0.000504,0.00606,0.00205,0.00289,0.00304,0.00874,0.000682,0.00182,0.00208,0.00221,0.000727
2024-05-29 09:48:56,0.00350,0.00605,0.00123,0.00610,0.00205,0.00289,0.00302,0.00913,0.00230,0.00182,0.00208,0.00222,0.000727
2024-05-29 09:48:58,0.00350,0.00605,0.00123,0.00629,0.00205,0.00289,0.00299,0.00953,0.00230,0.00182,0.00208,0.00235,0.000727
2024-05-29 09:49:00,0.00350,0.00628,0.00123,0.00629,0.00205,0.00751,0.00297,0.0107,0.00230,0.00182,0.00416,0.00235,0.000746
2024-05-29 09:49:02,0.00357,0.00628,0.00123,0.00629,0.00205,0.00751,0.00295,0.0111,0.00230,0.00182,0.00416,0.00235,0.000746
2024-05-29 09:49:04,0.00711,0.00628,0.00123,0.0179,0.00205,0.00751,0.00292,0.0115,0.00230,0.00182,0.00416,0.00235,0.000746
2024-05-29 09:49:06,0.00711,0.0111,0.00123,0.0179,0.00205,0.00751,0.00282,0.0120,0.00230,0.00186,0.00416,0.00235,0.000746
