"Time","default"
2024-05-29 09:48:20,0.00134
2024-05-29 09:48:22,0.00134
2024-05-29 09:48:24,0.00178
2024-05-29 09:48:26,0.00185
2024-05-29 09:48:28,0.00191
2024-05-29 09:48:30,0.00198
2024-05-29 09:48:32,0.00203
2024-05-29 09:48:34,0.00209
2024-05-29 09:48:36,0.00221
2024-05-29 09:48:38,0.00187
2024-05-29 09:48:40,0.00190
2024-05-29 09:48:42,0.00197
2024-05-29 09:48:44,0.00205
2024-05-29 09:48:46,0.00248
2024-05-29 09:48:48,0.00271
2024-05-29 09:48:50,0.00309
2024-05-29 09:48:52,0.00325
2024-05-29 09:48:54,0.00336
2024-05-29 09:48:56,0.00359
2024-05-29 09:48:58,0.00365
2024-05-29 09:49:00,0.00432
2024-05-29 09:49:02,0.00436
2024-05-29 09:49:04,0.00565
2024-05-29 09:49:06,0.00608
2024-05-29 09:49:08,0.00645
2024-05-29 09:49:10,0.00651
2024-05-29 09:49:12,0.00674
2024-05-29 09:49:14,0.00691
2024-05-29 09:49:16,0.00798
2024-05-29 09:49:18,0.00903
2024-05-29 09:49:20,0.00906
2024-05-29 09:49:22,0.00913
2024-05-29 09:49:24,0.00925
2024-05-29 09:49:26,0.00963
2024-05-29 09:49:28,0.00977
2024-05-29 09:49:30,0.0106
2024-05-29 09:49:32,0.0113
2024-05-29 09:49:34,0.0118
2024-05-29 09:49:36,0.0126
2024-05-29 09:49:38,0.0126
2024-05-29 09:49:40,0.0126
2024-05-29 09:49:42,0.0127
2024-05-29 09:49:44,0.0137
2024-05-29 09:49:46,0.0148
2024-05-29 09:49:48,0.0149
2024-05-29 09:49:50,0.0152
2024-05-29 09:49:52,0.0155
2024-05-29 09:49:54,0.0157
2024-05-29 09:49:56,0.0166
2024-05-29 09:49:58,0.0170
2024-05-29 09:50:00,0.0177
2024-05-29 09:50:02,0.0179
2024-05-29 09:50:04,0.0180
2024-05-29 09:50:06,0.0185
2024-05-29 09:50:08,0.0189
2024-05-29 09:50:10,0.0189
2024-05-29 09:50:12,0.0197
2024-05-29 09:50:14,0.0201
2024-05-29 09:50:16,0.0203
2024-05-29 09:50:18,0.0205
2024-05-29 09:50:20,0.0218
2024-05-29 09:50:22,0.0219
2024-05-29 09:50:24,0.0222
2024-05-29 09:50:26,0.0224
2024-05-29 09:50:28,0.0227
2024-05-29 09:50:30,0.0232
2024-05-29 09:50:32,0.0237
2024-05-29 09:50:34,0.0239
2024-05-29 09:50:36,0.0240
2024-05-29 09:50:38,0.0252
2024-05-29 09:50:40,0.0252
2024-05-29 09:50:42,0.0258
2024-05-29 09:50:44,0.0261
2024-05-29 09:50:46,0.0262
2024-05-29 09:50:48,0.0270
2024-05-29 09:50:50,0.0272
2024-05-29 09:50:52,0.0273
2024-05-29 09:50:54,0.0280
2024-05-29 09:50:56,0.0291
2024-05-29 09:50:58,0.0293
2024-05-29 09:51:00,0.0295
2024-05-29 09:51:02,0.0297
2024-05-29 09:51:04,0.0299
2024-05-29 09:51:06,0.0306
2024-05-29 09:51:08,0.0310
2024-05-29 09:51:10,0.0314
2024-05-29 09:51:12,0.0317
2024-05-29 09:51:14,0.0326
2024-05-29 09:51:16,0.0326
2024-05-29 09:51:18,0.0329
2024-05-29 09:51:20,0.0331
2024-05-29 09:51:22,0.0336
2024-05-29 09:51:24,0.0337
2024-05-29 09:51:26,0.0346
2024-05-29 09:51:28,0.0356
2024-05-29 09:51:30,0.0358
2024-05-29 09:51:32,0.0359
2024-05-29 09:51:34,0.0362
2024-05-29 09:51:36,0.0362
2024-05-29 09:51:38,0.0365
2024-05-29 09:51:40,0.0372
2024-05-29 09:51:42,0.0371
2024-05-29 09:51:44,0.0378
2024-05-29 09:51:46,0.0393
2024-05-29 09:51:48,0.0394
2024-05-29 09:51:50,0.0395
2024-05-29 09:51:52,0.0397
2024-05-29 09:51:54,0.0399
2024-05-29 09:51:56,0.0408
2024-05-29 09:51:58,0.0413
2024-05-29 09:52:00,0.0416
2024-05-29 09:52:02,0.0420
2024-05-29 09:52:04,0.0424
2024-05-29 09:52:06,0.0431
2024-05-29 09:52:08,0.0435
2024-05-29 09:52:10,0.0438
2024-05-29 09:52:12,0.0443
2024-05-29 09:52:14,0.0443
2024-05-29 09:52:16,0.0451
2024-05-29 09:52:18,0.0452
2024-05-29 09:52:20,0.0459
2024-05-29 09:52:22,0.0465
2024-05-29 09:52:24,0.0467
2024-05-29 09:52:26,0.0468
2024-05-29 09:52:28,0.0469
2024-05-29 09:52:30,0.0473
2024-05-29 09:52:32,0.0485
2024-05-29 09:52:34,0.0493
2024-05-29 09:52:36,0.0494
2024-05-29 09:52:38,0.0500
2024-05-29 09:52:40,0.0501
2024-05-29 09:52:42,0.0500
2024-05-29 09:52:44,0.0501
2024-05-29 09:52:46,0.0511
2024-05-29 09:52:48,0.0516
2024-05-29 09:52:50,0.0521
2024-05-29 09:52:52,0.0531
2024-05-29 09:52:54,0.0533
2024-05-29 09:52:56,0.0535
2024-05-29 09:52:58,0.0537
2024-05-29 09:53:00,0.0539
2024-05-29 09:53:02,0.0541
2024-05-29 09:53:04,0.0548
2024-05-29 09:53:06,0.0559
2024-05-29 09:53:08,0.0559
2024-05-29 09:53:10,0.0562
2024-05-29 09:53:12,0.0566
2024-05-29 09:53:14,0.0566
2024-05-29 09:53:16,0.0566
2024-05-29 09:53:18,0.0578
2024-05-29 09:53:20,0.0580
2024-05-29 09:53:22,0.0590
2024-05-29 09:53:24,0.0594
2024-05-29 09:53:26,0.0596
2024-05-29 09:53:28,0.0593
2024-05-29 09:53:30,0.0593
2024-05-29 09:53:32,0.0594
