"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 09:48:32,0
2024-05-29 09:48:34,0
2024-05-29 09:48:36,0
2024-05-29 09:48:38,0
2024-05-29 09:48:40,0
2024-05-29 09:48:42,0
2024-05-29 09:48:44,0
2024-05-29 09:48:46,0
2024-05-29 09:48:48,0
2024-05-29 09:48:50,14.2
2024-05-29 09:48:52,290
2024-05-29 09:48:54,296
2024-05-29 09:48:56,578
2024-05-29 09:48:58,579
2024-05-29 09:49:00,579
2024-05-29 09:49:02,580
2024-05-29 09:49:04,579
2024-05-29 09:49:06,566
2024-05-29 09:49:08,555
2024-05-29 09:49:10,568
2024-05-29 09:49:12,576
2024-05-29 09:49:14,586
2024-05-29 09:49:16,587
2024-05-29 09:49:18,586
2024-05-29 09:49:20,577
2024-05-29 09:49:22,575
2024-05-29 09:49:24,564
2024-05-29 09:49:26,851
2024-05-29 09:49:28,851
2024-05-29 09:49:30,863
2024-05-29 09:49:32,1144
2024-05-29 09:49:34,1143
2024-05-29 09:49:36,1144
2024-05-29 09:49:38,1156
2024-05-29 09:49:40,1173
2024-05-29 09:49:42,1404
2024-05-29 09:49:44,1408
2024-05-29 09:49:46,1410
2024-05-29 09:49:48,1418
2024-05-29 09:49:50,1429
2024-05-29 09:49:52,1678
2024-05-29 09:49:54,1698
2024-05-29 09:49:56,2297
2024-05-29 09:49:58,2300
2024-05-29 09:50:00,2346
2024-05-29 09:50:02,2364
2024-05-29 09:50:04,2350
2024-05-29 09:50:06,2364
2024-05-29 09:50:08,2330
2024-05-29 09:50:10,2319
2024-05-29 09:50:12,2327
2024-05-29 09:50:14,2363
2024-05-29 09:50:16,2387
2024-05-29 09:50:18,2377
2024-05-29 09:50:20,2333
2024-05-29 09:50:22,2344
2024-05-29 09:50:24,2340
2024-05-29 09:50:26,2335
2024-05-29 09:50:28,2369
2024-05-29 09:50:30,2358
2024-05-29 09:50:32,2362
2024-05-29 09:50:34,2367
2024-05-29 09:50:36,2387
2024-05-29 09:50:38,2366
2024-05-29 09:50:40,2357
2024-05-29 09:50:42,2352
2024-05-29 09:50:44,2346
2024-05-29 09:50:46,2351
2024-05-29 09:50:48,2368
2024-05-29 09:50:50,2361
2024-05-29 09:50:52,2375
2024-05-29 09:50:54,2596
2024-05-29 09:50:56,2804
2024-05-29 09:50:58,2789
2024-05-29 09:51:00,2776
2024-05-29 09:51:02,2787
2024-05-29 09:51:04,2818
2024-05-29 09:51:06,2873
2024-05-29 09:51:08,2870
2024-05-29 09:51:10,2851
2024-05-29 09:51:12,2820
2024-05-29 09:51:14,2810
2024-05-29 09:51:16,3156
2024-05-29 09:51:18,3460
2024-05-29 09:51:20,3470
2024-05-29 09:51:22,3463
2024-05-29 09:51:24,3489
2024-05-29 09:51:26,3540
2024-05-29 09:51:28,3568
2024-05-29 09:51:30,3532
2024-05-29 09:51:32,3780
2024-05-29 09:51:34,3798
2024-05-29 09:51:36,3801
2024-05-29 09:51:38,3810
2024-05-29 09:51:40,4125
2024-05-29 09:51:42,4128
2024-05-29 09:51:44,4153
2024-05-29 09:51:46,4106
2024-05-29 09:51:48,4103
2024-05-29 09:51:50,4129
2024-05-29 09:51:52,4181
2024-05-29 09:51:54,4182
2024-05-29 09:51:56,4138
2024-05-29 09:51:58,4119
2024-05-29 09:52:00,4159
2024-05-29 09:52:02,4137
2024-05-29 09:52:04,4097
2024-05-29 09:52:06,4155
2024-05-29 09:52:08,4154
2024-05-29 09:52:10,4210
2024-05-29 09:52:12,4123
2024-05-29 09:52:14,4101
2024-05-29 09:52:16,4116
2024-05-29 09:52:18,4126
2024-05-29 09:52:20,4130
2024-05-29 09:52:22,4139
2024-05-29 09:52:24,4149
2024-05-29 09:52:26,4144
2024-05-29 09:52:28,4138
2024-05-29 09:52:30,4182
2024-05-29 09:52:32,4217
2024-05-29 09:52:34,4173
2024-05-29 09:52:36,4135
2024-05-29 09:52:38,4118
2024-05-29 09:52:40,4164
2024-05-29 09:52:42,4170
2024-05-29 09:52:44,4187
2024-05-29 09:52:46,4128
2024-05-29 09:52:48,4189
2024-05-29 09:52:50,4185
2024-05-29 09:52:52,4164
2024-05-29 09:52:54,4164
2024-05-29 09:52:56,4154
2024-05-29 09:52:58,4128
2024-05-29 09:53:00,4154
2024-05-29 09:53:02,4168
2024-05-29 09:53:04,4206
2024-05-29 09:53:06,4219
2024-05-29 09:53:08,4190
2024-05-29 09:53:10,4151
2024-05-29 09:53:12,4148
2024-05-29 09:53:14,4128
2024-05-29 09:53:16,4165
2024-05-29 09:53:18,4205
2024-05-29 09:53:20,4212
2024-05-29 09:53:22,4206
2024-05-29 09:53:24,4189
2024-05-29 09:53:26,4136
2024-05-29 09:53:28,4139
2024-05-29 09:53:30,4128
2024-05-29 09:53:32,3879
