"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 09:48:32,0
2024-05-29 09:48:34,0
2024-05-29 09:48:36,14.5
2024-05-29 09:48:38,14.5
2024-05-29 09:48:40,14.5
2024-05-29 09:48:42,28.7
2024-05-29 09:48:44,28.7
2024-05-29 09:48:46,28.2
2024-05-29 09:48:48,28.2
2024-05-29 09:48:50,28.2
2024-05-29 09:48:52,28.6
2024-05-29 09:48:54,29.1
2024-05-29 09:48:56,29.9
2024-05-29 09:48:58,29.1
2024-05-29 09:49:00,29.1
2024-05-29 09:49:02,28.3
2024-05-29 09:49:04,28.3
2024-05-29 09:49:06,28.3
2024-05-29 09:49:08,28.3
2024-05-29 09:49:10,29.5
2024-05-29 09:49:12,29.5
2024-05-29 09:49:14,29.4
2024-05-29 09:49:16,29.0
2024-05-29 09:49:18,28.2
2024-05-29 09:49:20,28.2
2024-05-29 09:49:22,28.2
2024-05-29 09:49:24,28.2
2024-05-29 09:49:26,29.1
2024-05-29 09:49:28,28.9
2024-05-29 09:49:30,28.8
2024-05-29 09:49:32,28.8
2024-05-29 09:49:34,28.8
2024-05-29 09:49:36,28.8
2024-05-29 09:49:38,28.8
2024-05-29 09:49:40,28.8
2024-05-29 09:49:42,29.0
2024-05-29 09:49:44,28.9
2024-05-29 09:49:46,28.6
2024-05-29 09:49:48,28.2
2024-05-29 09:49:50,28.2
2024-05-29 09:49:52,28.2
2024-05-29 09:49:54,28.7
2024-05-29 09:49:56,28.7
2024-05-29 09:49:58,28.7
2024-05-29 09:50:00,29.4
2024-05-29 09:50:02,28.9
2024-05-29 09:50:04,29.5
2024-05-29 09:50:06,28.1
2024-05-29 09:50:08,28.1
2024-05-29 09:50:10,28.1
2024-05-29 09:50:12,28.7
2024-05-29 09:50:14,28.7
2024-05-29 09:50:16,29.0
2024-05-29 09:50:18,28.3
2024-05-29 09:50:20,28.3
2024-05-29 09:50:22,28.3
2024-05-29 09:50:24,29.1
2024-05-29 09:50:26,29.1
2024-05-29 09:50:28,29.1
2024-05-29 09:50:30,29.1
2024-05-29 09:50:32,29.1
2024-05-29 09:50:34,29.2
2024-05-29 09:50:36,28.2
2024-05-29 09:50:38,28.2
2024-05-29 09:50:40,28.7
2024-05-29 09:50:42,28.8
2024-05-29 09:50:44,29.2
2024-05-29 09:50:46,29.2
2024-05-29 09:50:48,28.7
2024-05-29 09:50:50,28.3
2024-05-29 09:50:52,28.8
2024-05-29 09:50:54,28.8
2024-05-29 09:50:56,28.8
2024-05-29 09:50:58,28.2
2024-05-29 09:51:00,29.0
2024-05-29 09:51:02,29.0
2024-05-29 09:51:04,29.0
2024-05-29 09:51:06,28.5
2024-05-29 09:51:08,28.8
2024-05-29 09:51:10,28.5
2024-05-29 09:51:12,28.2
2024-05-29 09:51:14,29.1
2024-05-29 09:51:16,29.1
2024-05-29 09:51:18,29.1
2024-05-29 09:51:20,29.1
2024-05-29 09:51:22,28.4
2024-05-29 09:51:24,27.9
2024-05-29 09:51:26,27.9
2024-05-29 09:51:28,28.5
2024-05-29 09:51:30,29.3
2024-05-29 09:51:32,29.3
2024-05-29 09:51:34,29.3
2024-05-29 09:51:36,28.7
2024-05-29 09:51:38,28.2
2024-05-29 09:51:40,28.5
2024-05-29 09:51:42,28.5
2024-05-29 09:51:44,28.5
2024-05-29 09:51:46,29.2
2024-05-29 09:51:48,29.2
2024-05-29 09:51:50,27.9
2024-05-29 09:51:52,27.9
2024-05-29 09:51:54,28.7
2024-05-29 09:51:56,28.7
2024-05-29 09:51:58,28.7
2024-05-29 09:52:00,29.3
2024-05-29 09:52:02,29.3
2024-05-29 09:52:04,29.3
2024-05-29 09:52:06,28.0
2024-05-29 09:52:08,27.6
2024-05-29 09:52:10,28.0
2024-05-29 09:52:12,28.8
2024-05-29 09:52:14,29.2
2024-05-29 09:52:16,29.2
2024-05-29 09:52:18,29.2
2024-05-29 09:52:20,29.2
2024-05-29 09:52:22,29.2
2024-05-29 09:52:24,27.6
2024-05-29 09:52:26,28.1
2024-05-29 09:52:28,28.5
2024-05-29 09:52:30,29.0
2024-05-29 09:52:32,29.0
2024-05-29 09:52:34,29.0
2024-05-29 09:52:36,28.9
2024-05-29 09:52:38,28.2
2024-05-29 09:52:40,28.2
2024-05-29 09:52:42,28.2
2024-05-29 09:52:44,28.2
2024-05-29 09:52:46,28.9
2024-05-29 09:52:48,28.8
2024-05-29 09:52:50,29.3
2024-05-29 09:52:52,28.5
2024-05-29 09:52:54,28.5
2024-05-29 09:52:56,28.5
2024-05-29 09:52:58,29.1
2024-05-29 09:53:00,29.1
2024-05-29 09:53:02,29.1
2024-05-29 09:53:04,28.6
2024-05-29 09:53:06,28.1
2024-05-29 09:53:08,28.1
2024-05-29 09:53:10,28.7
2024-05-29 09:53:12,28.7
2024-05-29 09:53:14,28.7
2024-05-29 09:53:16,28.1
2024-05-29 09:53:18,28.7
2024-05-29 09:53:20,28.7
2024-05-29 09:53:22,14.0
2024-05-29 09:53:24,14.0
2024-05-29 09:53:26,14.0
2024-05-29 09:53:28,14.0
2024-05-29 09:53:30,0
2024-05-29 09:53:32,0
