"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-f59kx","loadgenerator-7b495c87ff-grsmn","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 09:48:32,127,140,140,184,318,329,3168,130,144,168,316,68.5,212
2024-05-29 09:48:34,123,144,140,184,315,339,3146,142,144,168,316,68.5,212
2024-05-29 09:48:36,123,144,174,182,311,339,3123,153,144,168,316,66.5,212
2024-05-29 09:48:38,123,144,174,188,311,339,3100,164,144,493,317,76.2,211
2024-05-29 09:48:40,123,144,174,188,311,339,3077,175,144,493,317,74.1,211
2024-05-29 09:48:42,123,144,176,188,311,339,2991,187,149,515,420,74.7,245
2024-05-29 09:48:44,123,144,176,188,311,4201,3069,482,153,515,420,76.9,245
2024-05-29 09:48:46,123,340,176,505,311,4201,3046,509,153,515,420,76.9,245
2024-05-29 09:48:48,193,349,176,505,303,4201,3023,537,153,515,420,76.9,250
2024-05-29 09:48:50,201,349,176,505,347,4348,3000,564,153,515,420,76.9,250
2024-05-29 09:48:52,201,349,554,505,347,4348,2977,591,153,515,420,74.6,250
2024-05-29 09:48:54,201,349,575,524,347,4348,2954,619,183,499,721,189,250
2024-05-29 09:48:56,201,349,575,1123,347,4348,2931,646,183,495,721,189,408
2024-05-29 09:48:58,334,812,575,1123,347,4348,2908,674,183,4191,721,195,408
2024-05-29 09:49:00,334,838,575,1123,347,4360,2925,701,186,4191,721,195,408
2024-05-29 09:49:02,334,838,575,1123,347,4474,2901,1707,186,4191,721,195,414
2024-05-29 09:49:04,334,838,575,1123,379,24252,2878,1771,216,4191,721,195,414
2024-05-29 09:49:06,334,838,575,1123,379,24252,2855,1835,216,4191,721,195,414
2024-05-29 09:49:08,346,838,1001,1123,379,24252,2831,1900,216,4191,721,333,414
2024-05-29 09:49:10,346,838,1025,1181,379,24252,2808,1964,216,4379,1312,346,584
2024-05-29 09:49:12,529,867,1057,1181,379,24252,2785,2610,214,4379,1312,346,584
2024-05-29 09:49:14,529,867,1057,2424,379,24252,2808,2692,214,8610,1312,346,584
2024-05-29 09:49:16,529,1564,1057,2424,415,24252,2784,2775,214,8610,1312,346,606
2024-05-29 09:49:18,529,1564,1571,2424,415,25079,2761,2858,252,8610,1312,346,606
2024-05-29 09:49:20,529,1564,1571,2424,420,24413,2737,2940,252,8610,1312,346,606
2024-05-29 09:49:22,538,1630,1571,2424,420,25028,2713,3023,252,8875,1312,500,606
2024-05-29 09:49:24,557,1630,1571,2424,420,47637,2689,3106,259,9162,1312,504,606
2024-05-29 09:49:26,771,1630,1622,2499,420,47637,2666,3828,259,9162,1855,519,800
2024-05-29 09:49:28,771,1630,1622,3540,420,47637,2642,3927,259,9162,1913,519,800
2024-05-29 09:49:30,771,2273,1622,3540,416,47637,2550,4026,300,13596,1913,519,800
2024-05-29 09:49:32,771,2273,1622,3540,481,47637,2647,4125,300,13596,1913,519,821
2024-05-29 09:49:34,771,2273,1574,3540,481,47637,2623,4225,300,13596,1913,659,821
2024-05-29 09:49:36,771,2384,2382,3540,481,47637,2599,4324,300,13596,1913,659,821
2024-05-29 09:49:38,771,2384,2492,3540,481,49800,2575,4423,312,13596,1913,659,821
2024-05-29 09:49:40,947,2384,2492,3540,481,69100,2551,4522,312,14167,2405,690,821
2024-05-29 09:49:42,990,2384,2492,4414,481,69100,2526,5210,363,14167,2405,690,795
2024-05-29 09:49:44,990,2384,2492,4518,481,69100,2502,5322,363,17689,2459,690,1114
2024-05-29 09:49:46,990,2384,2492,4667,481,69100,2478,5434,363,17689,2549,690,1114
2024-05-29 09:49:48,990,3073,2492,4667,473,69100,2502,5546,363,17689,2549,690,1114
2024-05-29 09:49:50,990,3207,2420,4667,547,81674,2478,5658,363,17689,2549,667,1114
2024-05-29 09:49:52,1112,3207,2472,4667,547,84367,2453,5770,372,18507,2549,865,1114
2024-05-29 09:49:54,1112,3207,3524,4667,547,84367,2428,6214,372,18507,2549,865,1114
2024-05-29 09:49:56,1140,3207,3524,5465,547,84367,2404,6332,372,18507,3020,896,1255
2024-05-29 09:49:58,1178,3207,3524,5465,547,84367,2430,6451,421,18507,3020,896,1255
2024-05-29 09:50:00,1178,3207,3524,5465,547,84367,2405,6569,421,18507,3020,896,1320
2024-05-29 09:50:02,1178,3664,3524,5784,593,84367,2380,6687,421,22736,3175,896,1320
2024-05-29 09:50:04,1178,3858,3524,5784,593,84367,2355,7063,421,23370,3175,1008,1320
2024-05-29 09:50:06,1178,3858,3524,5784,593,84367,2330,7185,421,24125,3175,1029,1320
2024-05-29 09:50:08,1141,3858,4034,5784,593,84648,2304,7308,431,24125,3175,1036,1320
2024-05-29 09:50:10,1133,3858,4236,5784,593,106467,2279,7431,431,24125,3175,1071,1320
2024-05-29 09:50:12,1394,3858,4236,5590,593,106467,2254,7553,469,24125,3602,1071,1320
2024-05-29 09:50:14,1430,3858,4236,6848,621,106467,2280,7676,469,26764,3602,1071,1529
2024-05-29 09:50:16,1440,4293,4236,6848,621,106467,2255,7799,469,26764,3602,1071,1559
2024-05-29 09:50:18,1487,4293,4236,7184,618,112659,2229,7921,474,26764,3679,1071,1570
2024-05-29 09:50:20,1487,4551,4236,7184,622,112659,2203,7404,478,26764,3704,1037,1623
2024-05-29 09:50:22,1487,4551,4236,7184,642,112659,2177,8590,493,27870,3832,1212,1623
2024-05-29 09:50:24,1487,4551,4940,7184,642,112659,2151,8719,493,27870,3832,1212,1623
2024-05-29 09:50:26,1638,4551,4940,7184,642,125191,2126,8848,479,27870,3832,1262,1744
2024-05-29 09:50:28,1638,4551,4940,7184,642,125191,2038,8977,475,30642,4252,1262,1744
2024-05-29 09:50:30,1638,5023,4940,7184,673,125191,2132,9106,549,30642,4252,1262,1744
2024-05-29 09:50:32,1638,5023,4940,8501,673,125191,2105,9235,549,30642,4252,1262,1744
2024-05-29 09:50:34,1732,5023,4940,8501,673,130283,2079,9611,549,31983,4252,1262,1744
2024-05-29 09:50:36,1732,5290,5544,8501,673,138386,2052,9744,549,31983,4252,1262,1821
2024-05-29 09:50:38,1732,5290,5544,8501,690,138386,2026,9876,557,31983,4463,1457,1821
2024-05-29 09:50:40,1868,5290,5544,8501,690,138386,1999,10009,577,34045,4463,1457,1958
2024-05-29 09:50:42,1868,5626,5544,8501,706,138386,1972,10141,577,34045,4761,1457,1958
2024-05-29 09:50:44,1868,5626,5544,8501,706,138386,1946,10274,577,34045,4761,1457,1958
2024-05-29 09:50:46,1868,5626,5544,9323,706,146874,1990,10406,611,35706,4761,1457,1958
2024-05-29 09:50:48,1868,5626,5754,9387,706,146874,1962,10538,611,35706,4761,1457,1958
2024-05-29 09:50:50,1963,5626,5754,9691,706,146874,1935,9995,611,35706,4761,1457,2038
2024-05-29 09:50:52,1963,5807,5585,9691,706,141853,1907,9995,611,35706,4761,1564,2038
2024-05-29 09:50:54,1963,6025,6334,9691,712,162799,1880,11445,611,38524,5304,1647,2038
2024-05-29 09:50:56,1900,6025,6334,9691,768,162799,1852,11584,619,38524,5304,1647,2181
2024-05-29 09:50:58,1887,6487,6518,9691,768,162799,1825,11723,624,38524,5304,1647,2181
2024-05-29 09:51:00,2119,6487,6731,9691,768,162799,1748,11861,645,40045,5304,1647,2181
2024-05-29 09:51:02,2119,6487,6731,9388,768,162799,1748,12000,624,40045,5304,1647,2288
