"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 09:48:32,5445
2024-05-29 09:48:34,5442
2024-05-29 09:48:36,5456
2024-05-29 09:48:38,5786
2024-05-29 09:48:40,5772
2024-05-29 09:48:42,5864
2024-05-29 09:48:44,10107
2024-05-29 09:48:46,10623
2024-05-29 09:48:48,10704
2024-05-29 09:48:50,10906
2024-05-29 09:48:52,11285
2024-05-29 09:48:54,11759
2024-05-29 09:48:56,12517
2024-05-29 09:48:58,16819
2024-05-29 09:49:00,16905
2024-05-29 09:49:02,18007
2024-05-29 09:49:04,37888
2024-05-29 09:49:06,37929
2024-05-29 09:49:08,38546
2024-05-29 09:49:10,39630
2024-05-29 09:49:12,40494
2024-05-29 09:49:14,46073
2024-05-29 09:49:16,46887
2024-05-29 09:49:18,48324
2024-05-29 09:49:20,47722
2024-05-29 09:49:22,48890
2024-05-29 09:49:24,71875
2024-05-29 09:49:26,73666
2024-05-29 09:49:28,74842
2024-05-29 09:49:30,79964
2024-05-29 09:49:32,80247
2024-05-29 09:49:34,80413
2024-05-29 09:49:36,81407
2024-05-29 09:49:38,83766
2024-05-29 09:49:40,104412
2024-05-29 09:49:42,106017
2024-05-29 09:49:44,110104
2024-05-29 09:49:46,110432
2024-05-29 09:49:48,111248
2024-05-29 09:49:50,124023
2024-05-29 09:49:52,128002
2024-05-29 09:49:54,129474
2024-05-29 09:49:56,131037
2024-05-29 09:49:58,131269
2024-05-29 09:50:00,131427
2024-05-29 09:50:02,136726
2024-05-29 09:50:04,138015
2024-05-29 09:50:06,138889
2024-05-29 09:50:08,139757
2024-05-29 09:50:10,161904
2024-05-29 09:50:12,162534
2024-05-29 09:50:14,166851
2024-05-29 09:50:16,167423
2024-05-29 09:50:18,174185
2024-05-29 09:50:20,173951
2024-05-29 09:50:22,176556
2024-05-29 09:50:24,177363
2024-05-29 09:50:26,190305
2024-05-29 09:50:28,193535
2024-05-29 09:50:30,194335
2024-05-29 09:50:32,195754
2024-05-29 09:50:34,202630
2024-05-29 09:50:36,211788
2024-05-29 09:50:38,212326
2024-05-29 09:50:40,214786
2024-05-29 09:50:42,215542
2024-05-29 09:50:44,215648
2024-05-29 09:50:46,226829
2024-05-29 09:50:48,227208
2024-05-29 09:50:50,227117
2024-05-29 09:50:52,222188
2024-05-29 09:50:54,248974
2024-05-29 09:50:56,249229
2024-05-29 09:50:58,249977
2024-05-29 09:51:00,252026
2024-05-29 09:51:02,251947
2024-05-29 09:51:04,263565
2024-05-29 09:51:06,264798
2024-05-29 09:51:08,264908
2024-05-29 09:51:10,266972
2024-05-29 09:51:12,282122
2024-05-29 09:51:14,283388
2024-05-29 09:51:16,284706
2024-05-29 09:51:18,285354
2024-05-29 09:51:20,293388
2024-05-29 09:51:22,299196
2024-05-29 09:51:24,299515
2024-05-29 09:51:26,298195
2024-05-29 09:51:28,302517
2024-05-29 09:51:30,305185
2024-05-29 09:51:32,314053
2024-05-29 09:51:34,321443
2024-05-29 09:51:36,322774
2024-05-29 09:51:38,331356
2024-05-29 09:51:40,332071
2024-05-29 09:51:42,332844
2024-05-29 09:51:44,339696
2024-05-29 09:51:46,340516
2024-05-29 09:51:48,339883
2024-05-29 09:51:50,341212
2024-05-29 09:51:52,357658
2024-05-29 09:51:54,357741
2024-05-29 09:51:56,359132
2024-05-29 09:51:58,363652
2024-05-29 09:52:00,364485
2024-05-29 09:52:02,378952
2024-05-29 09:52:04,384515
2024-05-29 09:52:06,385050
2024-05-29 09:52:08,385420
2024-05-29 09:52:10,385850
2024-05-29 09:52:12,386152
2024-05-29 09:52:14,392538
2024-05-29 09:52:16,406531
2024-05-29 09:52:18,407528
2024-05-29 09:52:20,407719
2024-05-29 09:52:22,415955
2024-05-29 09:52:24,416068
2024-05-29 09:52:26,417020
2024-05-29 09:52:28,418099
2024-05-29 09:52:30,430614
2024-05-29 09:52:32,437095
2024-05-29 09:52:34,438332
2024-05-29 09:52:36,444109
2024-05-29 09:52:38,444483
2024-05-29 09:52:40,445630
2024-05-29 09:52:42,455273
2024-05-29 09:52:44,466914
2024-05-29 09:52:46,468002
2024-05-29 09:52:48,466332
2024-05-29 09:52:50,474865
2024-05-29 09:52:52,465933
2024-05-29 09:52:54,479575
2024-05-29 09:52:56,481092
2024-05-29 09:52:58,481790
2024-05-29 09:53:00,482807
2024-05-29 09:53:02,500079
2024-05-29 09:53:04,500565
2024-05-29 09:53:06,501547
2024-05-29 09:53:08,508226
2024-05-29 09:53:10,509147
2024-05-29 09:53:12,510751
2024-05-29 09:53:14,511289
2024-05-29 09:53:16,530025
2024-05-29 09:53:18,531391
2024-05-29 09:53:20,533466
2024-05-29 09:53:22,533768
2024-05-29 09:53:24,537831
2024-05-29 09:53:26,537886
2024-05-29 09:53:28,538793
2024-05-29 09:53:30,553476
2024-05-29 09:53:32,554108
