"Time","default"
2024-05-29 10:42:44,0.00518
2024-05-29 10:42:46,0.00516
2024-05-29 10:42:48,0.00518
2024-05-29 10:42:50,0.00501
2024-05-29 10:42:52,0.00507
2024-05-29 10:42:54,0.00510
2024-05-29 10:42:56,0.00519
2024-05-29 10:42:58,0.00524
2024-05-29 10:43:00,0.00528
2024-05-29 10:43:02,0.00523
2024-05-29 10:43:04,0.00526
2024-05-29 10:43:06,0.00562
2024-05-29 10:43:08,0.00573
2024-05-29 10:43:10,0.00576
2024-05-29 10:43:12,0.00585
2024-05-29 10:43:14,0.00589
2024-05-29 10:43:16,0.00592
2024-05-29 10:43:18,0.00596
2024-05-29 10:43:20,0.00554
2024-05-29 10:43:22,0.00596
2024-05-29 10:43:24,0.00594
2024-05-29 10:43:26,0.00671
2024-05-29 10:43:28,0.00675
2024-05-29 10:43:30,0.00678
2024-05-29 10:43:32,0.00685
2024-05-29 10:43:34,0.00706
2024-05-29 10:43:36,0.00728
2024-05-29 10:43:38,0.00737
2024-05-29 10:43:40,0.00758
2024-05-29 10:43:42,0.00812
2024-05-29 10:43:44,0.00820
2024-05-29 10:43:46,0.00833
2024-05-29 10:43:48,0.00878
2024-05-29 10:43:50,0.00894
2024-05-29 10:43:52,0.00896
2024-05-29 10:43:54,0.00900
2024-05-29 10:43:56,0.00938
2024-05-29 10:43:58,0.00948
2024-05-29 10:44:00,0.0104
2024-05-29 10:44:02,0.0107
2024-05-29 10:44:04,0.0106
2024-05-29 10:44:06,0.0111
2024-05-29 10:44:08,0.0114
2024-05-29 10:44:10,0.0115
2024-05-29 10:44:12,0.0119
2024-05-29 10:44:14,0.0121
2024-05-29 10:44:16,0.0122
2024-05-29 10:44:18,0.0133
2024-05-29 10:44:20,0.0134
2024-05-29 10:44:22,0.0135
2024-05-29 10:44:24,0.0135
2024-05-29 10:44:26,0.0136
2024-05-29 10:44:28,0.0142
2024-05-29 10:44:30,0.0150
2024-05-29 10:44:32,0.0155
2024-05-29 10:44:34,0.0155
2024-05-29 10:44:36,0.0156
2024-05-29 10:44:38,0.0157
2024-05-29 10:44:40,0.0160
2024-05-29 10:44:42,0.0164
2024-05-29 10:44:44,0.0172
2024-05-29 10:44:46,0.0171
2024-05-29 10:44:48,0.0176
2024-05-29 10:44:50,0.0181
2024-05-29 10:44:52,0.0183
2024-05-29 10:44:54,0.0184
2024-05-29 10:44:56,0.0185
2024-05-29 10:44:58,0.0191
2024-05-29 10:45:00,0.0196
2024-05-29 10:45:02,0.0208
2024-05-29 10:45:04,0.0210
2024-05-29 10:45:06,0.0210
2024-05-29 10:45:08,0.0210
2024-05-29 10:45:10,0.0212
2024-05-29 10:45:12,0.0216
2024-05-29 10:45:14,0.0223
2024-05-29 10:45:16,0.0228
2024-05-29 10:45:18,0.0229
2024-05-29 10:45:20,0.0235
2024-05-29 10:45:22,0.0242
2024-05-29 10:45:24,0.0243
2024-05-29 10:45:26,0.0246
2024-05-29 10:45:28,0.0257
2024-05-29 10:45:30,0.0257
2024-05-29 10:45:32,0.0260
2024-05-29 10:45:34,0.0265
2024-05-29 10:45:36,0.0265
2024-05-29 10:45:38,0.0266
2024-05-29 10:45:40,0.0276
2024-05-29 10:45:42,0.0276
2024-05-29 10:45:44,0.0286
2024-05-29 10:45:46,0.0294
2024-05-29 10:45:48,0.0296
2024-05-29 10:45:50,0.0297
2024-05-29 10:45:52,0.0301
2024-05-29 10:45:54,0.0304
2024-05-29 10:45:56,0.0309
2024-05-29 10:45:58,0.0312
2024-05-29 10:46:00,0.0312
2024-05-29 10:46:02,0.0325
2024-05-29 10:46:04,0.0326
2024-05-29 10:46:06,0.0330
2024-05-29 10:46:08,0.0337
2024-05-29 10:46:10,0.0341
2024-05-29 10:46:12,0.0341
2024-05-29 10:46:14,0.0347
2024-05-29 10:46:16,0.0352
2024-05-29 10:46:18,0.0358
2024-05-29 10:46:20,0.0362
2024-05-29 10:46:22,0.0368
2024-05-29 10:46:24,0.0371
2024-05-29 10:46:26,0.0371
2024-05-29 10:46:28,0.0379
2024-05-29 10:46:30,0.0379
2024-05-29 10:46:32,0.0388
2024-05-29 10:46:34,0.0390
2024-05-29 10:46:36,0.0395
2024-05-29 10:46:38,0.0398
2024-05-29 10:46:40,0.0408
2024-05-29 10:46:42,0.0410
2024-05-29 10:46:44,0.0411
2024-05-29 10:46:46,0.0410
2024-05-29 10:46:48,0.0419
2024-05-29 10:46:50,0.0422
2024-05-29 10:46:52,0.0430
2024-05-29 10:46:54,0.0436
2024-05-29 10:46:56,0.0443
2024-05-29 10:46:58,0.0447
2024-05-29 10:47:00,0.0450
2024-05-29 10:47:02,0.0455
2024-05-29 10:47:04,0.0457
2024-05-29 10:47:06,0.0459
2024-05-29 10:47:08,0.0463
2024-05-29 10:47:10,0.0475
2024-05-29 10:47:12,0.0477
2024-05-29 10:47:14,0.0483
2024-05-29 10:47:16,0.0492
2024-05-29 10:47:18,0.0494
2024-05-29 10:47:20,0.0495
2024-05-29 10:47:22,0.0501
2024-05-29 10:47:24,0.0504
2024-05-29 10:47:26,0.0505
2024-05-29 10:47:28,0.0510
2024-05-29 10:47:30,0.0523
2024-05-29 10:47:32,0.0532
2024-05-29 10:47:34,0.0528
2024-05-29 10:47:36,0.0538
2024-05-29 10:47:38,0.0542
2024-05-29 10:47:40,0.0544
2024-05-29 10:47:42,0.0547
2024-05-29 10:47:44,0.0547
2024-05-29 10:47:46,0.0553
2024-05-29 10:47:48,0.0565
2024-05-29 10:47:50,0.0573
2024-05-29 10:47:52,0.0577
2024-05-29 10:47:54,0.0580
2024-05-29 10:47:56,0.0581
2024-05-29 10:47:58,0.0584
2024-05-29 10:48:00,0.0585
2024-05-29 10:48:02,0.0587
2024-05-29 10:48:04,0.0589
2024-05-29 10:48:06,0.0598
2024-05-29 10:48:08,0.0601
2024-05-29 10:48:10,0.0607
2024-05-29 10:48:12,0.0610
2024-05-29 10:48:14,0.0610
2024-05-29 10:48:16,0.0612
2024-05-29 10:48:18,0.0614
2024-05-29 10:48:20,0.0619
2024-05-29 10:48:22,0.0627
2024-05-29 10:48:24,0.0628
2024-05-29 10:48:26,0.0632
2024-05-29 10:48:28,0.0632
2024-05-29 10:48:30,0.0634
2024-05-29 10:48:32,0.0636
2024-05-29 10:48:34,0.0642
2024-05-29 10:48:36,0.0642
2024-05-29 10:48:38,0.0643
2024-05-29 10:48:40,0.0648
2024-05-29 10:48:42,0.0644
2024-05-29 10:48:44,0.0649
2024-05-29 10:48:46,0.0649
2024-05-29 10:48:48,0.0649
2024-05-29 10:48:50,0.0652
2024-05-29 10:48:52,0.0657
2024-05-29 10:48:54,0.0659
2024-05-29 10:48:56,0.0660
2024-05-29 10:48:58,0.0657
2024-05-29 10:49:00,0.0658
2024-05-29 10:49:02,0.0666
2024-05-29 10:49:04,0.0666
2024-05-29 10:49:06,0.0669
2024-05-29 10:49:08,0.0669
2024-05-29 10:49:10,0.0672
2024-05-29 10:49:12,0.0674
2024-05-29 10:49:14,0.0673
2024-05-29 10:49:16,0.0678
2024-05-29 10:49:18,0.0680
2024-05-29 10:49:20,0.0682
2024-05-29 10:49:22,0.0681
2024-05-29 10:49:24,0.0683
2024-05-29 10:49:26,0.0684
2024-05-29 10:49:28,0.0684
2024-05-29 10:49:30,0.0681
2024-05-29 10:49:32,0.0685
2024-05-29 10:49:34,0.0692
2024-05-29 10:49:36,0.0692
2024-05-29 10:49:38,0.0688
2024-05-29 10:49:40,0.0692
2024-05-29 10:49:42,0.0695
2024-05-29 10:49:44,0.0690
2024-05-29 10:49:46,0.0696
2024-05-29 10:49:48,0.0696
2024-05-29 10:49:50,0.0698
2024-05-29 10:49:52,0.0697
2024-05-29 10:49:54,0.0700
2024-05-29 10:49:56,0.0700
2024-05-29 10:49:58,0.0701
2024-05-29 10:50:00,0.0699
2024-05-29 10:50:02,0.0694
2024-05-29 10:50:04,0.0697
2024-05-29 10:50:06,0.0701
2024-05-29 10:50:08,0.0704
2024-05-29 10:50:10,0.0705
2024-05-29 10:50:12,0.0705
2024-05-29 10:50:14,0.0704
2024-05-29 10:50:16,0.0705
2024-05-29 10:50:18,0.0707
2024-05-29 10:50:20,0.0707
2024-05-29 10:50:22,0.0701
2024-05-29 10:50:24,0.0703
2024-05-29 10:50:26,0.0702
2024-05-29 10:50:28,0.0706
2024-05-29 10:50:30,0.0707
2024-05-29 10:50:32,0.0706
2024-05-29 10:50:34,0.0706
2024-05-29 10:50:36,0.0708
2024-05-29 10:50:38,0.0707
2024-05-29 10:50:40,0.0702
2024-05-29 10:50:42,0.0708
2024-05-29 10:50:44,0.0704
