"Time","default"
2024-05-31 12:02:32,0.00609
2024-05-31 12:02:34,0.00620
2024-05-31 12:02:36,0.00612
2024-05-31 12:02:38,0.00620
2024-05-31 12:02:40,0.00644
2024-05-31 12:02:42,0.00657
2024-05-31 12:02:44,0.00626
2024-05-31 12:02:46,0.00635
2024-05-31 12:02:48,0.00644
2024-05-31 12:02:50,0.00652
2024-05-31 12:02:52,0.00660
2024-05-31 12:02:54,0.00662
2024-05-31 12:02:56,0.00664
2024-05-31 12:02:58,0.00743
2024-05-31 12:03:00,0.00788
2024-05-31 12:03:02,0.00792
2024-05-31 12:03:04,0.00803
2024-05-31 12:03:06,0.00812
2024-05-31 12:03:08,0.00824
2024-05-31 12:03:10,0.00851
2024-05-31 12:03:12,0.00859
2024-05-31 12:03:14,0.00872
2024-05-31 12:03:16,0.00879
2024-05-31 12:03:18,0.00972
2024-05-31 12:03:20,0.00980
2024-05-31 12:03:22,0.00998
2024-05-31 12:03:24,0.0102
2024-05-31 12:03:26,0.0102
2024-05-31 12:03:28,0.0110
2024-05-31 12:03:30,0.0111
2024-05-31 12:03:32,0.0113
2024-05-31 12:03:34,0.0114
2024-05-31 12:03:36,0.0118
2024-05-31 12:03:38,0.0120
2024-05-31 12:03:40,0.0121
2024-05-31 12:03:42,0.0122
2024-05-31 12:03:44,0.0123
2024-05-31 12:03:46,0.0126
2024-05-31 12:03:48,0.0137
2024-05-31 12:03:50,0.0141
2024-05-31 12:03:52,0.0142
2024-05-31 12:03:54,0.0143
2024-05-31 12:03:56,0.0146
2024-05-31 12:03:58,0.0147
2024-05-31 12:04:00,0.0152
2024-05-31 12:04:02,0.0154
2024-05-31 12:04:04,0.0160
2024-05-31 12:04:06,0.0166
2024-05-31 12:04:08,0.0167
2024-05-31 12:04:10,0.0169
2024-05-31 12:04:12,0.0173
2024-05-31 12:04:14,0.0175
2024-05-31 12:04:16,0.0180
2024-05-31 12:04:18,0.0185
2024-05-31 12:04:20,0.0187
2024-05-31 12:04:22,0.0189
2024-05-31 12:04:24,0.0201
2024-05-31 12:04:26,0.0203
2024-05-31 12:04:28,0.0205
2024-05-31 12:04:30,0.0208
2024-05-31 12:04:32,0.0208
2024-05-31 12:04:34,0.0214
2024-05-31 12:04:36,0.0219
2024-05-31 12:04:38,0.0221
2024-05-31 12:04:40,0.0222
2024-05-31 12:04:42,0.0230
2024-05-31 12:04:44,0.0241
2024-05-31 12:04:46,0.0243
2024-05-31 12:04:48,0.0246
2024-05-31 12:04:50,0.0250
2024-05-31 12:04:52,0.0251
2024-05-31 12:04:54,0.0256
2024-05-31 12:04:56,0.0259
2024-05-31 12:04:58,0.0262
2024-05-31 12:05:00,0.0270
2024-05-31 12:05:02,0.0281
2024-05-31 12:05:04,0.0284
2024-05-31 12:05:06,0.0288
2024-05-31 12:05:08,0.0291
2024-05-31 12:05:10,0.0293
2024-05-31 12:05:12,0.0298
2024-05-31 12:05:14,0.0302
2024-05-31 12:05:16,0.0310
2024-05-31 12:05:18,0.0315
2024-05-31 12:05:20,0.0315
2024-05-31 12:05:22,0.0320
2024-05-31 12:05:24,0.0323
2024-05-31 12:05:26,0.0326
2024-05-31 12:05:28,0.0333
2024-05-31 12:05:30,0.0336
2024-05-31 12:05:32,0.0338
2024-05-31 12:05:34,0.0330
2024-05-31 12:05:36,0.0333
2024-05-31 12:05:38,0.0334
2024-05-31 12:05:40,0.0342
2024-05-31 12:05:42,0.0348
2024-05-31 12:05:44,0.0354
2024-05-31 12:05:46,0.0353
2024-05-31 12:05:48,0.0363
2024-05-31 12:05:50,0.0366
2024-05-31 12:05:52,0.0366
2024-05-31 12:05:54,0.0368
2024-05-31 12:05:56,0.0381
2024-05-31 12:05:58,0.0382
2024-05-31 12:06:00,0.0384
2024-05-31 12:06:02,0.0388
2024-05-31 12:06:04,0.0394
2024-05-31 12:06:06,0.0400
2024-05-31 12:06:08,0.0402
2024-05-31 12:06:10,0.0409
2024-05-31 12:06:12,0.0412
2024-05-31 12:06:14,0.0416
2024-05-31 12:06:16,0.0419
2024-05-31 12:06:18,0.0424
2024-05-31 12:06:20,0.0428
2024-05-31 12:06:22,0.0438
2024-05-31 12:06:24,0.0440
2024-05-31 12:06:26,0.0443
2024-05-31 12:06:28,0.0447
2024-05-31 12:06:30,0.0446
2024-05-31 12:06:32,0.0453
2024-05-31 12:06:34,0.0461
2024-05-31 12:06:36,0.0467
2024-05-31 12:06:38,0.0476
2024-05-31 12:06:40,0.0477
2024-05-31 12:06:42,0.0482
2024-05-31 12:06:44,0.0484
2024-05-31 12:06:46,0.0485
2024-05-31 12:06:48,0.0488
2024-05-31 12:06:50,0.0498
2024-05-31 12:06:52,0.0505
2024-05-31 12:06:54,0.0513
2024-05-31 12:06:56,0.0515
2024-05-31 12:06:58,0.0521
2024-05-31 12:07:00,0.0525
2024-05-31 12:07:02,0.0527
2024-05-31 12:07:04,0.0533
2024-05-31 12:07:06,0.0532
2024-05-31 12:07:08,0.0538
2024-05-31 12:07:10,0.0555
2024-05-31 12:07:12,0.0558
2024-05-31 12:07:14,0.0560
2024-05-31 12:07:16,0.0561
2024-05-31 12:07:18,0.0570
2024-05-31 12:07:20,0.0576
2024-05-31 12:07:22,0.0578
2024-05-31 12:07:24,0.0586
2024-05-31 12:07:26,0.0600
2024-05-31 12:07:28,0.0602
2024-05-31 12:07:30,0.0609
2024-05-31 12:07:32,0.0612
2024-05-31 12:07:34,0.0615
2024-05-31 12:07:36,0.0616
2024-05-31 12:07:38,0.0621
2024-05-31 12:07:40,0.0619
2024-05-31 12:07:42,0.0630
2024-05-31 12:07:44,0.0639
2024-05-31 12:07:46,0.0647
2024-05-31 12:07:48,0.0649
2024-05-31 12:07:50,0.0651
2024-05-31 12:07:52,0.0651
2024-05-31 12:07:54,0.0655
2024-05-31 12:07:56,0.0654
2024-05-31 12:07:58,0.0655
2024-05-31 12:08:00,0.0661
2024-05-31 12:08:02,0.0677
2024-05-31 12:08:04,0.0677
2024-05-31 12:08:06,0.0678
2024-05-31 12:08:08,0.0678
2024-05-31 12:08:10,0.0683
2024-05-31 12:08:12,0.0685
2024-05-31 12:08:14,0.0689
2024-05-31 12:08:16,0.0687
2024-05-31 12:08:18,0.0691
2024-05-31 12:08:20,0.0695
2024-05-31 12:08:22,0.0704
2024-05-31 12:08:24,0.0704
2024-05-31 12:08:26,0.0705
2024-05-31 12:08:28,0.0699
2024-05-31 12:08:30,0.0710
2024-05-31 12:08:32,0.0715
2024-05-31 12:08:34,0.0715
2024-05-31 12:08:36,0.0715
2024-05-31 12:08:38,0.0715
2024-05-31 12:08:40,0.0726
2024-05-31 12:08:42,0.0726
2024-05-31 12:08:44,0.0727
2024-05-31 12:08:46,0.0723
2024-05-31 12:08:48,0.0728
2024-05-31 12:08:50,0.0739
2024-05-31 12:08:52,0.0739
2024-05-31 12:08:54,0.0740
2024-05-31 12:08:56,0.0736
2024-05-31 12:08:58,0.0742
2024-05-31 12:09:00,0.0749
2024-05-31 12:09:02,0.0752
2024-05-31 12:09:04,0.0744
2024-05-31 12:09:06,0.0753
2024-05-31 12:09:08,0.0753
2024-05-31 12:09:10,0.0753
2024-05-31 12:09:12,0.0758
2024-05-31 12:09:14,0.0755
2024-05-31 12:09:16,0.0755
2024-05-31 12:09:18,0.0755
2024-05-31 12:09:20,0.0758
2024-05-31 12:09:22,0.0765
2024-05-31 12:09:24,0.0758
2024-05-31 12:09:26,0.0765
2024-05-31 12:09:28,0.0769
2024-05-31 12:09:30,0.0771
2024-05-31 12:09:32,0.0772
2024-05-31 12:09:34,0.0770
2024-05-31 12:09:36,0.0774
2024-05-31 12:09:38,0.0774
2024-05-31 12:09:40,0.0771
2024-05-31 12:09:42,0.0778
2024-05-31 12:09:44,0.0775
2024-05-31 12:09:46,0.0779
2024-05-31 12:09:48,0.0780
2024-05-31 12:09:50,0.0780
2024-05-31 12:09:52,0.0781
2024-05-31 12:09:54,0.0782
2024-05-31 12:09:56,0.0781
2024-05-31 12:09:58,0.0780
2024-05-31 12:10:00,0.0786
2024-05-31 12:10:02,0.0786
2024-05-31 12:10:04,0.0787
2024-05-31 12:10:06,0.0790
2024-05-31 12:10:08,0.0791
2024-05-31 12:10:10,0.0786
2024-05-31 12:10:12,0.0793
2024-05-31 12:10:14,0.0797
2024-05-31 12:10:16,0.0797
2024-05-31 12:10:18,0.0797
2024-05-31 12:10:20,0.0797
2024-05-31 12:10:22,0.0796
2024-05-31 12:10:24,0.0798
2024-05-31 12:10:26,0.0799
2024-05-31 12:10:28,0.0796
2024-05-31 12:10:30,0.0800
2024-05-31 12:10:32,0.0803
2024-05-31 12:10:34,0.0803
2024-05-31 12:10:36,0.0801
2024-05-31 12:10:38,0.0801
2024-05-31 12:10:40,0.0805
2024-05-31 12:10:42,0.0806
2024-05-31 12:10:44,0.0810
2024-05-31 12:10:46,0.0809
2024-05-31 12:10:48,0.0803
2024-05-31 12:10:50,0.0804
2024-05-31 12:10:52,0.0809
2024-05-31 12:10:54,0.0811
2024-05-31 12:10:56,0.0808
2024-05-31 12:10:58,0.0810
2024-05-31 12:11:00,0.0809
2024-05-31 12:11:02,0.0816
2024-05-31 12:11:04,0.0815
2024-05-31 12:11:06,0.0817
2024-05-31 12:11:08,0.0817
2024-05-31 12:11:10,0.0818
2024-05-31 12:11:12,0.0817
2024-05-31 12:11:14,0.0822
2024-05-31 12:11:16,0.0820
2024-05-31 12:11:18,0.0822
2024-05-31 12:11:20,0.0816
2024-05-31 12:11:22,0.0818
2024-05-31 12:11:24,0.0820
2024-05-31 12:11:26,0.0818
2024-05-31 12:11:28,0.0822
2024-05-31 12:11:30,0.0817
2024-05-31 12:11:32,0.0811
2024-05-31 12:11:34,0.0817
2024-05-31 12:11:36,0.0820
2024-05-31 12:11:38,0.0814
2024-05-31 12:11:40,0.0815
2024-05-31 12:11:42,0.0823
2024-05-31 12:11:44,0.0823
2024-05-31 12:11:46,0.0818
2024-05-31 12:11:48,0.0823
2024-05-31 12:11:50,0.0818
2024-05-31 12:11:52,0.0817
2024-05-31 12:11:54,0.0824
2024-05-31 12:11:56,0.0824
2024-05-31 12:11:58,0.0820
2024-05-31 12:12:00,0.0822
2024-05-31 12:12:02,0.0825
2024-05-31 12:12:04,0.0824
2024-05-31 12:12:06,0.0825
2024-05-31 12:12:08,0.0819
2024-05-31 12:12:10,0.0819
2024-05-31 12:12:12,0.0820
2024-05-31 12:12:14,0.0817
2024-05-31 12:12:16,0.0818
2024-05-31 12:12:18,0.0813
2024-05-31 12:12:20,0.0819
2024-05-31 12:12:22,0.0820
2024-05-31 12:12:24,0.0817
2024-05-31 12:12:26,0.0809
2024-05-31 12:12:28,0.0812
2024-05-31 12:12:30,0.0812
2024-05-31 12:12:32,0.0813
2024-05-31 12:12:34,0.0812
2024-05-31 12:12:36,0.0807
2024-05-31 12:12:38,0.0808
2024-05-31 12:12:40,0.0812
2024-05-31 12:12:42,0.0812
2024-05-31 12:12:44,0.0815
2024-05-31 12:12:46,0.0814
2024-05-31 12:12:48,0.0809
2024-05-31 12:12:50,0.0809
2024-05-31 12:12:52,0.0814
2024-05-31 12:12:54,0.0813
2024-05-31 12:12:56,0.0808
2024-05-31 12:12:58,0.0804
2024-05-31 12:13:00,0.0810
2024-05-31 12:13:02,0.0804
2024-05-31 12:13:04,0.0815
2024-05-31 12:13:06,0.0812
2024-05-31 12:13:08,0.0814
2024-05-31 12:13:10,0.0814
2024-05-31 12:13:12,0.0813
2024-05-31 12:13:14,0.0813
2024-05-31 12:13:16,0.0815
2024-05-31 12:13:18,0.0815
2024-05-31 12:13:20,0.0815
2024-05-31 12:13:22,0.0815
2024-05-31 12:13:24,0.0806
2024-05-31 12:13:26,0.0813
