"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:09:52,2379
2024-05-29 11:09:54,2379
2024-05-29 11:09:56,2384
2024-05-29 11:09:58,2402
2024-05-29 11:10:00,2374
2024-05-29 11:10:02,2382
2024-05-29 11:10:04,2414
2024-05-29 11:10:06,2361
2024-05-29 11:10:08,2358
2024-05-29 11:10:10,2358
2024-05-29 11:10:12,2363
2024-05-29 11:10:14,2375
2024-05-29 11:10:16,2391
2024-05-29 11:10:18,2407
2024-05-29 11:10:20,2393
2024-05-29 11:10:22,2368
2024-05-29 11:10:24,2337
2024-05-29 11:10:26,2354
2024-05-29 11:10:28,2397
2024-05-29 11:10:30,2403
2024-05-29 11:10:32,2397
2024-05-29 11:10:34,2397
2024-05-29 11:10:36,2359
2024-05-29 11:10:38,2361
2024-05-29 11:10:40,2382
2024-05-29 11:10:42,1484
2024-05-29 11:10:44,1479
2024-05-29 11:10:46,1478
2024-05-29 11:10:48,1457
2024-05-29 11:10:50,1464
2024-05-29 11:10:52,1456
2024-05-29 11:10:54,1456
2024-05-29 11:10:56,1467
2024-05-29 11:10:58,1471
2024-05-29 11:11:00,1461
2024-05-29 11:11:02,1461
2024-05-29 11:11:04,1463
2024-05-29 11:11:06,1473
2024-05-29 11:11:08,1465
2024-05-29 11:11:10,1465
2024-05-29 11:11:12,1447
2024-05-29 11:11:14,1463
2024-05-29 11:11:16,1466
2024-05-29 11:11:18,1483
2024-05-29 11:11:20,1476
2024-05-29 11:11:22,1478
2024-05-29 11:11:24,1476
2024-05-29 11:11:26,1474
2024-05-29 11:11:28,1462
2024-05-29 11:11:30,1433
2024-05-29 11:11:32,1431
2024-05-29 11:11:34,1469
2024-05-29 11:11:36,1469
2024-05-29 11:11:38,1463
2024-05-29 11:11:40,1481
2024-05-29 11:11:42,1450
2024-05-29 11:11:44,1434
2024-05-29 11:11:46,1460
2024-05-29 11:11:48,1457
2024-05-29 11:11:50,1326
2024-05-29 11:11:52,1354
2024-05-29 11:11:54,1326
2024-05-29 11:11:56,1166
2024-05-29 11:11:58,1166
2024-05-29 11:12:00,1173
2024-05-29 11:12:02,1165
2024-05-29 11:12:04,1179
2024-05-29 11:12:06,1171
2024-05-29 11:12:08,1197
2024-05-29 11:12:10,1187
2024-05-29 11:12:12,1172
2024-05-29 11:12:14,1157
2024-05-29 11:12:16,1157
2024-05-29 11:12:18,1169
2024-05-29 11:12:20,835
2024-05-29 11:12:22,835
2024-05-29 11:12:24,813
2024-05-29 11:12:26,813
2024-05-29 11:12:28,482
2024-05-29 11:12:30,482
2024-05-29 11:12:32,489
