"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-31 12:02:32,146269
2024-05-31 12:02:34,148486
2024-05-31 12:02:36,150950
2024-05-31 12:02:38,152272
2024-05-31 12:02:40,142895
2024-05-31 12:02:42,144697
2024-05-31 12:02:44,146886
2024-05-31 12:02:46,147896
2024-05-31 12:02:48,148551
2024-05-31 12:02:50,151583
2024-05-31 12:02:52,153313
2024-05-31 12:02:54,154613
2024-05-31 12:02:56,156107
2024-05-31 12:02:58,149014
2024-05-31 12:03:00,149008
2024-05-31 12:03:02,153489
2024-05-31 12:03:04,155006
2024-05-31 12:03:06,156564
2024-05-31 12:03:08,158016
2024-05-31 12:03:10,159864
2024-05-31 12:03:12,161351
2024-05-31 12:03:14,163308
2024-05-31 12:03:16,159993
2024-05-31 12:03:18,152935
2024-05-31 12:03:20,154200
2024-05-31 12:03:22,154747
2024-05-31 12:03:24,155958
2024-05-31 12:03:26,157300
2024-05-31 12:03:28,158654
2024-05-31 12:03:30,159885
2024-05-31 12:03:32,153924
2024-05-31 12:03:34,155140
2024-05-31 12:03:36,155312
2024-05-31 12:03:38,155465
2024-05-31 12:03:40,156601
2024-05-31 12:03:42,157776
2024-05-31 12:03:44,160831
2024-05-31 12:03:46,162609
2024-05-31 12:03:48,154224
2024-05-31 12:03:50,154103
2024-05-31 12:03:52,155135
2024-05-31 12:03:54,156174
2024-05-31 12:03:56,157127
2024-05-31 12:03:58,159235
2024-05-31 12:04:00,155035
2024-05-31 12:04:02,154069
2024-05-31 12:04:04,155646
2024-05-31 12:04:06,156519
2024-05-31 12:04:08,157422
2024-05-31 12:04:10,159743
2024-05-31 12:04:12,160360
2024-05-31 12:04:14,161222
2024-05-31 12:04:16,155023
2024-05-31 12:04:18,155340
2024-05-31 12:04:20,158748
2024-05-31 12:04:22,159370
2024-05-31 12:04:24,160397
2024-05-31 12:04:26,161080
2024-05-31 12:04:28,161800
2024-05-31 12:04:30,161608
2024-05-31 12:04:32,158473
2024-05-31 12:04:34,155412
2024-05-31 12:04:36,158220
2024-05-31 12:04:38,160429
2024-05-31 12:04:40,161132
2024-05-31 12:04:42,162133
2024-05-31 12:04:44,161843
2024-05-31 12:04:46,161875
2024-05-31 12:04:48,162288
2024-05-31 12:04:50,165198
2024-05-31 12:04:52,161605
2024-05-31 12:04:54,158857
2024-05-31 12:04:56,159186
2024-05-31 12:04:58,162047
2024-05-31 12:05:00,161156
2024-05-31 12:05:02,164348
2024-05-31 12:05:04,167224
2024-05-31 12:05:06,166943
2024-05-31 12:05:08,162176
2024-05-31 12:05:10,162106
2024-05-31 12:05:12,171150
2024-05-31 12:05:14,170589
2024-05-31 12:05:16,168121
2024-05-31 12:05:18,159552
