"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:09:52,787
2024-05-29 11:09:54,800
2024-05-29 11:09:56,828
2024-05-29 11:09:58,791
2024-05-29 11:10:00,791
2024-05-29 11:10:02,791
2024-05-29 11:10:04,791
2024-05-29 11:10:06,803
2024-05-29 11:10:08,819
2024-05-29 11:10:10,830
2024-05-29 11:10:12,833
2024-05-29 11:10:14,1254
2024-05-29 11:10:16,1710
2024-05-29 11:10:18,1710
2024-05-29 11:10:20,1710
2024-05-29 11:10:22,1710
2024-05-29 11:10:24,1710
2024-05-29 11:10:26,1740
2024-05-29 11:10:28,1772
2024-05-29 11:10:30,1757
2024-05-29 11:10:32,1731
2024-05-29 11:10:34,1725
2024-05-29 11:10:36,1697
2024-05-29 11:10:38,1697
2024-05-29 11:10:40,1697
2024-05-29 11:10:42,1734
2024-05-29 11:10:44,1760
2024-05-29 11:10:46,1734
2024-05-29 11:10:48,1738
2024-05-29 11:10:50,1701
2024-05-29 11:10:52,1701
2024-05-29 11:10:54,1743
2024-05-29 11:10:56,1743
2024-05-29 11:10:58,1709
2024-05-29 11:11:00,1677
2024-05-29 11:11:02,1677
2024-05-29 11:11:04,1721
2024-05-29 11:11:06,1721
2024-05-29 11:11:08,1770
2024-05-29 11:11:10,1770
2024-05-29 11:11:12,1692
2024-05-29 11:11:14,1692
2024-05-29 11:11:16,1692
2024-05-29 11:11:18,1692
2024-05-29 11:11:20,1326
2024-05-29 11:11:22,1326
2024-05-29 11:11:24,949
2024-05-29 11:11:26,949
2024-05-29 11:11:28,909
2024-05-29 11:11:30,896
2024-05-29 11:11:32,896
2024-05-29 11:11:34,896
2024-05-29 11:11:36,943
2024-05-29 11:11:38,924
2024-05-29 11:11:40,924
2024-05-29 11:11:42,924
2024-05-29 11:11:44,900
2024-05-29 11:11:46,900
2024-05-29 11:11:48,900
2024-05-29 11:11:50,926
2024-05-29 11:11:52,951
2024-05-29 11:11:54,937
2024-05-29 11:11:56,924
2024-05-29 11:11:58,924
2024-05-29 11:12:00,898
2024-05-29 11:12:02,898
2024-05-29 11:12:04,898
2024-05-29 11:12:06,913
2024-05-29 11:12:08,943
2024-05-29 11:12:10,943
2024-05-29 11:12:12,922
2024-05-29 11:12:14,907
2024-05-29 11:12:16,907
2024-05-29 11:12:18,907
2024-05-29 11:12:20,907
2024-05-29 11:12:22,907
2024-05-29 11:12:24,928
2024-05-29 11:12:26,954
2024-05-29 11:12:28,938
2024-05-29 11:12:30,899
2024-05-29 11:12:32,899
2024-05-29 11:12:34,899
2024-05-29 11:12:36,922
2024-05-29 11:12:38,922
2024-05-29 11:12:40,939
2024-05-29 11:12:42,918
2024-05-29 11:12:44,918
2024-05-29 11:12:46,903
2024-05-29 11:12:48,900
