"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-31 11:56:35,0
2024-05-31 11:56:40,0
2024-05-31 11:56:45,0
2024-05-31 11:56:50,0
2024-05-31 11:56:55,0
2024-05-31 11:57:00,0
2024-05-31 11:57:05,0
2024-05-31 11:57:10,0
2024-05-31 11:57:15,0
2024-05-31 11:57:20,0
2024-05-31 11:57:25,0
2024-05-31 11:57:30,0
2024-05-31 11:57:35,0
2024-05-31 11:57:40,0
2024-05-31 11:57:45,0
2024-05-31 11:57:50,0
2024-05-31 11:57:55,0
2024-05-31 11:58:00,0
2024-05-31 11:58:05,0
2024-05-31 11:58:10,0
2024-05-31 11:58:15,0
2024-05-31 11:58:20,0
2024-05-31 11:58:25,0
2024-05-31 11:58:30,0
2024-05-31 11:58:35,0
2024-05-31 11:58:40,0
2024-05-31 11:58:45,0
2024-05-31 11:58:50,0
2024-05-31 11:58:55,0
2024-05-31 11:59:00,0
2024-05-31 11:59:05,0
2024-05-31 11:59:10,0
2024-05-31 11:59:15,0
2024-05-31 11:59:20,0
2024-05-31 11:59:25,0
2024-05-31 11:59:30,0
2024-05-31 11:59:35,0
2024-05-31 11:59:40,0
2024-05-31 11:59:45,0
2024-05-31 11:59:50,0
2024-05-31 11:59:55,0
2024-05-31 12:00:00,0
2024-05-31 12:00:05,0
2024-05-31 12:00:10,0
2024-05-31 12:00:15,0
2024-05-31 12:00:20,0
2024-05-31 12:00:25,0
2024-05-31 12:00:30,0
2024-05-31 12:00:35,0
2024-05-31 12:00:40,0
2024-05-31 12:00:45,0
2024-05-31 12:00:50,0
2024-05-31 12:00:55,0
2024-05-31 12:01:00,0
2024-05-31 12:01:05,0
2024-05-31 12:01:10,0
2024-05-31 12:01:15,0
2024-05-31 12:01:20,0
2024-05-31 12:01:25,0
2024-05-31 12:01:30,0
2024-05-31 12:01:35,0
2024-05-31 12:01:40,0
2024-05-31 12:01:45,0
2024-05-31 12:01:50,0
2024-05-31 12:01:55,0
2024-05-31 12:02:00,0
2024-05-31 12:02:05,0
2024-05-31 12:02:10,0
2024-05-31 12:02:15,0
2024-05-31 12:02:20,0
2024-05-31 12:02:25,0
2024-05-31 12:02:30,0
2024-05-31 12:02:35,0
2024-05-31 12:02:40,0
2024-05-31 12:02:45,0
2024-05-31 12:02:50,0
2024-05-31 12:02:55,0
2024-05-31 12:03:00,0
2024-05-31 12:03:05,0
2024-05-31 12:03:10,0
2024-05-31 12:03:15,0
2024-05-31 12:03:20,0
2024-05-31 12:03:25,0
2024-05-31 12:03:30,0
2024-05-31 12:03:35,0
2024-05-31 12:03:40,0
2024-05-31 12:03:45,0
2024-05-31 12:03:50,0
2024-05-31 12:03:55,0
2024-05-31 12:04:00,0
2024-05-31 12:04:05,0
2024-05-31 12:04:10,0
2024-05-31 12:04:15,0
2024-05-31 12:04:20,0
2024-05-31 12:04:25,0
2024-05-31 12:04:30,0
2024-05-31 12:04:35,0
2024-05-31 12:04:40,0
2024-05-31 12:04:45,0
2024-05-31 12:04:50,0
2024-05-31 12:04:55,0
2024-05-31 12:05:00,0
2024-05-31 12:05:05,0
2024-05-31 12:05:10,0
2024-05-31 12:05:15,0
2024-05-31 12:05:20,0
2024-05-31 12:05:25,0
2024-05-31 12:05:30,54.6
2024-05-31 12:05:35,55.6
2024-05-31 12:05:40,56.5
2024-05-31 12:05:45,110
2024-05-31 12:05:50,112
2024-05-31 12:05:55,111
2024-05-31 12:06:00,113
2024-05-31 12:06:05,112
2024-05-31 12:06:10,111
2024-05-31 12:06:15,113
2024-05-31 12:06:20,113
2024-05-31 12:06:25,111
2024-05-31 12:06:30,113
2024-05-31 12:06:35,113
2024-05-31 12:06:40,112
2024-05-31 12:06:45,114
2024-05-31 12:06:50,114
2024-05-31 12:06:55,111
2024-05-31 12:07:00,113
2024-05-31 12:07:05,113
2024-05-31 12:07:10,112
2024-05-31 12:07:15,114
2024-05-31 12:07:20,110
2024-05-31 12:07:25,112
2024-05-31 12:07:30,114
2024-05-31 12:07:35,111
2024-05-31 12:07:40,111
2024-05-31 12:07:45,113
2024-05-31 12:07:50,112
2024-05-31 12:07:55,110
2024-05-31 12:08:00,112
2024-05-31 12:08:05,114
2024-05-31 12:08:10,111
2024-05-31 12:08:15,111
2024-05-31 12:08:20,111
2024-05-31 12:08:25,111
2024-05-31 12:08:30,113
2024-05-31 12:08:35,115
2024-05-31 12:08:40,111
2024-05-31 12:08:45,112
2024-05-31 12:08:50,114
2024-05-31 12:08:55,113
2024-05-31 12:09:00,112
2024-05-31 12:09:05,113
2024-05-31 12:09:10,112
2024-05-31 12:09:15,111
2024-05-31 12:09:20,111
2024-05-31 12:09:25,113
2024-05-31 12:09:30,111
2024-05-31 12:09:35,113
2024-05-31 12:09:40,110
2024-05-31 12:09:45,112
2024-05-31 12:09:50,112
2024-05-31 12:09:55,111
2024-05-31 12:10:00,113
2024-05-31 12:10:05,112
2024-05-31 12:10:10,111
2024-05-31 12:10:15,113
2024-05-31 12:10:20,56.1
2024-05-31 12:10:25,0
2024-05-31 12:10:30,0
2024-05-31 12:10:35,225
2024-05-31 12:10:40,225
2024-05-31 12:10:45,233
2024-05-31 12:10:50,233
2024-05-31 12:10:55,231
2024-05-31 12:11:00,225
2024-05-31 12:11:05,232
2024-05-31 12:11:10,238
2024-05-31 12:11:15,224
2024-05-31 12:11:20,224
2024-05-31 12:11:25,233
2024-05-31 12:11:30,224
2024-05-31 12:11:35,232
2024-05-31 12:11:40,238
2024-05-31 12:11:45,223
2024-05-31 12:11:50,223
2024-05-31 12:11:55,234
2024-05-31 12:12:00,228
2024-05-31 12:12:05,228
2024-05-31 12:12:10,233
2024-05-31 12:12:15,222
2024-05-31 12:12:20,230
2024-05-31 12:12:25,230
2024-05-31 12:12:30,224
2024-05-31 12:12:35,231
2024-05-31 12:12:40,232
2024-05-31 12:12:45,232
2024-05-31 12:12:50,233
2024-05-31 12:12:55,233
2024-05-31 12:13:00,226
2024-05-31 12:13:05,226
2024-05-31 12:13:10,231
2024-05-31 12:13:15,224
2024-05-31 12:13:20,232
2024-05-31 12:13:25,235
2024-05-31 12:13:30,227
2024-05-31 12:13:35,227
2024-05-31 12:13:40,233
2024-05-31 12:13:45,230
2024-05-31 12:13:50,230
2024-05-31 12:13:55,237
2024-05-31 12:14:00,222
2024-05-31 12:14:05,226
2024-05-31 12:14:10,231
2024-05-31 12:14:15,229
2024-05-31 12:14:20,235
2024-05-31 12:14:25,231
2024-05-31 12:14:30,229
2024-05-31 12:14:35,224
2024-05-31 12:14:40,234
2024-05-31 12:14:45,228
