"Time","adservice-66cdf5d799-5lhlj","adservice-6b4979fd86-tnxvz","cartservice-594d56988-9w8kn","cartservice-88fdf8db5-2wr56","checkoutservice-678cdcb74b-xcwsn","checkoutservice-77bcb7ccc7-f46zn","currencyservice-65f5c47df6-rp4vg","currencyservice-84f9ccd67-rjh2b","emailservice-57d8c6575f-q74jx","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-6b49fbfbff-4b47z","loadgenerator-64d987f766-wkpjd","loadgenerator-7c6fb64488-2t28g","loadgenerator-7c6fb64488-9r298","paymentservice-584488cb95-kxs6t","paymentservice-dc6c9d6c6-87r24","productcatalogservice-5f999d9577-m9flc","productcatalogservice-68f4dbd84b-7jjgx","recommendationservice-564896d75f-4djl7","recommendationservice-6d849b6d76-z796t","redis-cart-7fc544db85-mk6rh","redis-cart-855b76d469-trkq5","shippingservice-5cb69d4cbd-bmprb","shippingservice-79d4cfc86c-8h4z5"
2024-05-31 11:56:35,,103,,125,,114,,145,,312,108,,2.62,,,139,,,131,312,,72.4,,,195
2024-05-31 11:56:40,,103,,128,,118,,143,,314,105,,2.48,,,137,,,134,312,,71.3,,,195
2024-05-31 11:56:45,,103,,126,,117,,147,,314,105,,2.48,,,137,,,134,302,,68.1,,,195
2024-05-31 11:56:50,,102,,126,,117,,147,,314,105,,1.72,,,142,,,136,314,,70.4,,,194
2024-05-31 11:56:55,,102,,126,,114,,149,,311,106,,1.75,,,142,,,131,317,,70.7,,,194
2024-05-31 11:57:00,,102,,123,,118,,144,,312,106,,1.70,,,143,,,135,315,,70.7,,,194
2024-05-31 11:57:05,,103,,123,,119,,149,,312,103,,1.70,,,144,,,133,312,,71.3,,,198
2024-05-31 11:57:10,,101,,123,,119,,145,,292,106,,1.70,,,142,,,133,312,,71.7,,,198
2024-05-31 11:57:15,,103,,125,,120,,149,,314,106,,1.70,,,142,,,134,303,,73.0,,,196
2024-05-31 11:57:20,,103,,125,,116,,148,,314,104,,1.81,,,140,,,134,318,,73.0,,,194
2024-05-31 11:57:25,,103,,124,,120,,148,,311,103,,1.71,,,138,,,132,318,,70.5,,,194
2024-05-31 11:57:30,,97.8,,124,,120,,143,,309,103,,1.64,,,138,,,127,320,,72.9,,,194
2024-05-31 11:57:35,,100,,124,,120,,143,,309,99.7,,0.724,,,134,,,132,307,,72.9,,,193
2024-05-31 11:57:40,,100,,127,,120,,147,,300,104,,0.724,,,138,,,130,317,,72.9,,,194
2024-05-31 11:57:45,,101,,127,,123,,147,,313,104,,0.681,,,144,,,135,317,,71.9,,,194
