"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:09:52,1110188
2024-05-29 11:09:54,1099273
2024-05-29 11:09:56,1062493
2024-05-29 11:09:58,1060785
2024-05-29 11:10:00,1061715
2024-05-29 11:10:02,1055847
2024-05-29 11:10:04,1055392
2024-05-29 11:10:06,1054806
2024-05-29 11:10:08,1048800
2024-05-29 11:10:10,1044692
2024-05-29 11:10:12,1019121
2024-05-29 11:10:14,1005496
2024-05-29 11:10:16,958982
2024-05-29 11:10:18,978604
2024-05-29 11:10:20,979320
2024-05-29 11:10:22,978656
2024-05-29 11:10:24,973573
2024-05-29 11:10:26,950441
2024-05-29 11:10:28,945827
2024-05-29 11:10:30,942554
2024-05-29 11:10:32,941138
2024-05-29 11:10:34,930385
2024-05-29 11:10:36,928309
2024-05-29 11:10:38,928501
2024-05-29 11:10:40,927385
2024-05-29 11:10:42,902576
2024-05-29 11:10:44,891975
2024-05-29 11:10:46,868296
2024-05-29 11:10:48,867018
2024-05-29 11:10:50,866580
2024-05-29 11:10:52,865445
2024-05-29 11:10:54,864452
2024-05-29 11:10:56,859868
2024-05-29 11:10:58,856559
2024-05-29 11:11:00,795604
2024-05-29 11:11:02,812960
2024-05-29 11:11:04,810931
2024-05-29 11:11:06,811112
2024-05-29 11:11:08,809144
2024-05-29 11:11:10,804403
2024-05-29 11:11:12,803790
2024-05-29 11:11:14,799077
2024-05-29 11:11:16,777764
2024-05-29 11:11:18,755511
2024-05-29 11:11:20,754738
2024-05-29 11:11:22,749060
2024-05-29 11:11:24,747962
2024-05-29 11:11:26,748181
2024-05-29 11:11:28,744729
2024-05-29 11:11:30,743616
2024-05-29 11:11:32,727686
2024-05-29 11:11:34,677495
2024-05-29 11:11:36,677034
2024-05-29 11:11:38,689542
2024-05-29 11:11:40,688845
2024-05-29 11:11:42,685262
2024-05-29 11:11:44,684133
2024-05-29 11:11:46,670620
2024-05-29 11:11:48,670449
2024-05-29 11:11:50,668870
2024-05-29 11:11:52,669162
2024-05-29 11:11:54,645969
