"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-31 11:56:35,1758
2024-05-31 11:56:40,1762
2024-05-31 11:56:45,1750
2024-05-31 11:56:50,1770
2024-05-31 11:56:55,1765
2024-05-31 11:57:00,1763
2024-05-31 11:57:05,1770
2024-05-31 11:57:10,1746
2024-05-31 11:57:15,1768
2024-05-31 11:57:20,1769
2024-05-31 11:57:25,1763
2024-05-31 11:57:30,1751
2024-05-31 11:57:35,1736
2024-05-31 11:57:40,1751
2024-05-31 11:57:45,1776
2024-05-31 11:57:50,1771
2024-05-31 11:57:55,1762
2024-05-31 11:58:00,1767
2024-05-31 11:58:05,1925
2024-05-31 11:58:10,1927
2024-05-31 11:58:15,1926
2024-05-31 11:58:20,1906
2024-05-31 11:58:25,2037
2024-05-31 11:58:30,2041
2024-05-31 11:58:35,2132
2024-05-31 11:58:40,2149
2024-05-31 11:58:45,2169
2024-05-31 11:58:50,2268
2024-05-31 11:58:55,2268
2024-05-31 11:59:00,2271
2024-05-31 11:59:05,2306
2024-05-31 11:59:10,2419
2024-05-31 11:59:15,2450
2024-05-31 11:59:20,2447
2024-05-31 11:59:25,2456
2024-05-31 11:59:30,2549
2024-05-31 11:59:35,2596
2024-05-31 11:59:40,2601
2024-05-31 11:59:45,2602
2024-05-31 11:59:50,2737
2024-05-31 11:59:55,2730
2024-05-31 12:00:00,2727
2024-05-31 12:00:05,2886
2024-05-31 12:00:10,2886
2024-05-31 12:00:15,2972
2024-05-31 12:00:20,2972
2024-05-31 12:00:25,3049
2024-05-31 12:00:30,3034
2024-05-31 12:00:35,3121
2024-05-31 12:00:40,3232
2024-05-31 12:00:45,3310
2024-05-31 12:00:50,3348
2024-05-31 12:00:55,3397
2024-05-31 12:01:00,3456
2024-05-31 12:01:05,3454
2024-05-31 12:01:10,3518
2024-05-31 12:01:15,3624
2024-05-31 12:01:20,3712
2024-05-31 12:01:25,3713
2024-05-31 12:01:30,3723
2024-05-31 12:01:35,3780
2024-05-31 12:01:40,3881
2024-05-31 12:01:45,3950
2024-05-31 12:01:50,4095
2024-05-31 12:01:55,4033
2024-05-31 12:02:00,4086
2024-05-31 12:02:05,4153
2024-05-31 12:02:10,4272
2024-05-31 12:02:15,4265
2024-05-31 12:02:20,4224
2024-05-31 12:02:25,4302
2024-05-31 12:02:30,4440
2024-05-31 12:02:35,4500
2024-05-31 12:02:40,4601
2024-05-31 12:02:45,4607
2024-05-31 12:02:50,6483
2024-05-31 12:02:55,6995
2024-05-31 12:03:00,10412
2024-05-31 12:03:05,11274
2024-05-31 12:03:10,11647
2024-05-31 12:03:15,18174
2024-05-31 12:03:20,19664
2024-05-31 12:03:25,20080
2024-05-31 12:03:30,28503
2024-05-31 12:03:35,29744
2024-05-31 12:03:40,36671
2024-05-31 12:03:45,40739
2024-05-31 12:03:50,42295
2024-05-31 12:03:55,51954
2024-05-31 12:04:00,53220
2024-05-31 12:04:05,58223
2024-05-31 12:04:10,70621
2024-05-31 12:04:15,74948
2024-05-31 12:04:20,78596
2024-05-31 12:04:25,88907
2024-05-31 12:04:30,94137
2024-05-31 12:04:35,96768
2024-05-31 12:04:40,97183
2024-05-31 12:04:45,121208
2024-05-31 12:04:50,123951
2024-05-31 12:04:55,128255
2024-05-31 12:05:00,150429
2024-05-31 12:05:05,153476
2024-05-31 12:05:10,157305
2024-05-31 12:05:15,177640
2024-05-31 12:05:20,186297
2024-05-31 12:05:25,190537
2024-05-31 12:05:30,210838
2024-05-31 12:05:35,215864
2024-05-31 12:05:40,219774
2024-05-31 12:05:45,227440
2024-05-31 12:05:50,255362
2024-05-31 12:05:55,263128
2024-05-31 12:06:00,268880
2024-05-31 12:06:05,275179
2024-05-31 12:06:10,301686
2024-05-31 12:06:15,306916
2024-05-31 12:06:20,327215
2024-05-31 12:06:25,333344
2024-05-31 12:06:30,350294
2024-05-31 12:06:35,359849
2024-05-31 12:06:40,366409
2024-05-31 12:06:45,390225
2024-05-31 12:06:50,396678
2024-05-31 12:06:55,411056
2024-05-31 12:07:00,410544
2024-05-31 12:07:05,449823
2024-05-31 12:07:10,458287
2024-05-31 12:07:15,466715
2024-05-31 12:07:20,491984
2024-05-31 12:07:25,502566
2024-05-31 12:07:30,511461
2024-05-31 12:07:35,541600
2024-05-31 12:07:40,552274
2024-05-31 12:07:45,561314
2024-05-31 12:07:50,583568
2024-05-31 12:07:55,593653
2024-05-31 12:08:00,607225
2024-05-31 12:08:05,632345
2024-05-31 12:08:10,636857
2024-05-31 12:08:15,656909
2024-05-31 12:08:20,648636
2024-05-31 12:08:25,682265
2024-05-31 12:08:30,698145
2024-05-31 12:08:35,700010
2024-05-31 12:08:40,725534
2024-05-31 12:08:45,733060
2024-05-31 12:08:50,739119
2024-05-31 12:08:55,769157
2024-05-31 12:09:00,772083
2024-05-31 12:09:05,776857
2024-05-31 12:09:10,790379
2024-05-31 12:09:15,803555
2024-05-31 12:09:20,803920
2024-05-31 12:09:25,823793
2024-05-31 12:09:30,832864
2024-05-31 12:09:35,833688
2024-05-31 12:09:40,844800
2024-05-31 12:09:45,860277
2024-05-31 12:09:50,859982
2024-05-31 12:09:55,861091
2024-05-31 12:10:00,882999
2024-05-31 12:10:05,887985
2024-05-31 12:10:10,889276
2024-05-31 12:10:15,907673
2024-05-31 12:10:20,910360
2024-05-31 12:10:25,911004
2024-05-31 12:10:30,881565
2024-05-31 12:10:35,932327
