"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-ndrlj","loadgenerator-7b495c87ff-zq277","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 11:33:00,122,144,181,169,320,1789,5808,212,146,162,325,71.1,227
2024-05-29 11:33:02,122,144,181,169,317,1847,5764,226,146,191,325,71.1,227
2024-05-29 11:33:04,122,139,181,168,317,1847,5720,171,146,191,325,72.9,227
2024-05-29 11:33:06,125,179,181,168,318,1847,5676,171,146,191,327,72.9,227
2024-05-29 11:33:08,125,179,238,168,318,2695,5561,327,148,191,327,71.0,226
2024-05-29 11:33:10,125,179,238,168,318,2695,5518,345,148,191,316,71.0,218
2024-05-29 11:33:12,125,179,238,168,318,2695,5475,363,148,191,380,71.0,244
2024-05-29 11:33:14,125,179,238,168,328,2695,5431,380,148,191,380,71.0,244
2024-05-29 11:33:16,121,179,238,164,328,2695,5388,398,148,663,380,71.0,244
2024-05-29 11:33:18,120,260,237,416,328,2674,5345,416,148,663,383,70.2,244
2024-05-29 11:33:20,155,260,237,416,328,4918,5301,433,148,663,383,101,244
2024-05-29 11:33:22,155,266,237,416,328,4918,5258,666,153,694,383,101,267
2024-05-29 11:33:24,155,266,296,416,328,4918,4946,692,155,694,383,101,271
2024-05-29 11:33:26,155,266,296,416,328,4918,5101,718,155,694,383,101,271
2024-05-29 11:33:28,155,266,296,430,328,4918,5058,744,155,694,383,101,271
2024-05-29 11:33:30,156,266,292,430,336,4918,5016,771,155,1532,370,101,271
2024-05-29 11:33:32,156,266,302,430,336,4918,4973,797,164,1532,527,101,271
2024-05-29 11:33:34,156,443,302,752,336,4918,4930,823,164,1532,527,135,271
2024-05-29 11:33:36,151,460,302,752,337,4854,4888,1098,164,1532,527,138,271
2024-05-29 11:33:38,227,460,495,752,337,10499,4845,1132,166,1532,527,138,332
2024-05-29 11:33:40,227,460,495,752,337,10499,4802,1166,166,2713,527,138,334
2024-05-29 11:33:42,227,460,495,767,337,10499,4651,1200,177,2713,527,138,345
2024-05-29 11:33:44,231,460,495,795,337,10499,4609,1234,177,2713,668,138,345
2024-05-29 11:33:46,231,460,495,795,352,10979,4567,1268,177,2713,686,184,345
2024-05-29 11:33:48,231,460,513,795,352,10979,4526,1301,177,2713,686,184,345
2024-05-29 11:33:50,231,445,513,1367,352,10979,4484,1607,177,2713,686,192,345
2024-05-29 11:33:52,231,771,513,1367,352,10979,4442,1648,177,2713,686,192,345
2024-05-29 11:33:54,303,771,496,1367,352,10651,4401,1688,199,3925,686,192,334
2024-05-29 11:33:56,303,771,493,1367,352,17379,4359,1729,199,4123,686,192,331
2024-05-29 11:33:58,303,771,805,1367,352,17379,4299,1770,199,4123,686,192,451
2024-05-29 11:34:00,303,771,805,1367,352,17379,4258,1810,199,4123,686,250,451
2024-05-29 11:34:02,303,771,819,1837,339,18248,4216,1851,199,4123,660,250,451
2024-05-29 11:34:04,303,771,848,1837,363,18248,4175,2142,199,4123,981,250,451
2024-05-29 11:34:06,368,1026,848,1837,363,18248,4133,2188,206,4123,981,257,451
2024-05-29 11:34:08,368,1026,848,1837,363,18248,4091,2234,206,4123,981,257,451
2024-05-29 11:34:10,368,1076,1082,1837,363,25824,3990,2280,199,3990,981,257,451
2024-05-29 11:34:12,368,1076,1082,1886,363,25824,3949,2326,230,6551,981,317,550
2024-05-29 11:34:14,379,1076,1082,1899,389,25824,3908,2372,230,6551,981,317,550
2024-05-29 11:34:16,379,1076,1082,1961,389,25824,3867,2418,230,6551,981,317,550
2024-05-29 11:34:18,460,1076,1082,1961,389,26532,3826,2464,230,6551,981,317,550
