"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:33:00,9675
2024-05-29 11:33:02,9730
2024-05-29 11:33:04,9627
2024-05-29 11:33:06,9629
2024-05-29 11:33:08,10574
2024-05-29 11:33:10,10530
2024-05-29 11:33:12,10593
2024-05-29 11:33:14,10578
2024-05-29 11:33:16,11016
2024-05-29 11:33:18,11304
2024-05-29 11:33:20,13588
2024-05-29 11:33:22,13843
2024-05-29 11:33:24,13622
2024-05-29 11:33:26,13803
2024-05-29 11:33:28,13800
2024-05-29 11:33:30,14613
2024-05-29 11:33:32,14773
2024-05-29 11:33:34,15290
2024-05-29 11:33:36,15474
2024-05-29 11:33:38,21441
2024-05-29 11:33:40,22616
2024-05-29 11:33:42,22536
2024-05-29 11:33:44,22702
2024-05-29 11:33:46,23253
2024-05-29 11:33:48,23263
2024-05-29 11:33:50,24091
2024-05-29 11:33:52,24415
2024-05-29 11:33:54,25365
2024-05-29 11:33:56,32283
2024-05-29 11:33:58,32696
2024-05-29 11:34:00,32753
2024-05-29 11:34:02,34066
2024-05-29 11:34:04,34689
2024-05-29 11:34:06,35029
2024-05-29 11:34:08,35034
2024-05-29 11:34:10,42698
2024-05-29 11:34:12,45504
2024-05-29 11:34:14,45558
2024-05-29 11:34:16,45626
2024-05-29 11:34:18,46420
2024-05-29 11:34:20,48486
2024-05-29 11:34:22,49302
2024-05-29 11:34:24,49677
2024-05-29 11:34:26,48926
2024-05-29 11:34:28,51990
2024-05-29 11:34:30,66401
2024-05-29 11:34:32,66932
2024-05-29 11:34:34,67050
2024-05-29 11:34:36,70271
2024-05-29 11:34:38,70899
2024-05-29 11:34:40,71117
2024-05-29 11:34:42,71826
2024-05-29 11:34:44,83125
2024-05-29 11:34:46,87266
2024-05-29 11:34:48,87394
2024-05-29 11:34:50,90669
2024-05-29 11:34:52,91329
2024-05-29 11:34:54,92452
2024-05-29 11:34:56,93106
2024-05-29 11:34:58,95109
2024-05-29 11:35:00,110567
2024-05-29 11:35:02,110935
2024-05-29 11:35:04,111915
2024-05-29 11:35:06,112668
2024-05-29 11:35:08,114068
2024-05-29 11:35:10,114650
2024-05-29 11:35:12,114535
2024-05-29 11:35:14,132497
2024-05-29 11:35:16,133081
2024-05-29 11:35:18,138143
2024-05-29 11:35:20,138417
2024-05-29 11:35:22,139073
2024-05-29 11:35:24,141471
2024-05-29 11:35:26,142279
2024-05-29 11:35:28,144706
2024-05-29 11:35:30,146179
2024-05-29 11:35:32,163775
2024-05-29 11:35:34,164207
2024-05-29 11:35:36,164352
2024-05-29 11:35:38,165423
2024-05-29 11:35:40,165710
2024-05-29 11:35:42,167061
2024-05-29 11:35:44,166448
2024-05-29 11:35:46,176834
2024-05-29 11:35:48,187848
2024-05-29 11:35:50,188532
2024-05-29 11:35:52,189236
2024-05-29 11:35:54,189391
2024-05-29 11:35:56,189999
2024-05-29 11:35:58,196720
2024-05-29 11:36:00,197118
2024-05-29 11:36:02,197554
2024-05-29 11:36:04,201911
2024-05-29 11:36:06,214129
2024-05-29 11:36:08,215170
2024-05-29 11:36:10,222974
2024-05-29 11:36:12,223646
2024-05-29 11:36:14,224140
2024-05-29 11:36:16,226361
2024-05-29 11:36:18,226860
2024-05-29 11:36:20,229152
2024-05-29 11:36:22,238662
2024-05-29 11:36:24,239117
2024-05-29 11:36:26,248749
2024-05-29 11:36:28,251666
2024-05-29 11:36:30,253394
2024-05-29 11:36:32,253815
2024-05-29 11:36:34,254733
2024-05-29 11:36:36,262414
2024-05-29 11:36:38,263183
2024-05-29 11:36:40,264799
2024-05-29 11:36:42,265184
2024-05-29 11:36:44,275639
2024-05-29 11:36:46,274893
2024-05-29 11:36:48,286313
2024-05-29 11:36:50,287790
2024-05-29 11:36:52,288443
2024-05-29 11:36:54,290503
2024-05-29 11:36:56,291289
2024-05-29 11:36:58,291443
2024-05-29 11:37:00,305673
2024-05-29 11:37:02,306533
2024-05-29 11:37:04,307935
2024-05-29 11:37:06,308003
2024-05-29 11:37:08,308678
2024-05-29 11:37:10,310791
2024-05-29 11:37:12,322296
2024-05-29 11:37:14,323337
2024-05-29 11:37:16,330054
2024-05-29 11:37:18,328745
2024-05-29 11:37:20,329737
2024-05-29 11:37:22,334288
2024-05-29 11:37:24,336057
2024-05-29 11:37:26,346811
2024-05-29 11:37:28,351192
2024-05-29 11:37:30,351788
2024-05-29 11:37:32,354136
2024-05-29 11:37:34,355288
2024-05-29 11:37:36,355836
2024-05-29 11:37:38,356929
2024-05-29 11:37:40,364323
2024-05-29 11:37:42,378907
2024-05-29 11:37:44,379775
2024-05-29 11:37:46,382695
2024-05-29 11:37:48,383206
