"Time","default"
2024-06-07 12:15:08,0.00158
2024-06-07 12:15:10,0.00162
2024-06-07 12:15:12,0.00171
2024-06-07 12:15:14,0.00176
2024-06-07 12:15:16,0.00195
2024-06-07 12:15:18,0.00200
2024-06-07 12:15:20,0.00181
2024-06-07 12:15:22,0.00192
2024-06-07 12:15:24,0.00195
2024-06-07 12:15:26,0.00202
2024-06-07 12:15:28,0.00210
2024-06-07 12:15:30,0.00233
2024-06-07 12:15:32,0.00240
2024-06-07 12:15:34,0.00269
2024-06-07 12:15:36,0.00272
2024-06-07 12:15:38,0.00275
2024-06-07 12:15:40,0.00279
2024-06-07 12:15:42,0.00286
2024-06-07 12:15:44,0.00360
2024-06-07 12:15:46,0.00371
2024-06-07 12:15:48,0.00383
2024-06-07 12:15:50,0.00384
2024-06-07 12:15:52,0.00409
2024-06-07 12:15:54,0.00413
2024-06-07 12:15:56,0.00436
2024-06-07 12:15:58,0.00447
2024-06-07 12:16:00,0.00449
2024-06-07 12:16:02,0.00540
2024-06-07 12:16:04,0.00584
2024-06-07 12:16:06,0.00592
2024-06-07 12:16:08,0.00596
2024-06-07 12:16:10,0.00601
2024-06-07 12:16:12,0.00670
2024-06-07 12:16:14,0.00670
2024-06-07 12:16:16,0.00711
2024-06-07 12:16:18,0.00771
2024-06-07 12:16:20,0.00774
2024-06-07 12:16:22,0.00786
2024-06-07 12:16:24,0.00788
2024-06-07 12:16:26,0.00792
2024-06-07 12:16:28,0.00826
2024-06-07 12:16:30,0.00845
2024-06-07 12:16:32,0.00960
2024-06-07 12:16:34,0.00963
2024-06-07 12:16:36,0.0104
2024-06-07 12:16:38,0.0104
2024-06-07 12:16:40,0.0106
2024-06-07 12:16:42,0.0108
2024-06-07 12:16:44,0.0110
2024-06-07 12:16:46,0.0111
2024-06-07 12:16:48,0.0121
2024-06-07 12:16:50,0.0122
2024-06-07 12:16:52,0.0124
2024-06-07 12:16:54,0.0131
2024-06-07 12:16:56,0.0133
2024-06-07 12:16:58,0.0134
2024-06-07 12:17:00,0.0140
2024-06-07 12:17:02,0.0141
2024-06-07 12:17:04,0.0146
2024-06-07 12:17:06,0.0149
2024-06-07 12:17:08,0.0152
2024-06-07 12:17:10,0.0153
2024-06-07 12:17:12,0.0152
2024-06-07 12:17:14,0.0163
2024-06-07 12:17:16,0.0171
2024-06-07 12:17:18,0.0172
2024-06-07 12:17:20,0.0176
2024-06-07 12:17:22,0.0182
2024-06-07 12:17:24,0.0183
2024-06-07 12:17:26,0.0187
2024-06-07 12:17:28,0.0193
2024-06-07 12:17:30,0.0194
2024-06-07 12:17:32,0.0193
2024-06-07 12:17:34,0.0204
2024-06-07 12:17:36,0.0206
2024-06-07 12:17:38,0.0207
2024-06-07 12:17:40,0.0210
2024-06-07 12:17:42,0.0214
2024-06-07 12:17:44,0.0218
2024-06-07 12:17:46,0.0225
2024-06-07 12:17:48,0.0232
2024-06-07 12:17:50,0.0233
2024-06-07 12:17:52,0.0241
2024-06-07 12:17:54,0.0243
2024-06-07 12:17:56,0.0245
2024-06-07 12:17:58,0.0255
2024-06-07 12:18:00,0.0256
2024-06-07 12:18:02,0.0262
2024-06-07 12:18:04,0.0267
2024-06-07 12:18:06,0.0270
2024-06-07 12:18:08,0.0271
2024-06-07 12:18:10,0.0275
2024-06-07 12:18:12,0.0275
2024-06-07 12:18:14,0.0286
2024-06-07 12:18:16,0.0294
2024-06-07 12:18:18,0.0301
2024-06-07 12:18:20,0.0304
2024-06-07 12:18:22,0.0306
2024-06-07 12:18:24,0.0307
2024-06-07 12:18:26,0.0308
2024-06-07 12:18:28,0.0316
2024-06-07 12:18:30,0.0328
2024-06-07 12:18:32,0.0329
2024-06-07 12:18:34,0.0329
2024-06-07 12:18:36,0.0331
2024-06-07 12:18:38,0.0336
2024-06-07 12:18:40,0.0343
2024-06-07 12:18:42,0.0345
2024-06-07 12:18:44,0.0350
2024-06-07 12:18:46,0.0359
2024-06-07 12:18:48,0.0360
2024-06-07 12:18:50,0.0363
2024-06-07 12:18:52,0.0367
2024-06-07 12:18:54,0.0372
2024-06-07 12:18:56,0.0376
2024-06-07 12:18:58,0.0380
2024-06-07 12:19:00,0.0391
2024-06-07 12:19:02,0.0399
2024-06-07 12:19:04,0.0400
2024-06-07 12:19:06,0.0402
2024-06-07 12:19:08,0.0403
2024-06-07 12:19:10,0.0414
2024-06-07 12:19:12,0.0417
2024-06-07 12:19:14,0.0424
2024-06-07 12:19:16,0.0427
2024-06-07 12:19:18,0.0432
