"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:15:08,85.5
2024-06-07 12:15:10,84.9
2024-06-07 12:15:12,85.7
2024-06-07 12:15:14,2121
2024-06-07 12:15:16,2441
2024-06-07 12:15:18,3030
2024-06-07 12:15:20,5614
2024-06-07 12:15:22,7814
2024-06-07 12:15:24,8290
2024-06-07 12:15:26,8648
2024-06-07 12:15:28,9006
2024-06-07 12:15:30,7185
2024-06-07 12:15:32,8048
2024-06-07 12:15:34,13392
2024-06-07 12:15:36,13563
2024-06-07 12:15:38,13883
2024-06-07 12:15:40,14090
2024-06-07 12:15:42,14562
2024-06-07 12:15:44,14701
2024-06-07 12:15:46,16173
2024-06-07 12:15:48,16321
2024-06-07 12:15:50,16802
2024-06-07 12:15:52,16148
2024-06-07 12:15:54,16366
2024-06-07 12:15:56,16689
2024-06-07 12:15:58,16941
2024-06-07 12:16:00,17194
2024-06-07 12:16:02,16532
2024-06-07 12:16:04,16664
2024-06-07 12:16:06,16358
2024-06-07 12:16:08,17232
2024-06-07 12:16:10,18106
2024-06-07 12:16:12,18427
2024-06-07 12:16:14,18552
2024-06-07 12:16:16,18709
2024-06-07 12:16:18,18993
2024-06-07 12:16:20,18897
2024-06-07 12:16:22,18890
2024-06-07 12:16:24,19291
2024-06-07 12:16:26,19420
2024-06-07 12:16:28,19310
2024-06-07 12:16:30,19785
2024-06-07 12:16:32,19984
2024-06-07 12:16:34,19780
2024-06-07 12:16:36,20257
2024-06-07 12:16:38,20216
2024-06-07 12:16:40,20030
2024-06-07 12:16:42,20078
2024-06-07 12:16:44,20016
2024-06-07 12:16:46,20130
2024-06-07 12:16:48,20065
2024-06-07 12:16:50,20393
2024-06-07 12:16:52,20048
2024-06-07 12:16:54,19774
2024-06-07 12:16:56,19670
2024-06-07 12:16:58,19654
2024-06-07 12:17:00,19906
2024-06-07 12:17:02,19966
2024-06-07 12:17:04,19990
2024-06-07 12:17:06,20064
2024-06-07 12:17:08,20596
2024-06-07 12:17:10,20582
2024-06-07 12:17:12,20591
2024-06-07 12:17:14,21254
2024-06-07 12:17:16,21380
2024-06-07 12:17:18,21332
2024-06-07 12:17:20,21386
2024-06-07 12:17:22,21410
2024-06-07 12:17:24,21367
2024-06-07 12:17:26,21123
2024-06-07 12:17:28,21123
2024-06-07 12:17:30,21228
2024-06-07 12:17:32,21366
2024-06-07 12:17:34,21581
2024-06-07 12:17:36,21327
2024-06-07 12:17:38,21361
2024-06-07 12:17:40,21400
2024-06-07 12:17:42,21430
2024-06-07 12:17:44,21223
2024-06-07 12:17:46,21187
2024-06-07 12:17:48,21308
2024-06-07 12:17:50,21589
2024-06-07 12:17:52,21473
2024-06-07 12:17:54,21512
2024-06-07 12:17:56,21157
2024-06-07 12:17:58,21223
2024-06-07 12:18:00,21289
2024-06-07 12:18:02,21428
2024-06-07 12:18:04,21568
2024-06-07 12:18:06,21600
2024-06-07 12:18:08,21224
2024-06-07 12:18:10,21232
2024-06-07 12:18:12,21451
2024-06-07 12:18:14,21409
2024-06-07 12:18:16,21332
2024-06-07 12:18:18,21612
2024-06-07 12:18:20,21980
2024-06-07 12:18:22,22073
2024-06-07 12:18:24,21994
2024-06-07 12:18:26,22340
2024-06-07 12:18:28,22491
2024-06-07 12:18:30,22660
2024-06-07 12:18:32,22582
2024-06-07 12:18:34,22501
2024-06-07 12:18:36,22525
2024-06-07 12:18:38,22844
2024-06-07 12:18:40,22959
2024-06-07 12:18:42,22679
2024-06-07 12:18:44,22524
