"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-pgsk2","loadgenerator-7c6fb64488-z47zq","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-07 12:15:08,109,136,132,156,317,156,3574,156,153,150,326,68.9,213
2024-06-07 12:15:10,106,140,136,158,305,156,3547,170,153,150,311,70.1,212
2024-06-07 12:15:12,117,140,136,158,316,151,3521,184,153,189,322,70.1,212
2024-06-07 12:15:14,117,143,136,158,316,551,3494,232,153,189,322,70.1,212
2024-06-07 12:15:16,117,143,136,245,316,551,3468,248,153,189,322,70.1,212
2024-06-07 12:15:18,117,143,136,245,307,551,3563,265,148,189,322,70.1,212
2024-06-07 12:15:20,117,143,136,245,316,551,3679,281,156,185,322,70.1,206
2024-06-07 12:15:22,118,143,175,243,316,579,3651,298,158,192,322,70.7,221
2024-06-07 12:15:24,118,143,175,244,316,579,3622,314,158,192,322,70.7,223
2024-06-07 12:15:26,118,232,174,252,316,2692,3593,475,158,192,322,68.5,223
2024-06-07 12:15:28,115,232,179,252,309,2692,3565,498,158,186,310,92.3,223
2024-06-07 12:15:30,156,238,179,252,319,2692,3536,522,158,184,414,92.3,223
2024-06-07 12:15:32,156,238,200,528,319,2692,3507,546,158,906,414,92.3,241
2024-06-07 12:15:34,156,238,200,528,319,2692,3479,569,158,906,414,92.3,241
2024-06-07 12:15:36,156,238,200,528,327,2692,3578,748,150,906,414,92.1,241
2024-06-07 12:15:38,156,238,200,528,327,2786,3700,778,165,948,414,92.1,237
2024-06-07 12:15:40,156,238,200,528,327,2786,3669,807,165,948,414,92.1,238
2024-06-07 12:15:42,159,238,200,545,327,2786,3638,837,165,1609,414,121,246
2024-06-07 12:15:44,159,229,202,863,327,7041,3607,867,165,1609,418,121,284
2024-06-07 12:15:46,154,456,202,863,327,7041,3576,897,165,1609,404,121,284
2024-06-07 12:15:48,153,456,202,863,337,7493,3545,926,165,1609,574,125,284
2024-06-07 12:15:50,246,456,195,863,337,7493,3514,1201,168,1609,574,125,284
2024-06-07 12:15:52,246,456,360,863,337,7493,3483,1238,175,1609,574,125,284
2024-06-07 12:15:54,246,456,360,894,337,11334,3678,1276,175,1691,574,125,284
2024-06-07 12:15:56,246,456,361,894,337,11334,3645,1313,175,2874,574,121,284
2024-06-07 12:15:58,249,470,374,894,337,11334,3612,1350,175,2874,574,179,286
2024-06-07 12:16:00,321,470,374,1551,325,11334,3579,1540,175,2874,661,179,286
2024-06-07 12:16:02,321,694,374,1551,336,11334,3546,1582,175,2874,662,183,336
2024-06-07 12:16:04,321,694,374,1551,326,15562,3513,1623,171,2874,686,183,336
2024-06-07 12:16:06,321,694,374,1589,323,16081,3480,1664,190,2874,686,183,336
2024-06-07 12:16:08,321,694,374,1600,347,16620,3614,1706,190,2874,686,183,333
