"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:15:08,5646
2024-06-07 12:15:10,5614
2024-06-07 12:15:12,5668
2024-06-07 12:15:14,6092
2024-06-07 12:15:16,6169
2024-06-07 12:15:18,6266
2024-06-07 12:15:20,6407
2024-06-07 12:15:22,6486
2024-06-07 12:15:24,6477
2024-06-07 12:15:26,8816
2024-06-07 12:15:28,8811
2024-06-07 12:15:30,8967
2024-06-07 12:15:32,9999
2024-06-07 12:15:34,9994
2024-06-07 12:15:36,10271
2024-06-07 12:15:38,10569
2024-06-07 12:15:40,10570
2024-06-07 12:15:42,11285
2024-06-07 12:15:44,15891
2024-06-07 12:15:46,16098
2024-06-07 12:15:48,16732
2024-06-07 12:15:50,17064
2024-06-07 12:15:52,17243
2024-06-07 12:15:54,21430
2024-06-07 12:15:56,22615
2024-06-07 12:15:58,22708
2024-06-07 12:16:00,23669
2024-06-07 12:16:02,23968
2024-06-07 12:16:04,28212
2024-06-07 12:16:06,28794
2024-06-07 12:16:08,29542
2024-06-07 12:16:10,30140
2024-06-07 12:16:12,30697
2024-06-07 12:16:14,30522
2024-06-07 12:16:16,39470
2024-06-07 12:16:18,39544
2024-06-07 12:16:20,40591
2024-06-07 12:16:22,40859
2024-06-07 12:16:24,42551
2024-06-07 12:16:26,45340
2024-06-07 12:16:28,45722
2024-06-07 12:16:30,45765
2024-06-07 12:16:32,46157
2024-06-07 12:16:34,59513
2024-06-07 12:16:36,59831
2024-06-07 12:16:38,60313
2024-06-07 12:16:40,60328
2024-06-07 12:16:42,65132
2024-06-07 12:16:44,65482
2024-06-07 12:16:46,67275
2024-06-07 12:16:48,68012
2024-06-07 12:16:50,67742
2024-06-07 12:16:52,66614
2024-06-07 12:16:54,83780
2024-06-07 12:16:56,84959
2024-06-07 12:16:58,88931
2024-06-07 12:17:00,89379
2024-06-07 12:17:02,89580
2024-06-07 12:17:04,90667
2024-06-07 12:17:06,102483
2024-06-07 12:17:08,102501
2024-06-07 12:17:10,103919
2024-06-07 12:17:12,103952
2024-06-07 12:17:14,105410
2024-06-07 12:17:16,108672
2024-06-07 12:17:18,109142
2024-06-07 12:17:20,110681
2024-06-07 12:17:22,129723
2024-06-07 12:17:24,130494
2024-06-07 12:17:26,130593
2024-06-07 12:17:28,136324
2024-06-07 12:17:30,136689
2024-06-07 12:17:32,139798
2024-06-07 12:17:34,138711
2024-06-07 12:17:36,138897
2024-06-07 12:17:38,139059
2024-06-07 12:17:40,156061
2024-06-07 12:17:42,156960
2024-06-07 12:17:44,163666
2024-06-07 12:17:46,167073
2024-06-07 12:17:48,168858
2024-06-07 12:17:50,170977
2024-06-07 12:17:52,171241
2024-06-07 12:17:54,172142
2024-06-07 12:17:56,172519
2024-06-07 12:17:58,168853
2024-06-07 12:18:00,201293
2024-06-07 12:18:02,201434
2024-06-07 12:18:04,206211
2024-06-07 12:18:06,206554
2024-06-07 12:18:08,209831
2024-06-07 12:18:10,211795
2024-06-07 12:18:12,211897
2024-06-07 12:18:14,227192
2024-06-07 12:18:16,228589
2024-06-07 12:18:18,237916
2024-06-07 12:18:20,239275
2024-06-07 12:18:22,239502
2024-06-07 12:18:24,247435
2024-06-07 12:18:26,247687
2024-06-07 12:18:28,248092
2024-06-07 12:18:30,242835
2024-06-07 12:18:32,265745
2024-06-07 12:18:34,278314
2024-06-07 12:18:36,279922
2024-06-07 12:18:38,281101
2024-06-07 12:18:40,283540
2024-06-07 12:18:42,283687
2024-06-07 12:18:44,284147
2024-06-07 12:18:46,285548
2024-06-07 12:18:48,309642
2024-06-07 12:18:50,316944
2024-06-07 12:18:52,321655
2024-06-07 12:18:54,321776
2024-06-07 12:18:56,325667
2024-06-07 12:18:58,325764
2024-06-07 12:19:00,326828
2024-06-07 12:19:02,342221
2024-06-07 12:19:04,346501
2024-06-07 12:19:06,350505
2024-06-07 12:19:08,364157
2024-06-07 12:19:10,364456
2024-06-07 12:19:12,364620
2024-06-07 12:19:14,367047
2024-06-07 12:19:16,381503
2024-06-07 12:19:18,383920
2024-06-07 12:19:20,385265
2024-06-07 12:19:22,385809
2024-06-07 12:19:24,408153
2024-06-07 12:19:26,409134
2024-06-07 12:19:28,410054
2024-06-07 12:19:30,411849
2024-06-07 12:19:32,430792
2024-06-07 12:19:34,433411
2024-06-07 12:19:36,434191
2024-06-07 12:19:38,435871
2024-06-07 12:19:40,455432
2024-06-07 12:19:42,456991
2024-06-07 12:19:44,458391
2024-06-07 12:19:46,458977
2024-06-07 12:19:48,474803
2024-06-07 12:19:50,478036
2024-06-07 12:19:52,480967
2024-06-07 12:19:54,481236
2024-06-07 12:19:56,492709
2024-06-07 12:19:58,507267
2024-06-07 12:20:00,508519
2024-06-07 12:20:02,526393
2024-06-07 12:20:04,527262
2024-06-07 12:20:06,527727
2024-06-07 12:20:08,531007
2024-06-07 12:20:10,533072
2024-06-07 12:20:12,536156
2024-06-07 12:20:14,551635
2024-06-07 12:20:16,567151
2024-06-07 12:20:18,567209
2024-06-07 12:20:20,567669
2024-06-07 12:20:22,569041
2024-06-07 12:20:24,572795
2024-06-07 12:20:26,581488
2024-06-07 12:20:28,594697
2024-06-07 12:20:30,595273
2024-06-07 12:20:32,585781
2024-06-07 12:20:34,616960
2024-06-07 12:20:36,618496
2024-06-07 12:20:38,618377
2024-06-07 12:20:40,617666
2024-06-07 12:20:42,627204
2024-06-07 12:20:44,638649
2024-06-07 12:20:46,640384
2024-06-07 12:20:48,640753
2024-06-07 12:20:50,641556
2024-06-07 12:20:52,656700
2024-06-07 12:20:54,668284
2024-06-07 12:20:56,668302
2024-06-07 12:20:58,670848
2024-06-07 12:21:00,678589
2024-06-07 12:21:02,680611
2024-06-07 12:21:04,693256
2024-06-07 12:21:06,706884
2024-06-07 12:21:08,707338
2024-06-07 12:21:10,707771
2024-06-07 12:21:12,708283
2024-06-07 12:21:14,710313
2024-06-07 12:21:16,713387
2024-06-07 12:21:18,731321
2024-06-07 12:21:20,733791
2024-06-07 12:21:22,744199
2024-06-07 12:21:24,744197
2024-06-07 12:21:26,747162
2024-06-07 12:21:28,749106
2024-06-07 12:21:30,747274
2024-06-07 12:21:32,754184
2024-06-07 12:21:34,753812
2024-06-07 12:21:36,773358
2024-06-07 12:21:38,789965
2024-06-07 12:21:40,790350
2024-06-07 12:21:42,792869
2024-06-07 12:21:44,793673
2024-06-07 12:21:46,795839
2024-06-07 12:21:48,797040
2024-06-07 12:21:50,797359
2024-06-07 12:21:52,797972
2024-06-07 12:21:54,812772
2024-06-07 12:21:56,821867
2024-06-07 12:21:58,823391
2024-06-07 12:22:00,823864
2024-06-07 12:22:02,820202
2024-06-07 12:22:04,828652
2024-06-07 12:22:06,853723
2024-06-07 12:22:08,854060
2024-06-07 12:22:10,854769
2024-06-07 12:22:12,854786
2024-06-07 12:22:14,855534
2024-06-07 12:22:16,855897
2024-06-07 12:22:18,863441
2024-06-07 12:22:20,866416
2024-06-07 12:22:22,865135
2024-06-07 12:22:24,885584
2024-06-07 12:22:26,886133
2024-06-07 12:22:28,892996
2024-06-07 12:22:30,894041
2024-06-07 12:22:32,897395
2024-06-07 12:22:34,898530
2024-06-07 12:22:36,899127
2024-06-07 12:22:38,899197
2024-06-07 12:22:40,886414
2024-06-07 12:22:42,897448
2024-06-07 12:22:44,917962
2024-06-07 12:22:46,933050
2024-06-07 12:22:48,932527
2024-06-07 12:22:50,933323
2024-06-07 12:22:52,933833
2024-06-07 12:22:54,935175
2024-06-07 12:22:56,934767
2024-06-07 12:22:58,935293
2024-06-07 12:23:00,947480
2024-06-07 12:23:02,957618
2024-06-07 12:23:04,955751
2024-06-07 12:23:06,961034
2024-06-07 12:23:08,961561
2024-06-07 12:23:10,962299
2024-06-07 12:23:12,961791
2024-06-07 12:23:14,977899
2024-06-07 12:23:16,978791
2024-06-07 12:23:18,990417
2024-06-07 12:23:20,992143
2024-06-07 12:23:22,991867
2024-06-07 12:23:24,994268
2024-06-07 12:23:26,994624
2024-06-07 12:23:28,1000368
2024-06-07 12:23:30,1001735
2024-06-07 12:23:32,1014434
2024-06-07 12:23:34,1018575
2024-06-07 12:23:36,1017979
2024-06-07 12:23:38,1018375
2024-06-07 12:23:40,1019980
2024-06-07 12:23:42,1019588
2024-06-07 12:23:44,999384
2024-06-07 12:23:46,995003
2024-06-07 12:23:48,1039381
2024-06-07 12:23:50,1039277
2024-06-07 12:23:52,1042587
2024-06-07 12:23:54,1042834
2024-06-07 12:23:56,1043784
2024-06-07 12:23:58,1043784
2024-06-07 12:24:00,1042636
2024-06-07 12:24:02,1059007
2024-06-07 12:24:04,1055867
2024-06-07 12:24:06,1061822
2024-06-07 12:24:08,1061614
2024-06-07 12:24:10,1060527
2024-06-07 12:24:12,1069070
2024-06-07 12:24:14,1070928
2024-06-07 12:24:16,1082035
2024-06-07 12:24:18,1081917
2024-06-07 12:24:20,1082790
2024-06-07 12:24:22,1082255
2024-06-07 12:24:24,1084218
2024-06-07 12:24:26,1085826
2024-06-07 12:24:28,1058387
2024-06-07 12:24:30,1092895
2024-06-07 12:24:32,1101591
2024-06-07 12:24:34,1101624
2024-06-07 12:24:36,1101893
2024-06-07 12:24:38,1101137
2024-06-07 12:24:40,1102597
2024-06-07 12:24:42,1103944
2024-06-07 12:24:44,1104597
2024-06-07 12:24:46,1081162
2024-06-07 12:24:48,1120443
2024-06-07 12:24:50,1120011
2024-06-07 12:24:52,1122361
2024-06-07 12:24:54,1122396
2024-06-07 12:24:56,1123213
2024-06-07 12:24:58,1124106
2024-06-07 12:25:00,1123774
2024-06-07 12:25:02,1130895
2024-06-07 12:25:04,1132634
2024-06-07 12:25:06,1138174
2024-06-07 12:25:08,1139937
2024-06-07 12:25:10,1140662
2024-06-07 12:25:12,1139730
2024-06-07 12:25:14,1140627
2024-06-07 12:25:16,1122812
2024-06-07 12:25:18,1150465
2024-06-07 12:25:20,1150535
2024-06-07 12:25:22,1152362
2024-06-07 12:25:24,1154630
2024-06-07 12:25:26,1154979
2024-06-07 12:25:28,1155219
2024-06-07 12:25:30,1154262
2024-06-07 12:25:32,1153425
2024-06-07 12:25:34,1137462
2024-06-07 12:25:36,1166239
2024-06-07 12:25:38,1165873
2024-06-07 12:25:40,1134462
2024-06-07 12:25:42,1172745
2024-06-07 12:25:44,1172483
2024-06-07 12:25:46,1172243
2024-06-07 12:25:48,1173866
2024-06-07 12:25:50,1173555
2024-06-07 12:25:52,1177740
2024-06-07 12:25:54,1181555
2024-06-07 12:25:56,1181711
2024-06-07 12:25:58,1180378
2024-06-07 12:26:00,1183707
2024-06-07 12:26:02,1183680
2024-06-07 12:26:04,1184327
2024-06-07 12:26:06,1190929
2024-06-07 12:26:08,1189965
2024-06-07 12:26:10,1190975
2024-06-07 12:26:12,1191840
2024-06-07 12:26:14,1192980
2024-06-07 12:26:16,1193139
2024-06-07 12:26:18,1192691
2024-06-07 12:26:20,1192742
2024-06-07 12:26:22,1198076
2024-06-07 12:26:24,1198075
2024-06-07 12:26:26,1198089
2024-06-07 12:26:28,1200535
2024-06-07 12:26:30,1200777
2024-06-07 12:26:32,1202038
2024-06-07 12:26:34,1202069
2024-06-07 12:26:36,1201470
2024-06-07 12:26:38,1209003
2024-06-07 12:26:40,1210237
2024-06-07 12:26:42,1209952
2024-06-07 12:26:44,1181138
2024-06-07 12:26:46,1206597
2024-06-07 12:26:48,1213631
2024-06-07 12:26:50,1213254
2024-06-07 12:26:52,1213147
2024-06-07 12:26:54,1214644
2024-06-07 12:26:56,1217608
2024-06-07 12:26:58,1217552
2024-06-07 12:27:00,1217543
2024-06-07 12:27:02,1187329
2024-06-07 12:27:04,1179629
2024-06-07 12:27:06,1221979
2024-06-07 12:27:08,1220631
2024-06-07 12:27:10,1220481
2024-06-07 12:27:12,1222430
2024-06-07 12:27:14,1222383
2024-06-07 12:27:16,1222431
2024-06-07 12:27:18,1224318
2024-06-07 12:27:20,1223470
2024-06-07 12:27:22,1188876
2024-06-07 12:27:24,1217394
2024-06-07 12:27:26,1224439
2024-06-07 12:27:28,1225622
2024-06-07 12:27:30,1226541
2024-06-07 12:27:32,1226705
2024-06-07 12:27:34,1226899
2024-06-07 12:27:36,1225720
2024-06-07 12:27:38,1225737
2024-06-07 12:27:40,1226609
2024-06-07 12:27:42,1221431
2024-06-07 12:27:44,1227837
2024-06-07 12:27:46,1230016
2024-06-07 12:27:48,1230095
2024-06-07 12:27:50,1230300
2024-06-07 12:27:52,1230373
2024-06-07 12:27:54,1230791
2024-06-07 12:27:56,1231226
2024-06-07 12:27:58,1231394
2024-06-07 12:28:00,1230588
2024-06-07 12:28:02,1232170
2024-06-07 12:28:04,1232548
2024-06-07 12:28:06,1232503
2024-06-07 12:28:08,1232506
