"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-87k5l","loadgenerator-7c6fb64488-z47zq","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-07 12:39:28,0.00439,0.0162,0.00352,0.0252,0.00292,0.0246,0.00539,0.0252,0.00536,0.00905,0.00826,0.00282,0.00207
2024-06-07 12:39:30,0.00439,0.0162,0.00352,0.0248,0.00252,0.0185,0.00593,0.0250,0.00536,0.00905,0.00823,0.00282,0.00207
2024-06-07 12:39:32,0.00369,0.0117,0.00352,0.0248,0.00252,0.0185,0.00646,0.0249,0.00536,0.00669,0.00823,0.00282,0.00207
2024-06-07 12:39:34,0.00369,0.0117,0.00352,0.0170,0.00247,0.0185,0.00700,0.0247,0.00536,0.00669,0.00823,0.00282,0.00207
2024-06-07 12:39:36,0.00369,0.0117,0.00352,0.0170,0.00247,0.0185,0.00753,0.0245,0.00333,0.00652,0.00823,0.00282,0.00207
2024-06-07 12:39:38,0.00369,0.0117,0.00343,0.0170,0.00247,0.0185,0.00806,0.0144,0.00329,0.00652,0.00823,0.00282,0.00207
2024-06-07 12:39:40,0.00369,0.0117,0.00198,0.0170,0.00247,0.00812,0.00860,0.0142,0.00329,0.00652,0.00823,0.00254,0.00122
2024-06-07 12:39:42,0.00236,0.00486,0.00198,0.0170,0.00207,0.00812,0.00523,0.0141,0.00329,0.00366,0.00823,0.00252,0.00121
2024-06-07 12:39:44,0.00243,0.00504,0.00198,0.0170,0.00207,0.00885,0.00553,0.0140,0.00329,0.00366,0.00823,0.00263,0.00121
2024-06-07 12:39:46,0.00243,0.00539,0.00198,0.00530,0.00207,0.00885,0.00584,0.0139,0.00329,0.00366,0.00258,0.00263,0.00121
2024-06-07 12:39:48,0.00243,0.00539,0.00198,0.0106,0.00207,0.00885,0.00614,0.0138,0.00329,0.00366,0.00258,0.00263,0.00121
2024-06-07 12:39:50,0.00243,0.00539,0.00196,0.0106,0.00200,0.00885,0.00644,0.0137,0.000579,0.00366,0.00302,0.00219,0.00121
2024-06-07 12:39:52,0.00243,0.00539,0.00196,0.0106,0.00208,0.00885,0.00675,0.0136,0.000812,0.00397,0.00302,0.00221,0.00121
2024-06-07 12:39:54,0.00243,0.00539,0.00196,0.0106,0.00208,0.00885,0.00705,0.00413,0.000812,0.00151,0.00302,0.00228,0.00121
2024-06-07 12:39:56,0.00243,0.00539,0.000583,0.0106,0.00208,0.00990,0.00606,0.00410,0.000812,0.00151,0.00302,0.00228,0.000479
2024-06-07 12:39:58,0.00235,0.00539,0.000583,0.0106,0.00167,0.00308,0.00631,0.00407,0.000812,0.00151,0.00302,0.00228,0.000590
2024-06-07 12:40:00,0.00200,0.00539,0.000583,0.0106,0.00167,0.00308,0.00656,0.00403,0.000812,0.00151,0.00302,0.00236,0.000590
2024-06-07 12:40:02,0.00202,0.00285,0.000583,0.0177,0.00167,0.00308,0.00681,0.00400,0.000812,0.00151,0.00302,0.00236,0.000590
2024-06-07 12:40:04,0.00208,0.00454,0.000566,0.0156,0.00169,0.00308,0.00706,0.00397,0.000812,0.00151,0.00253,0.00236,0.000590
2024-06-07 12:40:06,0.00208,0.00454,0.000587,0.0156,0.00169,0.00308,0.00731,0.00393,0.000812,0.00101,0.00261,0.00236,0.000590
2024-06-07 12:40:08,0.00208,0.00454,0.000606,0.0156,0.00163,0.00308,0.00756,0.00390,0.000987,0.00101,0.00261,0.00236,0.000590
2024-06-07 12:40:10,0.00208,0.00454,0.000606,0.0156,0.00164,0.00597,0.00781,0.00387,0.00102,0.000975,0.00261,0.00236,0.000590
2024-06-07 12:40:12,0.00208,0.00454,0.000606,0.0156,0.00170,0.00597,0.00761,0.00361,0.00102,0.00197,0.00261,0.00236,0.000590
2024-06-07 12:40:14,0.00208,0.00460,0.000606,0.0215,0.00170,0.00597,0.00785,0.00376,0.00102,0.00197,0.00261,0.00236,0.000727
2024-06-07 12:40:16,0.00202,0.00460,0.000690,0.0228,0.00172,0.00597,0.00809,0.00372,0.00102,0.00197,0.00261,0.00229,0.000727
2024-06-07 12:40:18,0.00201,0.00460,0.000690,0.0228,0.00172,0.00597,0.00832,0.00369,0.00102,0.00197,0.00253,0.00228,0.000727
2024-06-07 12:40:20,0.00245,0.00649,0.000690,0.0228,0.00172,0.00597,0.00856,0.00366,0.00153,0.00200,0.00334,0.00245,0.000727
2024-06-07 12:40:22,0.00245,0.00649,0.000690,0.0228,0.00172,0.00597,0.00880,0.00363,0.00153,0.00207,0.00334,0.00245,0.000727
2024-06-07 12:40:24,0.00245,0.00649,0.000704,0.0228,0.00172,0.00597,0.00903,0.00359,0.00160,0.00207,0.00334,0.00246,0.000727
2024-06-07 12:40:26,0.00245,0.00664,0.000704,0.0228,0.00178,0.00594,0.00954,0.00356,0.00160,0.00207,0.00334,0.00246,0.000727
2024-06-07 12:40:28,0.00245,0.00664,0.000704,0.0228,0.00179,0.0106,0.00979,0.00353,0.00160,0.00327,0.00334,0.00246,0.000743
2024-06-07 12:40:30,0.00245,0.00664,0.00105,0.0228,0.00179,0.0106,0.0100,0.00349,0.00160,0.00327,0.00334,0.00246,0.000743
2024-06-07 12:40:32,0.00245,0.00664,0.00105,0.0219,0.00179,0.0106,0.0103,0.00341,0.00160,0.00327,0.00339,0.00246,0.000943
2024-06-07 12:40:34,0.00248,0.00664,0.00105,0.0349,0.00179,0.0106,0.0105,0.00338,0.00160,0.00327,0.00339,0.00247,0.000943
2024-06-07 12:40:36,0.00275,0.00689,0.00105,0.0349,0.00179,0.0106,0.0108,0.00334,0.00160,0.00327,0.00328,0.00257,0.000943
