"Time","default"
2024-06-07 12:39:28,0.0113
2024-06-07 12:39:30,0.0107
2024-06-07 12:39:32,0.0101
2024-06-07 12:39:34,0.00947
2024-06-07 12:39:36,0.00932
2024-06-07 12:39:38,0.00851
2024-06-07 12:39:40,0.00746
2024-06-07 12:39:42,0.00622
2024-06-07 12:39:44,0.00633
2024-06-07 12:39:46,0.00493
2024-06-07 12:39:48,0.00539
2024-06-07 12:39:50,0.00517
2024-06-07 12:39:52,0.00524
2024-06-07 12:39:54,0.00428
2024-06-07 12:39:56,0.00410
2024-06-07 12:39:58,0.00352
2024-06-07 12:40:00,0.00352
2024-06-07 12:40:02,0.00392
2024-06-07 12:40:04,0.00386
2024-06-07 12:40:06,0.00385
2024-06-07 12:40:08,0.00388
2024-06-07 12:40:10,0.00414
2024-06-07 12:40:12,0.00418
2024-06-07 12:40:14,0.00473
2024-06-07 12:40:16,0.00485
2024-06-07 12:40:18,0.00486
2024-06-07 12:40:20,0.00520
2024-06-07 12:40:22,0.00522
2024-06-07 12:40:24,0.00525
2024-06-07 12:40:26,0.00530
2024-06-07 12:40:28,0.00581
2024-06-07 12:40:30,0.00585
2024-06-07 12:40:32,0.00582
2024-06-07 12:40:34,0.00692
2024-06-07 12:40:36,0.00698
2024-06-07 12:40:38,0.00737
2024-06-07 12:40:40,0.00751
2024-06-07 12:40:42,0.00781
2024-06-07 12:40:44,0.00830
2024-06-07 12:40:46,0.00840
2024-06-07 12:40:48,0.00857
2024-06-07 12:40:50,0.00860
2024-06-07 12:40:52,0.00870
2024-06-07 12:40:54,0.00904
2024-06-07 12:40:56,0.00942
2024-06-07 12:40:58,0.0103
2024-06-07 12:41:00,0.0104
2024-06-07 12:41:02,0.0105
2024-06-07 12:41:04,0.0105
2024-06-07 12:41:06,0.0108
2024-06-07 12:41:08,0.0108
2024-06-07 12:41:10,0.0118
2024-06-07 12:41:12,0.0118
2024-06-07 12:41:14,0.0119
2024-06-07 12:41:16,0.0126
2024-06-07 12:41:18,0.0127
2024-06-07 12:41:20,0.0131
2024-06-07 12:41:22,0.0132
2024-06-07 12:41:24,0.0134
2024-06-07 12:41:26,0.0136
2024-06-07 12:41:28,0.0142
2024-06-07 12:41:30,0.0153
2024-06-07 12:41:32,0.0154
2024-06-07 12:41:34,0.0157
2024-06-07 12:41:36,0.0159
2024-06-07 12:41:38,0.0158
2024-06-07 12:41:40,0.0165
2024-06-07 12:41:42,0.0167
2024-06-07 12:41:44,0.0167
2024-06-07 12:41:46,0.0172
2024-06-07 12:41:48,0.0180
2024-06-07 12:41:50,0.0185
2024-06-07 12:41:52,0.0187
2024-06-07 12:41:54,0.0189
2024-06-07 12:41:56,0.0193
2024-06-07 12:41:58,0.0195
2024-06-07 12:42:00,0.0201
2024-06-07 12:42:02,0.0209
2024-06-07 12:42:04,0.0210
2024-06-07 12:42:06,0.0211
2024-06-07 12:42:08,0.0215
2024-06-07 12:42:10,0.0219
2024-06-07 12:42:12,0.0222
2024-06-07 12:42:14,0.0222
2024-06-07 12:42:16,0.0232
2024-06-07 12:42:18,0.0231
2024-06-07 12:42:20,0.0240
2024-06-07 12:42:22,0.0241
2024-06-07 12:42:24,0.0241
2024-06-07 12:42:26,0.0249
2024-06-07 12:42:28,0.0256
2024-06-07 12:42:30,0.0261
2024-06-07 12:42:32,0.0265
2024-06-07 12:42:34,0.0273
2024-06-07 12:42:36,0.0274
2024-06-07 12:42:38,0.0277
2024-06-07 12:42:40,0.0278
2024-06-07 12:42:42,0.0281
2024-06-07 12:42:44,0.0284
2024-06-07 12:42:46,0.0295
2024-06-07 12:42:48,0.0301
2024-06-07 12:42:50,0.0301
2024-06-07 12:42:52,0.0309
2024-06-07 12:42:54,0.0315
2024-06-07 12:42:56,0.0316
2024-06-07 12:42:58,0.0319
2024-06-07 12:43:00,0.0326
2024-06-07 12:43:02,0.0334
2024-06-07 12:43:04,0.0336
2024-06-07 12:43:06,0.0338
2024-06-07 12:43:08,0.0339
2024-06-07 12:43:10,0.0351
2024-06-07 12:43:12,0.0351
2024-06-07 12:43:14,0.0359
2024-06-07 12:43:16,0.0360
2024-06-07 12:43:18,0.0360
2024-06-07 12:43:20,0.0371
2024-06-07 12:43:22,0.0378
2024-06-07 12:43:24,0.0379
2024-06-07 12:43:26,0.0384
2024-06-07 12:43:28,0.0392
2024-06-07 12:43:30,0.0396
2024-06-07 12:43:32,0.0397
2024-06-07 12:43:34,0.0398
