"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:39:28,3013
2024-06-07 12:39:30,3013
2024-06-07 12:39:32,3022
2024-06-07 12:39:34,3014
2024-06-07 12:39:36,3014
2024-06-07 12:39:38,2947
2024-06-07 12:39:40,3026
2024-06-07 12:39:42,3026
2024-06-07 12:39:44,3005
2024-06-07 12:39:46,3092
2024-06-07 12:39:48,3092
2024-06-07 12:39:50,2961
2024-06-07 12:39:52,2961
2024-06-07 12:39:54,2961
2024-06-07 12:39:56,3002
2024-06-07 12:39:58,2801
2024-06-07 12:40:00,2608
2024-06-07 12:40:02,1911
2024-06-07 12:40:04,1873
2024-06-07 12:40:06,1170
2024-06-07 12:40:08,1189
2024-06-07 12:40:10,1189
2024-06-07 12:40:12,1189
2024-06-07 12:40:14,1189
2024-06-07 12:40:16,1166
2024-06-07 12:40:18,1166
2024-06-07 12:40:20,1150
2024-06-07 12:40:22,1168
2024-06-07 12:40:24,1201
2024-06-07 12:40:26,1201
2024-06-07 12:40:28,1201
2024-06-07 12:40:30,1173
2024-06-07 12:40:32,1150
2024-06-07 12:40:34,1150
2024-06-07 12:40:36,1150
2024-06-07 12:40:38,1183
2024-06-07 12:40:40,1187
2024-06-07 12:40:42,1187
2024-06-07 12:40:44,1187
2024-06-07 12:40:46,1156
2024-06-07 12:40:48,1156
2024-06-07 12:40:50,1156
2024-06-07 12:40:52,1181
2024-06-07 12:40:54,1211
2024-06-07 12:40:56,1192
2024-06-07 12:40:58,1188
2024-06-07 12:41:00,1171
2024-06-07 12:41:02,1153
2024-06-07 12:41:04,1177
2024-06-07 12:41:06,1161
2024-06-07 12:41:08,1190
2024-06-07 12:41:10,1190
2024-06-07 12:41:12,1190
2024-06-07 12:41:14,1190
2024-06-07 12:41:16,1159
2024-06-07 12:41:18,1175
2024-06-07 12:41:20,1165
2024-06-07 12:41:22,1181
2024-06-07 12:41:24,1185
2024-06-07 12:41:26,1204
2024-06-07 12:41:28,1204
2024-06-07 12:41:30,1173
2024-06-07 12:41:32,1173
2024-06-07 12:41:34,1144
2024-06-07 12:41:36,1168
2024-06-07 12:41:38,1168
2024-06-07 12:41:40,1168
2024-06-07 12:41:42,1187
2024-06-07 12:41:44,1204
2024-06-07 12:41:46,1158
2024-06-07 12:41:48,1190
2024-06-07 12:41:50,1172
2024-06-07 12:41:52,1172
2024-06-07 12:41:54,1172
2024-06-07 12:41:56,1172
2024-06-07 12:41:58,1196
2024-06-07 12:42:00,1196
2024-06-07 12:42:02,1164
2024-06-07 12:42:04,1191
2024-06-07 12:42:06,1170
2024-06-07 12:42:08,1151
2024-06-07 12:42:10,575
2024-06-07 12:42:12,575
2024-06-07 12:42:14,575
2024-06-07 12:42:16,0
2024-06-07 12:42:18,0
2024-06-07 12:42:20,0
2024-06-07 12:42:22,0
2024-06-07 12:42:24,0
2024-06-07 12:42:26,0
2024-06-07 12:42:28,0
2024-06-07 12:42:30,0
2024-06-07 12:42:32,0
2024-06-07 12:42:34,0
2024-06-07 12:42:36,0
2024-06-07 12:42:38,0
2024-06-07 12:42:40,0
2024-06-07 12:42:42,0
2024-06-07 12:42:44,0
2024-06-07 12:42:46,0
2024-06-07 12:42:48,0
2024-06-07 12:42:50,0
2024-06-07 12:42:52,0
2024-06-07 12:42:54,0
2024-06-07 12:42:56,0
2024-06-07 12:42:58,0
2024-06-07 12:43:00,0
2024-06-07 12:43:02,0
2024-06-07 12:43:04,0
2024-06-07 12:43:06,0
2024-06-07 12:43:08,0
2024-06-07 12:43:10,0
2024-06-07 12:43:12,0
2024-06-07 12:43:14,0
2024-06-07 12:43:16,0
2024-06-07 12:43:18,0
2024-06-07 12:43:20,0
2024-06-07 12:43:22,0
2024-06-07 12:43:24,0
2024-06-07 12:43:26,0
2024-06-07 12:43:28,0
2024-06-07 12:43:30,0
2024-06-07 12:43:32,0
2024-06-07 12:43:34,0
2024-06-07 12:43:36,0
2024-06-07 12:43:38,0
2024-06-07 12:43:40,0
2024-06-07 12:43:42,0
2024-06-07 12:43:44,0
2024-06-07 12:43:46,0
2024-06-07 12:43:48,0
2024-06-07 12:43:50,307
2024-06-07 12:43:52,608
2024-06-07 12:43:54,626
2024-06-07 12:43:56,626
2024-06-07 12:43:58,640
