"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:39:28,316
2024-06-07 12:39:30,311
2024-06-07 12:39:32,311
2024-06-07 12:39:34,319
2024-06-07 12:39:36,319
2024-06-07 12:39:38,319
2024-06-07 12:39:40,320
2024-06-07 12:39:42,319
2024-06-07 12:39:44,307
2024-06-07 12:39:46,307
2024-06-07 12:39:48,307
2024-06-07 12:39:50,0
2024-06-07 12:39:52,0
2024-06-07 12:39:54,0
2024-06-07 12:39:56,0
2024-06-07 12:39:58,154
2024-06-07 12:40:00,309
2024-06-07 12:40:02,309
2024-06-07 12:40:04,314
2024-06-07 12:40:06,319
2024-06-07 12:40:08,319
2024-06-07 12:40:10,327
2024-06-07 12:40:12,327
2024-06-07 12:40:14,321
2024-06-07 12:40:16,311
2024-06-07 12:40:18,310
2024-06-07 12:40:20,306
2024-06-07 12:40:22,310
2024-06-07 12:40:24,317
2024-06-07 12:40:26,322
2024-06-07 12:40:28,322
2024-06-07 12:40:30,322
2024-06-07 12:40:32,314
2024-06-07 12:40:34,322
2024-06-07 12:40:36,313
2024-06-07 12:40:38,313
2024-06-07 12:40:40,313
2024-06-07 12:40:42,320
2024-06-07 12:40:44,320
2024-06-07 12:40:46,320
2024-06-07 12:40:48,311
2024-06-07 12:40:50,321
2024-06-07 12:40:52,316
2024-06-07 12:40:54,319
2024-06-07 12:40:56,319
2024-06-07 12:40:58,313
2024-06-07 12:41:00,313
2024-06-07 12:41:02,313
2024-06-07 12:41:04,313
2024-06-07 12:41:06,313
2024-06-07 12:41:08,323
2024-06-07 12:41:10,320
2024-06-07 12:41:12,313
2024-06-07 12:41:14,313
2024-06-07 12:41:16,313
2024-06-07 12:41:18,313
2024-06-07 12:41:20,319
2024-06-07 12:41:22,319
2024-06-07 12:41:24,329
2024-06-07 12:41:26,329
2024-06-07 12:41:28,317
2024-06-07 12:41:30,308
2024-06-07 12:41:32,312
2024-06-07 12:41:34,317
2024-06-07 12:41:36,317
2024-06-07 12:41:38,317
2024-06-07 12:41:40,317
2024-06-07 12:41:42,320
2024-06-07 12:41:44,320
2024-06-07 12:41:46,320
2024-06-07 12:41:48,309
2024-06-07 12:41:50,319
2024-06-07 12:41:52,319
2024-06-07 12:41:54,319
2024-06-07 12:41:56,314
2024-06-07 12:41:58,315
2024-06-07 12:42:00,314
2024-06-07 12:42:02,314
2024-06-07 12:42:04,314
2024-06-07 12:42:06,322
2024-06-07 12:42:08,316
2024-06-07 12:42:10,316
2024-06-07 12:42:12,309
2024-06-07 12:42:14,309
