"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-87k5l","loadgenerator-7c6fb64488-z47zq","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-07 12:39:28,1337,3238,2223,4259,509,111780,85.1,11273,347,18158,2732,1044,894
2024-06-07 12:39:30,1337,3238,2147,4259,509,72259,93.0,11190,347,18158,2732,566,864
2024-06-07 12:39:32,864,3238,2147,4096,416,72259,101,11108,290,18158,1882,549,850
2024-06-07 12:39:34,864,2023,2147,4096,424,72259,109,11026,290,18158,1820,566,850
2024-06-07 12:39:36,864,2023,2147,1999,424,70341,117,8078,290,18158,1807,566,850
2024-06-07 12:39:38,864,2023,2147,2066,424,70341,274,8078,290,8107,1807,566,850
2024-06-07 12:39:40,864,2023,2147,2066,424,70341,291,8304,290,8105,1807,566,624
2024-06-07 12:39:42,832,2023,923,2066,424,70341,308,8240,290,8212,1807,566,624
2024-06-07 12:39:44,844,2023,923,2066,424,31327,326,8177,175,8212,1807,566,624
2024-06-07 12:39:46,361,2016,923,2066,424,31327,343,8114,182,8212,1172,561,624
2024-06-07 12:39:48,361,284,923,2224,424,31327,360,8050,182,8212,1172,561,624
2024-06-07 12:39:50,361,295,923,2224,331,32387,378,7987,182,8212,1172,197,628
2024-06-07 12:39:52,361,295,961,2224,328,32387,592,7923,182,8212,1172,197,259
2024-06-07 12:39:54,361,295,961,488,348,32387,618,7860,186,1245,1172,197,259
2024-06-07 12:39:56,361,295,961,492,348,32387,644,6060,186,1245,378,197,259
2024-06-07 12:39:58,361,295,961,508,348,32387,669,6011,186,1245,391,197,259
2024-06-07 12:40:00,138,295,293,508,348,5247,695,5962,186,1245,391,227,259
2024-06-07 12:40:02,133,480,293,508,348,5415,721,5912,186,1245,513,227,259
2024-06-07 12:40:04,209,480,293,491,322,5415,747,5863,168,2048,513,126,305
2024-06-07 12:40:06,209,438,348,1043,333,10218,773,5814,168,2048,513,126,305
2024-06-07 12:40:08,209,438,348,1043,338,10218,799,5764,168,2048,513,126,299
2024-06-07 12:40:10,209,438,348,1043,338,10218,689,5715,168,2095,513,162,311
2024-06-07 12:40:12,215,438,348,1043,338,10218,1200,5632,177,2109,513,162,311
2024-06-07 12:40:14,215,438,348,1079,338,10218,1237,5583,171,2184,520,162,311
2024-06-07 12:40:16,215,438,353,1079,338,10218,1273,5534,178,3294,632,166,311
2024-06-07 12:40:18,215,692,353,1079,338,10576,1310,5485,178,3294,632,166,311
2024-06-07 12:40:20,329,703,353,1619,338,17084,1346,5436,178,3294,632,166,365
2024-06-07 12:40:22,329,708,515,1619,334,17084,1383,5387,178,3294,632,166,365
2024-06-07 12:40:24,343,730,515,1619,324,17084,1684,5251,192,3294,641,166,365
2024-06-07 12:40:26,343,730,515,1699,322,17084,1727,5202,192,3294,791,165,365
2024-06-07 12:40:28,343,730,531,1699,350,17084,1771,5154,192,3294,791,164,372
2024-06-07 12:40:30,411,730,531,1699,350,21884,1814,5106,192,3424,791,252,372
2024-06-07 12:40:32,411,730,531,1699,352,22035,1857,5058,192,3320,791,252,372
2024-06-07 12:40:34,411,730,531,2301,352,22683,1901,5010,187,5486,791,252,372
2024-06-07 12:40:36,411,703,531,2301,352,22683,2164,4961,194,5486,797,259,372
2024-06-07 12:40:38,411,1125,850,2301,352,22683,2213,4563,194,5486,823,259,359
2024-06-07 12:40:40,411,1159,889,2385,352,22683,2261,4563,194,5486,1006,259,468
2024-06-07 12:40:42,427,1159,889,2385,352,22683,2309,4722,187,5766,1006,259,480
2024-06-07 12:40:44,427,1159,889,2385,341,22683,2358,4675,224,7204,1006,339,480
2024-06-07 12:40:46,427,1159,889,2385,371,21984,2406,4627,224,7204,1006,353,480
2024-06-07 12:40:48,412,1159,889,2385,378,22838,2454,4580,224,7204,1006,353,480
2024-06-07 12:40:50,585,1188,889,3139,378,36031,2783,4533,224,7204,1006,353,549
2024-06-07 12:40:52,585,1491,889,3313,378,36031,2837,4485,227,7204,1006,353,549
2024-06-07 12:40:54,585,1540,1172,3313,378,36031,2891,4438,227,7204,1019,353,549
2024-06-07 12:40:56,585,1540,1172,3313,378,36031,2944,4322,227,7468,1012,421,567
2024-06-07 12:40:58,610,1540,1235,3313,395,36031,2998,4275,227,9589,1006,421,567
