"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:39:28,157879
2024-06-07 12:39:30,117700
2024-06-07 12:39:32,115958
2024-06-07 12:39:34,114632
2024-06-07 12:39:36,107664
2024-06-07 12:39:38,97836
2024-06-07 12:39:40,97851
2024-06-07 12:39:42,96657
2024-06-07 12:39:44,57494
2024-06-07 12:39:46,56324
2024-06-07 12:39:48,54705
2024-06-07 12:39:50,55275
2024-06-07 12:39:52,55092
2024-06-07 12:39:54,46376
2024-06-07 12:39:56,43812
2024-06-07 12:39:58,43818
2024-06-07 12:40:00,15794
2024-06-07 12:40:02,16241
2024-06-07 12:40:04,16981
2024-06-07 12:40:06,22336
2024-06-07 12:40:08,22312
2024-06-07 12:40:10,22247
2024-06-07 12:40:12,22705
2024-06-07 12:40:14,22804
2024-06-07 12:40:16,24029
2024-06-07 12:40:18,24628
2024-06-07 12:40:20,31844
2024-06-07 12:40:22,31994
2024-06-07 12:40:24,32206
2024-06-07 12:40:26,32428
2024-06-07 12:40:28,32473
2024-06-07 12:40:30,37554
2024-06-07 12:40:32,37598
2024-06-07 12:40:34,41006
2024-06-07 12:40:36,41214
2024-06-07 12:40:38,41619
2024-06-07 12:40:40,42116
2024-06-07 12:40:42,42624
2024-06-07 12:40:44,44169
2024-06-07 12:40:46,43514
2024-06-07 12:40:48,44363
2024-06-07 12:40:50,58861
2024-06-07 12:40:52,59349
2024-06-07 12:40:54,59700
2024-06-07 12:40:56,59981
2024-06-07 12:40:58,62207
2024-06-07 12:41:00,62561
2024-06-07 12:41:02,63969
2024-06-07 12:41:04,72824
2024-06-07 12:41:06,73158
2024-06-07 12:41:08,73979
2024-06-07 12:41:10,74366
2024-06-07 12:41:12,75086
2024-06-07 12:41:14,77751
2024-06-07 12:41:16,90030
2024-06-07 12:41:18,90062
2024-06-07 12:41:20,90576
2024-06-07 12:41:22,92646
2024-06-07 12:41:24,93096
2024-06-07 12:41:26,93519
2024-06-07 12:41:28,93648
2024-06-07 12:41:30,95575
2024-06-07 12:41:32,112218
2024-06-07 12:41:34,117548
2024-06-07 12:41:36,118390
2024-06-07 12:41:38,118421
2024-06-07 12:41:40,118945
2024-06-07 12:41:42,119129
2024-06-07 12:41:44,119794
2024-06-07 12:41:46,123155
2024-06-07 12:41:48,122301
2024-06-07 12:41:50,143601
2024-06-07 12:41:52,143506
2024-06-07 12:41:54,149219
2024-06-07 12:41:56,149348
2024-06-07 12:41:58,149559
