"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-pc9rs","loadgenerator-7b495c87ff-qtz9z","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 12:06:58,0.00184,0.00228,0.000317,0.00140,0.00173,0.000634,0.00458,0.00663,0.000335,0.000365,0.00208,0.00216,0.000479
2024-05-29 12:07:00,0.00184,0.00228,0.000317,0.00140,0.00173,0.000634,0.00455,0.00565,0.000331,0.000365,0.00210,0.00216,0.000479
2024-05-29 12:07:02,0.00184,0.00292,0.000317,0.00317,0.00173,0.000654,0.00451,0.00593,0.000331,0.000365,0.00210,0.00209,0.000479
2024-05-29 12:07:04,0.00184,0.00292,0.000317,0.00317,0.00181,0.000654,0.00447,0.00621,0.000331,0.00101,0.00210,0.00217,0.000479
2024-05-29 12:07:06,0.00209,0.00294,0.000317,0.00317,0.00181,0.000654,0.00444,0.00649,0.000319,0.00101,0.00388,0.00217,0.000479
2024-05-29 12:07:08,0.00204,0.00294,0.000317,0.00333,0.00181,0.000654,0.00440,0.00677,0.00122,0.00101,0.00388,0.00217,0.000479
2024-05-29 12:07:10,0.00211,0.00294,0.000319,0.00333,0.00181,0.000654,0.00437,0.00705,0.00122,0.00104,0.00388,0.00217,0.000479
2024-05-29 12:07:12,0.00211,0.00294,0.000319,0.00333,0.00181,0.00761,0.00434,0.00733,0.00122,0.00104,0.00388,0.00210,0.000466
2024-05-29 12:07:14,0.00211,0.00294,0.00142,0.0122,0.00181,0.00761,0.00431,0.00762,0.00122,0.00104,0.00388,0.00243,0.000482
2024-05-29 12:07:16,0.00211,0.00291,0.00142,0.0122,0.00181,0.00789,0.00427,0.00658,0.00129,0.00104,0.00401,0.00243,0.000465
2024-05-29 12:07:18,0.00280,0.00292,0.00142,0.0122,0.00181,0.00789,0.00423,0.00658,0.00129,0.00104,0.00401,0.00243,0.00146
