"Time","default"
2024-05-29 12:06:58,0.00207
2024-05-29 12:07:00,0.00199
2024-05-29 12:07:02,0.00220
2024-05-29 12:07:04,0.00229
2024-05-29 12:07:06,0.00248
2024-05-29 12:07:08,0.00259
2024-05-29 12:07:10,0.00261
2024-05-29 12:07:12,0.00321
2024-05-29 12:07:14,0.00409
2024-05-29 12:07:16,0.00404
2024-05-29 12:07:18,0.00418
2024-05-29 12:07:20,0.00599
2024-05-29 12:07:22,0.00609
2024-05-29 12:07:24,0.00682
2024-05-29 12:07:26,0.00789
2024-05-29 12:07:28,0.00791
2024-05-29 12:07:30,0.00802
2024-05-29 12:07:32,0.00919
2024-05-29 12:07:34,0.00988
2024-05-29 12:07:36,0.0112
2024-05-29 12:07:38,0.0119
2024-05-29 12:07:40,0.0123
2024-05-29 12:07:42,0.0123
2024-05-29 12:07:44,0.0124
2024-05-29 12:07:46,0.0125
2024-05-29 12:07:48,0.0131
2024-05-29 12:07:50,0.0149
2024-05-29 12:07:52,0.0150
2024-05-29 12:07:54,0.0165
2024-05-29 12:07:56,0.0166
2024-05-29 12:07:58,0.0169
2024-05-29 12:08:00,0.0173
2024-05-29 12:08:02,0.0175
2024-05-29 12:08:04,0.0174
2024-05-29 12:08:06,0.0175
2024-05-29 12:08:08,0.0190
2024-05-29 12:08:10,0.0190
2024-05-29 12:08:12,0.0191
2024-05-29 12:08:14,0.0192
2024-05-29 12:08:16,0.0194
2024-05-29 12:08:18,0.0193
2024-05-29 12:08:20,0.0193
2024-05-29 12:08:22,0.0192
2024-05-29 12:08:24,0.0192
2024-05-29 12:08:26,0.0193
2024-05-29 12:08:28,0.0195
2024-05-29 12:08:30,0.0197
2024-05-29 12:08:32,0.0195
2024-05-29 12:08:34,0.0198
2024-05-29 12:08:36,0.0199
2024-05-29 12:08:38,0.0200
2024-05-29 12:08:40,0.0203
2024-05-29 12:08:42,0.0205
2024-05-29 12:08:44,0.0209
2024-05-29 12:08:46,0.0221
2024-05-29 12:08:48,0.0220
2024-05-29 12:08:50,0.0238
2024-05-29 12:08:52,0.0239
2024-05-29 12:08:54,0.0241
2024-05-29 12:08:56,0.0246
2024-05-29 12:08:58,0.0251
