"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 12:06:58,0
2024-05-29 12:07:00,0
2024-05-29 12:07:02,0
2024-05-29 12:07:04,1221
2024-05-29 12:07:06,1221
2024-05-29 12:07:08,1221
2024-05-29 12:07:10,1221
2024-05-29 12:07:12,1221
2024-05-29 12:07:14,2361
2024-05-29 12:07:16,2361
2024-05-29 12:07:18,2361
2024-05-29 12:07:20,2481
2024-05-29 12:07:22,2481
2024-05-29 12:07:24,2481
2024-05-29 12:07:26,2386
2024-05-29 12:07:28,2386
2024-05-29 12:07:30,2386
2024-05-29 12:07:32,2446
2024-05-29 12:07:34,2446
2024-05-29 12:07:36,2514
2024-05-29 12:07:38,2466
2024-05-29 12:07:40,2402
2024-05-29 12:07:42,2402
2024-05-29 12:07:44,2402
2024-05-29 12:07:46,2470
2024-05-29 12:07:48,2422
2024-05-29 12:07:50,2454
2024-05-29 12:07:52,2408
2024-05-29 12:07:54,2442
2024-05-29 12:07:56,2442
2024-05-29 12:07:58,2399
2024-05-29 12:08:00,2399
2024-05-29 12:08:02,2446
2024-05-29 12:08:04,2446
2024-05-29 12:08:06,2446
2024-05-29 12:08:08,2462
2024-05-29 12:08:10,2454
2024-05-29 12:08:12,2367
2024-05-29 12:08:14,2416
2024-05-29 12:08:16,2416
2024-05-29 12:08:18,2416
2024-05-29 12:08:20,2449
2024-05-29 12:08:22,2492
2024-05-29 12:08:24,2492
2024-05-29 12:08:26,2502
2024-05-29 12:08:28,2423
2024-05-29 12:08:30,2387
2024-05-29 12:08:32,2387
2024-05-29 12:08:34,2387
2024-05-29 12:08:36,2453
2024-05-29 12:08:38,2499
2024-05-29 12:08:40,2453
2024-05-29 12:08:42,2390
2024-05-29 12:08:44,2390
2024-05-29 12:08:46,2390
2024-05-29 12:08:48,2444
2024-05-29 12:08:50,2444
2024-05-29 12:08:52,2501
2024-05-29 12:08:54,2447
2024-05-29 12:08:56,2447
2024-05-29 12:08:58,2408
