"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-pc9rs","loadgenerator-7b495c87ff-qtz9z","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 12:06:58,122,142,180,202,321,2072,10638,242,145,188,329,68.6,229
2024-05-29 12:07:00,148,143,180,308,321,2010,10556,254,145,188,329,78.9,229
2024-05-29 12:07:02,152,143,310,306,330,5286,10473,267,145,188,329,78.9,229
2024-05-29 12:07:04,152,143,310,308,327,5286,10423,279,145,188,329,80.0,229
2024-05-29 12:07:06,152,507,310,317,327,5286,10340,229,145,182,329,80.0,229
2024-05-29 12:07:08,152,507,310,317,327,5286,10257,1482,170,189,318,80.0,371
2024-05-29 12:07:10,331,507,310,317,327,5286,10175,1543,171,182,327,80.0,371
2024-05-29 12:07:12,331,507,310,317,376,5286,10092,1604,177,5931,327,293,367
2024-05-29 12:07:14,331,527,310,1362,376,5477,10009,1665,177,5931,317,293,379
2024-05-29 12:07:16,331,527,315,1362,382,5477,9879,1726,177,5931,1298,293,379
2024-05-29 12:07:18,331,527,315,1362,382,34014,9797,1787,177,5931,1298,293,379
2024-05-29 12:07:20,338,1736,1511,1387,382,34014,9714,1848,247,5931,1298,302,379
2024-05-29 12:07:22,338,1736,1511,1432,382,34014,9632,1909,247,5931,1298,302,630
2024-05-29 12:07:24,338,1736,1511,1432,382,34014,9550,1970,247,6196,1298,538,630
2024-05-29 12:07:26,338,1736,1511,1432,382,34014,9468,5238,247,6196,1341,538,630
2024-05-29 12:07:28,327,1835,1511,1432,382,34014,9385,5396,250,15297,1341,538,630
2024-05-29 12:07:30,728,1835,2329,1386,489,63735,9354,5553,250,15297,2387,538,647
2024-05-29 12:07:32,762,1835,2329,3301,495,65908,9271,5710,250,15297,2387,564,647
2024-05-29 12:07:34,762,2976,2329,3301,495,65908,9188,5868,250,15297,2387,773,911
2024-05-29 12:07:36,762,2976,2329,3301,495,65908,9106,6025,336,15297,2387,773,911
2024-05-29 12:07:38,762,2976,2329,3398,495,65908,9023,6182,336,15838,2486,773,911
2024-05-29 12:07:40,941,2976,3097,3496,495,65908,8940,6340,336,15838,2486,773,911
2024-05-29 12:07:42,941,2976,3097,3496,495,97693,8858,6497,336,15838,2486,773,942
2024-05-29 12:07:44,941,2976,3097,3496,495,97693,8389,8679,341,24965,3454,773,942
2024-05-29 12:07:46,974,4072,3187,3496,595,97693,8679,8884,410,24965,3454,792,942
2024-05-29 12:07:48,974,4072,3299,3384,610,102718,8597,9089,410,26255,3454,821,942
2024-05-29 12:07:50,974,4072,3299,5155,610,102718,8514,9294,410,26255,3531,796,914
2024-05-29 12:07:52,974,4072,3299,5155,610,102718,8431,9500,410,26255,3656,1169,907
2024-05-29 12:07:54,974,4072,3299,5290,610,131971,8349,9705,410,26255,3656,1169,1294
2024-05-29 12:07:56,974,4072,3299,5326,610,131971,8266,9910,410,26255,3656,1169,1342
2024-05-29 12:07:58,1248,4227,4294,5498,610,131971,8183,10115,410,26255,3656,1169,1342
2024-05-29 12:08:00,1248,4227,4294,5498,678,131971,8101,11785,410,25424,4592,1169,1342
2024-05-29 12:08:02,1248,4227,4294,5498,695,136825,7939,12020,473,34906,4592,1169,1342
2024-05-29 12:08:04,1248,4967,4513,5343,695,149879,7857,12254,473,34906,4592,1169,1342
2024-05-29 12:08:06,1248,4967,4513,5306,695,149879,7775,12488,473,34906,4592,1232,1342
2024-05-29 12:08:08,1248,4967,4513,5269,695,149879,7693,12723,473,34906,4855,1191,1392
2024-05-29 12:08:10,1248,5174,4513,6090,695,149879,7611,12957,473,34906,4855,1312,1402
2024-05-29 12:08:12,1250,5174,4407,6090,695,153671,7529,13775,473,34906,4855,1312,1448
2024-05-29 12:08:14,1250,5174,4407,6338,676,154735,7448,14020,482,34906,4855,1312,1448
2024-05-29 12:08:16,1305,5174,4407,6338,703,153033,7366,14265,482,36466,4703,1312,1448
2024-05-29 12:08:18,1305,5174,4407,6338,703,153033,7324,14509,482,36466,4570,1312,1448
2024-05-29 12:08:20,1305,5174,4539,6127,703,153033,7242,14754,482,35202,4570,1368,1448
2024-05-29 12:08:22,1305,5157,4690,6127,703,153033,7160,14999,482,34113,4570,1368,1448
2024-05-29 12:08:24,1258,5175,4690,6127,703,153033,7077,15244,482,34113,4570,1368,1387
2024-05-29 12:08:26,1258,5175,4690,6397,685,153033,6995,15488,482,34113,4753,1295,1387
2024-05-29 12:08:28,1289,5175,4690,6397,685,153033,6913,14770,485,35416,4753,1295,1429
2024-05-29 12:08:30,1298,5175,4523,6397,685,151868,6830,15000,477,35416,4753,1295,1429
2024-05-29 12:08:32,1344,5175,4422,6397,697,151868,6278,15230,477,35416,4753,1295,1429
2024-05-29 12:08:34,1345,5175,4422,6512,697,151868,6278,15459,477,35416,4753,1361,1429
2024-05-29 12:08:36,1345,5175,4422,6512,697,151868,6594,15689,477,35416,4584,1516,1429
2024-05-29 12:08:38,1345,5175,4549,6768,697,151868,6512,15919,477,36591,5255,1516,1459
2024-05-29 12:08:40,1345,5175,4580,6768,756,151868,6429,16148,477,41988,5255,1516,1634
2024-05-29 12:08:42,1345,6367,4731,6768,756,157419,6346,16378,483,41988,5255,1516,1683
2024-05-29 12:08:44,1345,6367,5735,7716,756,157419,6264,18451,486,41988,5255,1516,1683
2024-05-29 12:08:46,1345,6367,5735,7716,779,152210,6181,18706,484,41988,5255,1516,1683
2024-05-29 12:08:48,1396,6367,5735,7716,779,188433,6099,18961,592,41988,5255,1593,1683
2024-05-29 12:08:50,1396,6367,5735,7946,779,188433,6016,19216,592,47700,5255,1593,1683
2024-05-29 12:08:52,1561,6367,5735,8001,779,193914,5943,19471,592,47700,5255,1856,1683
2024-05-29 12:08:54,1561,6367,6252,8237,779,200712,5860,19727,592,47700,5392,1856,1683
2024-05-29 12:08:56,1561,6367,6252,9103,873,200712,5778,19982,592,49843,6663,1856,1705
2024-05-29 12:08:58,1561,6157,6430,9103,873,200712,5695,20237,592,49843,6663,1856,1693
