"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 12:06:58,14879
2024-05-29 12:07:00,14890
2024-05-29 12:07:02,18236
2024-05-29 12:07:04,18198
2024-05-29 12:07:06,18434
2024-05-29 12:07:08,19767
2024-05-29 12:07:10,19929
2024-05-29 12:07:12,25918
2024-05-29 12:07:14,27153
2024-05-29 12:07:16,28076
2024-05-29 12:07:18,56592
2024-05-29 12:07:20,59088
2024-05-29 12:07:22,59362
2024-05-29 12:07:24,59843
2024-05-29 12:07:26,63071
2024-05-29 12:07:28,72337
2024-05-29 12:07:30,104529
2024-05-29 12:07:32,108757
2024-05-29 12:07:34,110446
2024-05-29 12:07:36,110607
2024-05-29 12:07:38,111418
2024-05-29 12:07:40,112538
2024-05-29 12:07:42,144427
2024-05-29 12:07:44,156241
2024-05-29 12:07:46,158143
2024-05-29 12:07:48,164624
2024-05-29 12:07:50,166540
2024-05-29 12:07:52,167154
2024-05-29 12:07:54,197051
2024-05-29 12:07:56,197259
2024-05-29 12:07:58,198976
2024-05-29 12:08:00,200738
2024-05-29 12:08:02,215226
2024-05-29 12:08:04,229236
2024-05-29 12:08:06,229415
2024-05-29 12:08:08,229803
2024-05-29 12:08:10,231114
2024-05-29 12:08:12,235586
2024-05-29 12:08:14,237050
2024-05-29 12:08:16,237001
2024-05-29 12:08:18,237072
2024-05-29 12:08:20,235948
2024-05-29 12:08:22,235155
2024-05-29 12:08:24,235227
2024-05-29 12:08:26,235750
2024-05-29 12:08:28,236329
2024-05-29 12:08:30,235145
2024-05-29 12:08:32,234779
2024-05-29 12:08:34,235192
2024-05-29 12:08:36,235723
2024-05-29 12:08:38,238129
2024-05-29 12:08:40,243939
2024-05-29 12:08:42,251035
2024-05-29 12:08:44,254980
2024-05-29 12:08:46,249964
2024-05-29 12:08:48,286596
2024-05-29 12:08:50,292712
2024-05-29 12:08:52,298859
2024-05-29 12:08:54,306718
2024-05-29 12:08:56,311287
2024-05-29 12:08:58,311416
