"Time","adservice-769c85bff-p5p4l","cartservice-57b6f4544-nndv9","checkoutservice-7744df487d-9p9wc","currencyservice-57c744564d-6dtkn","emailservice-58755f8b55-vqrwx","frontend-5bfd5c75f-4226p","loadgenerator-7b495c87ff-pc9rs","loadgenerator-7b495c87ff-zq277","paymentservice-747f5544b8-65w42","productcatalogservice-8ffc55d69-gg7lz","recommendationservice-756856df7b-6rzgz","redis-cart-69c467889f-5kh4g","shippingservice-8b5c9bb9b-4xhfd"
2024-05-29 11:52:04,0.00184,0.00205,0.000349,0.000846,0.00171,0.000347,0.00518,0.00458,0.000339,0.000325,0.00164,0.00208,0.000413
2024-05-29 11:52:06,0.00184,0.00205,0.000383,0.000851,0.00170,0.000347,0.00541,0.00454,0.000339,0.000325,0.00164,0.00208,0.000413
2024-05-29 11:52:08,0.00184,0.00205,0.000383,0.000879,0.00176,0.000347,0.00564,0.00451,0.000325,0.000315,0.00164,0.00208,0.000413
2024-05-29 11:52:10,0.00186,0.00198,0.000383,0.00338,0.00176,0.000347,0.00587,0.00447,0.000336,0.000325,0.00164,0.00208,0.000412
2024-05-29 11:52:12,0.00191,0.00300,0.000383,0.00338,0.00176,0.00183,0.00610,0.00442,0.000336,0.000916,0.00164,0.00211,0.000412
2024-05-29 11:52:14,0.00191,0.00300,0.000383,0.00338,0.00176,0.00183,0.00633,0.00438,0.00111,0.000916,0.00164,0.00211,0.000412
2024-05-29 11:52:16,0.00191,0.00300,0.000383,0.00338,0.00176,0.00183,0.00558,0.00434,0.00111,0.000916,0.00276,0.00211,0.000412
2024-05-29 11:52:18,0.00191,0.00300,0.000989,0.00338,0.00176,0.00183,0.00558,0.00431,0.00111,0.000916,0.00276,0.00211,0.000398
2024-05-29 11:52:20,0.00191,0.00305,0.00101,0.00338,0.00171,0.00189,0.00864,0.00427,0.00111,0.000916,0.00276,0.00211,0.000846
2024-05-29 11:52:22,0.00237,0.00305,0.00101,0.00338,0.00177,0.00189,0.00892,0.00423,0.00111,0.000916,0.00276,0.00228,0.000846
2024-05-29 11:52:24,0.00237,0.00305,0.00101,0.00350,0.00204,0.00189,0.00920,0.00396,0.00260,0.000939,0.00276,0.00228,0.000870
2024-05-29 11:52:26,0.00239,0.00305,0.00101,0.00339,0.00204,0.00184,0.00949,0.00396,0.00272,0.000939,0.00276,0.00228,0.000870
2024-05-29 11:52:28,0.00239,0.00771,0.00101,0.00336,0.00204,0.00930,0.00977,0.00410,0.00272,0.00395,0.00526,0.00228,0.000870
2024-05-29 11:52:30,0.00239,0.00771,0.00105,0.0158,0.00204,0.00979,0.0101,0.00406,0.00272,0.00395,0.00526,0.00228,0.000870
2024-05-29 11:52:32,0.00239,0.00771,0.00105,0.0158,0.00204,0.00979,0.0103,0.00402,0.00272,0.00395,0.00526,0.00228,0.000870
2024-05-29 11:52:34,0.00239,0.00783,0.00230,0.0158,0.00204,0.00979,0.0106,0.00399,0.00272,0.00395,0.00526,0.00244,0.000870
2024-05-29 11:52:36,0.00239,0.00813,0.00230,0.0165,0.00239,0.00979,0.00957,0.00395,0.00455,0.00415,0.00526,0.00244,0.00161
2024-05-29 11:52:38,0.00226,0.00813,0.00230,0.0165,0.00241,0.00979,0.0172,0.00392,0.00455,0.00415,0.00526,0.00244,0.00165
2024-05-29 11:52:40,0.00333,0.00813,0.00230,0.0165,0.00241,0.00979,0.0176,0.00388,0.00467,0.00415,0.00532,0.00246,0.00165
2024-05-29 11:52:42,0.00343,0.00813,0.00230,0.0165,0.00241,0.00979,0.0180,0.00384,0.00481,0.00723,0.00551,0.00246,0.00165
2024-05-29 11:52:44,0.00343,0.0133,0.00239,0.0165,0.00241,0.0195,0.0185,0.00378,0.00481,0.00723,0.00987,0.00246,0.00165
2024-05-29 11:52:46,0.00343,0.0133,0.00239,0.0159,0.00286,0.0203,0.0189,0.00374,0.00481,0.00723,0.00987,0.00270,0.00165
2024-05-29 11:52:48,0.00343,0.0133,0.00239,0.0282,0.00286,0.0203,0.0194,0.00371,0.00481,0.00723,0.00987,0.00270,0.00165
2024-05-29 11:52:50,0.00343,0.0133,0.00425,0.0297,0.00286,0.0203,0.0198,0.00367,0.00481,0.00742,0.00987,0.00270,0.00170
2024-05-29 11:52:52,0.00343,0.0133,0.00425,0.0297,0.00284,0.0203,0.0202,0.00364,0.00464,0.00747,0.00987,0.00273,0.00271
2024-05-29 11:52:54,0.00436,0.0136,0.00425,0.0297,0.00293,0.0267,0.0273,0.00360,0.00837,0.00774,0.00987,0.00273,0.00271
2024-05-29 11:52:56,0.00448,0.0141,0.00435,0.0297,0.00293,0.0267,0.0279,0.00356,0.00837,0.00752,0.00987,0.00273,0.00271
2024-05-29 11:52:58,0.00448,0.0141,0.00449,0.0297,0.00293,0.0281,0.0284,0.00333,0.00886,0.00747,0.0103,0.00273,0.00271
2024-05-29 11:53:00,0.00448,0.0141,0.00449,0.0297,0.00342,0.0281,0.0290,0.00347,0.00886,0.00741,0.0160,0.00297,0.00271
2024-05-29 11:53:02,0.00448,0.0136,0.00449,0.0297,0.00342,0.0281,0.0296,0.00343,0.00886,0.0125,0.0160,0.00297,0.00271
2024-05-29 11:53:04,0.00448,0.0192,0.00436,0.0388,0.00342,0.0281,0.0351,0.00340,0.0110,0.0125,0.0160,0.00297,0.00280
2024-05-29 11:53:06,0.00448,0.0192,0.00433,0.0409,0.00342,0.0281,0.0358,0.00336,0.0110,0.0125,0.0160,0.00297,0.00380
2024-05-29 11:53:08,0.00448,0.0192,0.00652,0.0409,0.00341,0.0281,0.0365,0.00333,0.0110,0.0125,0.0160,0.00297,0.00380
2024-05-29 11:53:10,0.00446,0.0192,0.00652,0.0409,0.00343,0.0371,0.0371,0.00329,0.0110,0.0129,0.0160,0.00302,0.00380
2024-05-29 11:53:12,0.00569,0.0192,0.00652,0.0409,0.00353,0.0371,0.0378,0.00325,0.0110,0.0129,0.0165,0.00302,0.00380
2024-05-29 11:53:14,0.00569,0.0215,0.00674,0.0409,0.00353,0.0386,0.0385,0.00322,0.0114,0.0129,0.0218,0.00326,0.00393
2024-05-29 11:53:16,0.00569,0.0215,0.00674,0.0472,0.00341,0.0386,0.0391,0.00315,0.0114,0.0129,0.0218,0.00326,0.00393
2024-05-29 11:53:18,0.00569,0.0215,0.00674,0.0472,0.00339,0.0386,0.0398,0.00311,0.0114,0.0125,0.0218,0.00326,0.00393
2024-05-29 11:53:20,0.00569,0.0215,0.00784,0.0489,0.00423,0.0386,0.0375,0.00308,0.0110,0.0167,0.0218,0.00326,0.00393
2024-05-29 11:53:22,0.00638,0.0215,0.00784,0.0489,0.00423,0.0386,0.0495,0.00304,0.0109,0.0174,0.0229,0.00326,0.00393
2024-05-29 11:53:24,0.00638,0.0215,0.00827,0.0489,0.00423,0.0460,0.0503,0.00301,0.0147,0.0174,0.0229,0.00326,0.00380
2024-05-29 11:53:26,0.00638,0.0239,0.00827,0.0489,0.00435,0.0476,0.0511,0.00297,0.0151,0.0174,0.0229,0.00332,0.00521
2024-05-29 11:53:28,0.00638,0.0247,0.00827,0.0489,0.00435,0.0476,0.0519,0.00294,0.0156,0.0174,0.0229,0.00332,0.00521
2024-05-29 11:53:30,0.00638,0.0247,0.00827,0.0552,0.00435,0.0476,0.0527,0.00293,0.0156,0.0174,0.0288,0.00332,0.00521
2024-05-29 11:53:32,0.00638,0.0247,0.00827,0.0583,0.00435,0.0476,0.0535,0.00290,0.0156,0.0197,0.0288,0.00320,0.00521
2024-05-29 11:53:34,0.00638,0.0247,0.00803,0.0583,0.00422,0.0476,0.0596,0.00286,0.0156,0.0206,0.0288,0.00359,0.00521
2024-05-29 11:53:36,0.00663,0.0247,0.00797,0.0583,0.00419,0.0500,0.0605,0.00283,0.0156,0.0206,0.0288,0.00359,0.00521
2024-05-29 11:53:38,0.00643,0.0257,0.0101,0.0583,0.00518,0.0569,0.0614,0.00279,0.0177,0.0206,0.0299,0.00359,0.00619
2024-05-29 11:53:40,0.00730,0.0257,0.0104,0.0583,0.00518,0.0569,0.0622,0.00276,0.0177,0.0206,0.0334,0.00357,0.00619
2024-05-29 11:53:42,0.00730,0.0257,0.0104,0.0583,0.00518,0.0569,0.0631,0.00272,0.0177,0.0206,0.0334,0.00368,0.00619
2024-05-29 11:53:44,0.00730,0.0289,0.0108,0.0583,0.00518,0.0569,0.0640,0.00272,0.0185,0.0206,0.0334,0.00368,0.00619
2024-05-29 11:53:46,0.00730,0.0289,0.0108,0.0563,0.00518,0.0569,0.0701,0.00269,0.0185,0.0218,0.0334,0.00380,0.00619
2024-05-29 11:53:48,0.00730,0.0289,0.0108,0.0704,0.00536,0.0598,0.0711,0.00265,0.0185,0.0211,0.0334,0.00380,0.00666
2024-05-29 11:53:50,0.00730,0.0301,0.0108,0.0704,0.00536,0.0598,0.0720,0.00262,0.0185,0.0249,0.0343,0.00380,0.00666
2024-05-29 11:53:52,0.00761,0.0301,0.0121,0.0704,0.00536,0.0598,0.0730,0.00258,0.0185,0.0249,0.0392,0.00380,0.00666
2024-05-29 11:53:54,0.00761,0.0301,0.0121,0.0704,0.00518,0.0577,0.0739,0.00254,0.0209,0.0249,0.0392,0.00380,0.00666
2024-05-29 11:53:56,0.00803,0.0301,0.0121,0.0704,0.00615,0.0684,0.0785,0.00251,0.0215,0.0249,0.0392,0.00391,0.00702
2024-05-29 11:53:58,0.00803,0.0301,0.0124,0.0704,0.00615,0.0684,0.0796,0.00247,0.0217,0.0249,0.0392,0.00391,0.00702
2024-05-29 11:54:00,0.00803,0.0321,0.0128,0.0704,0.00615,0.0684,0.0806,0.00248,0.0224,0.0249,0.0392,0.00403,0.00702
2024-05-29 11:54:02,0.00803,0.0340,0.0128,0.0761,0.00615,0.0716,0.0816,0.00245,0.0224,0.0259,0.0392,0.00403,0.00702
2024-05-29 11:54:04,0.00803,0.0340,0.0128,0.0793,0.00634,0.0716,0.0826,0.00241,0.0224,0.0259,0.0392,0.00403,0.00702
2024-05-29 11:54:06,0.00838,0.0340,0.0128,0.0793,0.00634,0.0762,0.0877,0.00237,0.0224,0.0250,0.0392,0.00414,0.00775
2024-05-29 11:54:08,0.00866,0.0340,0.0124,0.0793,0.00634,0.0762,0.0887,0.00234,0.0224,0.0286,0.0390,0.00414,0.00775
2024-05-29 11:54:10,0.00866,0.0340,0.0144,0.0793,0.00634,0.0762,0.0898,0.00218,0.0217,0.0286,0.0473,0.00414,0.00775
2024-05-29 11:54:12,0.00866,0.0340,0.0144,0.0793,0.00687,0.0762,0.0908,0.00234,0.0246,0.0286,0.0473,0.00414,0.00810
2024-05-29 11:54:14,0.00866,0.0340,0.0144,0.0833,0.00687,0.0762,0.0919,0.00230,0.0246,0.0299,0.0473,0.00414,0.00810
2024-05-29 11:54:16,0.00866,0.0340,0.0149,0.0884,0.00708,0.0792,0.0930,0.00226,0.0255,0.0299,0.0473,0.00424,0.00810
2024-05-29 11:54:18,0.00885,0.0363,0.0149,0.0884,0.00708,0.0792,0.0940,0.00223,0.0255,0.0299,0.0473,0.00433,0.00810
2024-05-29 11:54:20,0.00885,0.0383,0.0149,0.0884,0.00708,0.0848,0.0998,0.00219,0.0255,0.0299,0.0473,0.00433,0.00810
2024-05-29 11:54:22,0.00912,0.0383,0.0156,0.0884,0.00708,0.0848,0.101,0.00215,0.0267,0.0317,0.0473,0.00433,0.00784
2024-05-29 11:54:24,0.00912,0.0383,0.0156,0.0920,0.00708,0.0848,0.102,0.00211,0.0267,0.0317,0.0519,0.00433,0.00808
2024-05-29 11:54:26,0.00912,0.0383,0.0160,0.0920,0.00708,0.0872,0.103,0.00208,0.0274,0.0335,0.0519,0.00433,0.00912
2024-05-29 11:54:28,0.00912,0.0394,0.0165,0.0920,0.00713,0.0898,0.104,0.00204,0.0276,0.0335,0.0535,0.00433,0.00912
