"Time","default"
2024-05-29 11:52:04,0.00181
2024-05-29 11:52:06,0.00183
2024-05-29 11:52:08,0.00185
2024-05-29 11:52:10,0.00207
2024-05-29 11:52:12,0.00235
2024-05-29 11:52:14,0.00243
2024-05-29 11:52:16,0.00246
2024-05-29 11:52:18,0.00250
2024-05-29 11:52:20,0.00280
2024-05-29 11:52:22,0.00288
2024-05-29 11:52:24,0.00304
2024-05-29 11:52:26,0.00306
2024-05-29 11:52:28,0.00456
2024-05-29 11:52:30,0.00566
2024-05-29 11:52:32,0.00568
2024-05-29 11:52:34,0.00583
2024-05-29 11:52:36,0.00608
2024-05-29 11:52:38,0.00671
2024-05-29 11:52:40,0.00685
2024-05-29 11:52:42,0.00717
2024-05-29 11:52:44,0.00881
2024-05-29 11:52:46,0.00892
2024-05-29 11:52:48,0.00998
2024-05-29 11:52:50,0.0103
2024-05-29 11:52:52,0.0104
2024-05-29 11:52:54,0.0120
2024-05-29 11:52:56,0.0121
2024-05-29 11:52:58,0.0123
2024-05-29 11:53:00,0.0129
2024-05-29 11:53:02,0.0133
2024-05-29 11:53:04,0.0152
2024-05-29 11:53:06,0.0155
2024-05-29 11:53:08,0.0157
2024-05-29 11:53:10,0.0166
2024-05-29 11:53:12,0.0168
2024-05-29 11:53:14,0.0177
2024-05-29 11:53:16,0.0182
2024-05-29 11:53:18,0.0182
2024-05-29 11:53:20,0.0187
2024-05-29 11:53:22,0.0199
2024-05-29 11:53:24,0.0209
2024-05-29 11:53:26,0.0215
2024-05-29 11:53:28,0.0216
2024-05-29 11:53:30,0.0227
2024-05-29 11:53:32,0.0232
2024-05-29 11:53:34,0.0238
2024-05-29 11:53:36,0.0241
2024-05-29 11:53:38,0.0254
2024-05-29 11:53:40,0.0259
2024-05-29 11:53:42,0.0259
2024-05-29 11:53:44,0.0264
2024-05-29 11:53:46,0.0268
2024-05-29 11:53:48,0.0283
2024-05-29 11:53:50,0.0289
2024-05-29 11:53:52,0.0295
2024-05-29 11:53:54,0.0296
2024-05-29 11:53:56,0.0311
2024-05-29 11:53:58,0.0312
2024-05-29 11:54:00,0.0315
2024-05-29 11:54:02,0.0326
2024-05-29 11:54:04,0.0330
2024-05-29 11:54:06,0.0338
2024-05-29 11:54:08,0.0341
2024-05-29 11:54:10,0.0350
2024-05-29 11:54:12,0.0354
2024-05-29 11:54:14,0.0360
2024-05-29 11:54:16,0.0369
2024-05-29 11:54:18,0.0372
2024-05-29 11:54:20,0.0383
2024-05-29 11:54:22,0.0387
2024-05-29 11:54:24,0.0395
2024-05-29 11:54:26,0.0401
2024-05-29 11:54:28,0.0407
2024-05-29 11:54:30,0.0410
2024-05-29 11:54:32,0.0415
2024-05-29 11:54:34,0.0422
2024-05-29 11:54:36,0.0431
2024-05-29 11:54:38,0.0432
2024-05-29 11:54:40,0.0429
2024-05-29 11:54:42,0.0443
2024-05-29 11:54:44,0.0454
2024-05-29 11:54:46,0.0463
2024-05-29 11:54:48,0.0466
2024-05-29 11:54:50,0.0468
2024-05-29 11:54:52,0.0465
2024-05-29 11:54:54,0.0477
2024-05-29 11:54:56,0.0481
2024-05-29 11:54:58,0.0493
2024-05-29 11:55:00,0.0498
2024-05-29 11:55:02,0.0499
2024-05-29 11:55:04,0.0500
2024-05-29 11:55:06,0.0502
2024-05-29 11:55:08,0.0502
2024-05-29 11:55:10,0.0505
2024-05-29 11:55:12,0.0511
2024-05-29 11:55:14,0.0508
2024-05-29 11:55:16,0.0512
2024-05-29 11:55:18,0.0513
2024-05-29 11:55:20,0.0519
2024-05-29 11:55:22,0.0521
2024-05-29 11:55:24,0.0521
2024-05-29 11:55:26,0.0520
2024-05-29 11:55:28,0.0515
2024-05-29 11:55:30,0.0515
2024-05-29 11:55:32,0.0518
2024-05-29 11:55:34,0.0516
2024-05-29 11:55:36,0.0523
2024-05-29 11:55:38,0.0524
2024-05-29 11:55:40,0.0523
2024-05-29 11:55:42,0.0529
2024-05-29 11:55:44,0.0533
2024-05-29 11:55:46,0.0534
2024-05-29 11:55:48,0.0544
2024-05-29 11:55:50,0.0547
