"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:52:04,0
2024-05-29 11:52:06,0
2024-05-29 11:52:08,0
2024-05-29 11:52:10,0
2024-05-29 11:52:12,0
2024-05-29 11:52:14,0
2024-05-29 11:52:16,0
2024-05-29 11:52:18,0
2024-05-29 11:52:20,0
2024-05-29 11:52:22,0
2024-05-29 11:52:24,0
2024-05-29 11:52:26,0
2024-05-29 11:52:28,0
2024-05-29 11:52:30,0
2024-05-29 11:52:32,0
2024-05-29 11:52:34,0
2024-05-29 11:52:36,0
2024-05-29 11:52:38,0
2024-05-29 11:52:40,0
2024-05-29 11:52:42,0
2024-05-29 11:52:44,0
2024-05-29 11:52:46,0
2024-05-29 11:52:48,0
2024-05-29 11:52:50,0
2024-05-29 11:52:52,0
2024-05-29 11:52:54,0
2024-05-29 11:52:56,0
2024-05-29 11:52:58,0
2024-05-29 11:53:00,0
2024-05-29 11:53:02,0
2024-05-29 11:53:04,0
2024-05-29 11:53:06,0
2024-05-29 11:53:08,0
2024-05-29 11:53:10,0
2024-05-29 11:53:12,0
2024-05-29 11:53:14,0
2024-05-29 11:53:16,0
2024-05-29 11:53:18,0
2024-05-29 11:53:20,0
2024-05-29 11:53:22,0
2024-05-29 11:53:24,0
2024-05-29 11:53:26,0
2024-05-29 11:53:28,0
2024-05-29 11:53:30,0
2024-05-29 11:53:32,0
2024-05-29 11:53:34,0
2024-05-29 11:53:36,0
2024-05-29 11:53:38,0
2024-05-29 11:53:40,0
2024-05-29 11:53:42,0
2024-05-29 11:53:44,0
2024-05-29 11:53:46,0
2024-05-29 11:53:48,0
2024-05-29 11:53:50,0
2024-05-29 11:53:52,0
2024-05-29 11:53:54,0
2024-05-29 11:53:56,0
2024-05-29 11:53:58,0
2024-05-29 11:54:00,0
2024-05-29 11:54:02,0
2024-05-29 11:54:04,0
2024-05-29 11:54:06,0
2024-05-29 11:54:08,0
2024-05-29 11:54:10,0
2024-05-29 11:54:12,0
2024-05-29 11:54:14,0
2024-05-29 11:54:16,0
2024-05-29 11:54:18,0
2024-05-29 11:54:20,0
2024-05-29 11:54:22,0
2024-05-29 11:54:24,0
2024-05-29 11:54:26,0
2024-05-29 11:54:28,0
2024-05-29 11:54:30,0
2024-05-29 11:54:32,0
2024-05-29 11:54:34,0
2024-05-29 11:54:36,0
2024-05-29 11:54:38,0
2024-05-29 11:54:40,0
2024-05-29 11:54:42,0
2024-05-29 11:54:44,0
2024-05-29 11:54:46,0
2024-05-29 11:54:48,0
2024-05-29 11:54:50,0
2024-05-29 11:54:52,0
2024-05-29 11:54:54,0
2024-05-29 11:54:56,0
2024-05-29 11:54:58,0
2024-05-29 11:55:00,0
2024-05-29 11:55:02,0
2024-05-29 11:55:04,0
2024-05-29 11:55:06,2449
2024-05-29 11:55:08,2449
2024-05-29 11:55:10,2449
2024-05-29 11:55:12,2449
2024-05-29 11:55:14,2449
2024-05-29 11:55:16,2449
2024-05-29 11:55:18,2597
2024-05-29 11:55:20,2597
2024-05-29 11:55:22,2518
2024-05-29 11:55:24,2434
2024-05-29 11:55:26,2434
2024-05-29 11:55:28,2434
2024-05-29 11:55:30,2434
2024-05-29 11:55:32,2434
2024-05-29 11:55:34,2518
2024-05-29 11:55:36,2493
2024-05-29 11:55:38,2493
2024-05-29 11:55:40,2493
2024-05-29 11:55:42,2493
2024-05-29 11:55:44,2493
2024-05-29 11:55:46,2493
2024-05-29 11:55:48,2401
2024-05-29 11:55:50,2401
