"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:52:04,0
2024-05-29 11:52:06,0
2024-05-29 11:52:08,0
2024-05-29 11:52:10,0
2024-05-29 11:52:12,0
2024-05-29 11:52:14,0
2024-05-29 11:52:16,0
2024-05-29 11:52:18,0
2024-05-29 11:52:20,0
2024-05-29 11:52:22,1622
2024-05-29 11:52:24,1622
2024-05-29 11:52:26,1622
2024-05-29 11:52:28,1664
2024-05-29 11:52:30,1664
2024-05-29 11:52:32,1632
2024-05-29 11:52:34,1598
2024-05-29 11:52:36,1598
2024-05-29 11:52:38,1598
2024-05-29 11:52:40,1632
2024-05-29 11:52:42,1658
2024-05-29 11:52:44,1686
2024-05-29 11:52:46,1651
2024-05-29 11:52:48,1605
2024-05-29 11:52:50,1605
2024-05-29 11:52:52,1654
2024-05-29 11:52:54,1654
2024-05-29 11:52:56,1654
2024-05-29 11:52:58,1654
2024-05-29 11:53:00,1654
2024-05-29 11:53:02,1611
2024-05-29 11:53:04,1611
2024-05-29 11:53:06,1611
2024-05-29 11:53:08,1611
2024-05-29 11:53:10,1658
2024-05-29 11:53:12,1683
2024-05-29 11:53:14,1664
2024-05-29 11:53:16,1664
2024-05-29 11:53:18,1664
2024-05-29 11:53:20,1614
2024-05-29 11:53:22,1614
2024-05-29 11:53:24,1614
2024-05-29 11:53:26,1655
2024-05-29 11:53:28,1655
2024-05-29 11:53:30,1649
2024-05-29 11:53:32,1625
2024-05-29 11:53:34,1625
2024-05-29 11:53:36,1625
2024-05-29 11:53:38,1625
2024-05-29 11:53:40,1652
2024-05-29 11:53:42,1678
2024-05-29 11:53:44,1678
2024-05-29 11:53:46,1600
2024-05-29 11:53:48,1600
2024-05-29 11:53:50,1633
2024-05-29 11:53:52,1633
2024-05-29 11:53:54,1633
2024-05-29 11:53:56,1603
2024-05-29 11:53:58,1626
2024-05-29 11:54:00,1615
2024-05-29 11:54:02,1660
2024-05-29 11:54:04,1660
2024-05-29 11:54:06,1631
2024-05-29 11:54:08,1631
2024-05-29 11:54:10,1631
2024-05-29 11:54:12,1631
2024-05-29 11:54:14,1631
2024-05-29 11:54:16,1623
2024-05-29 11:54:18,1628
2024-05-29 11:54:20,1628
2024-05-29 11:54:22,1628
2024-05-29 11:54:24,1628
2024-05-29 11:54:26,1628
2024-05-29 11:54:28,1598
2024-05-29 11:54:30,1644
2024-05-29 11:54:32,1667
2024-05-29 11:54:34,1647
2024-05-29 11:54:36,1650
2024-05-29 11:54:38,1650
2024-05-29 11:54:40,1650
2024-05-29 11:54:42,1650
2024-05-29 11:54:44,1602
2024-05-29 11:54:46,1629
2024-05-29 11:54:48,1657
2024-05-29 11:54:50,1615
2024-05-29 11:54:52,1654
2024-05-29 11:54:54,1654
2024-05-29 11:54:56,1622
2024-05-29 11:54:58,1622
2024-05-29 11:55:00,1622
2024-05-29 11:55:02,1622
2024-05-29 11:55:04,2733
2024-05-29 11:55:06,2773
2024-05-29 11:55:08,2860
2024-05-29 11:55:10,3953
2024-05-29 11:55:12,3953
2024-05-29 11:55:14,3953
2024-05-29 11:55:16,3953
2024-05-29 11:55:18,3851
2024-05-29 11:55:20,3851
2024-05-29 11:55:22,3851
2024-05-29 11:55:24,4005
2024-05-29 11:55:26,4008
2024-05-29 11:55:28,3954
2024-05-29 11:55:30,3954
2024-05-29 11:55:32,3954
2024-05-29 11:55:34,3889
2024-05-29 11:55:36,3910
2024-05-29 11:55:38,3910
2024-05-29 11:55:40,3818
2024-05-29 11:55:42,3890
2024-05-29 11:55:44,3890
2024-05-29 11:55:46,3890
2024-05-29 11:55:48,3967
2024-05-29 11:55:50,3879
