"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 11:52:04,7771
2024-05-29 11:52:06,7746
2024-05-29 11:52:08,7803
2024-05-29 11:52:10,7984
2024-05-29 11:52:12,7961
2024-05-29 11:52:14,8717
2024-05-29 11:52:16,10793
2024-05-29 11:52:18,20940
2024-05-29 11:52:20,21788
2024-05-29 11:52:22,23667
2024-05-29 11:52:24,24447
2024-05-29 11:52:26,24626
2024-05-29 11:52:28,25555
2024-05-29 11:52:30,30554
2024-05-29 11:52:32,31541
2024-05-29 11:52:34,31662
2024-05-29 11:52:36,59799
2024-05-29 11:52:38,60174
2024-05-29 11:52:40,63748
2024-05-29 11:52:42,64620
2024-05-29 11:52:44,65883
2024-05-29 11:52:46,66114
2024-05-29 11:52:48,74914
2024-05-29 11:52:50,111689
2024-05-29 11:52:52,113220
2024-05-29 11:52:54,114247
2024-05-29 11:52:56,114633
2024-05-29 11:52:58,117192
2024-05-29 11:53:00,144719
2024-05-29 11:53:02,145323
2024-05-29 11:53:04,149972
2024-05-29 11:53:06,151232
2024-05-29 11:53:08,164130
2024-05-29 11:53:10,166496
2024-05-29 11:53:12,167586
2024-05-29 11:53:14,175023
2024-05-29 11:53:16,219041
2024-05-29 11:53:18,219152
2024-05-29 11:53:20,219595
2024-05-29 11:53:22,222451
2024-05-29 11:53:24,223570
2024-05-29 11:53:26,241161
2024-05-29 11:53:28,244217
2024-05-29 11:53:30,277079
2024-05-29 11:53:32,277827
2024-05-29 11:53:34,278276
2024-05-29 11:53:36,284102
2024-05-29 11:53:38,285030
2024-05-29 11:53:40,297525
2024-05-29 11:53:42,297435
2024-05-29 11:53:44,304527
2024-05-29 11:53:46,303401
2024-05-29 11:53:48,360135
2024-05-29 11:53:50,360854
2024-05-29 11:53:52,361929
2024-05-29 11:53:54,374575
2024-05-29 11:53:56,374331
2024-05-29 11:53:58,381080
2024-05-29 11:54:00,390653
2024-05-29 11:54:02,424178
2024-05-29 11:54:04,424390
2024-05-29 11:54:06,440255
2024-05-29 11:54:08,443977
2024-05-29 11:54:10,446839
2024-05-29 11:54:12,453974
2024-05-29 11:54:14,455249
2024-05-29 11:54:16,457366
2024-05-29 11:54:18,490021
2024-05-29 11:54:20,502072
2024-05-29 11:54:22,504858
2024-05-29 11:54:24,516262
2024-05-29 11:54:26,520827
2024-05-29 11:54:28,522440
2024-05-29 11:54:30,528395
2024-05-29 11:54:32,559351
2024-05-29 11:54:34,560068
2024-05-29 11:54:36,565479
2024-05-29 11:54:38,587203
2024-05-29 11:54:40,594608
2024-05-29 11:54:42,597168
2024-05-29 11:54:44,597547
2024-05-29 11:54:46,586119
2024-05-29 11:54:48,587737
2024-05-29 11:54:50,628927
2024-05-29 11:54:52,636765
2024-05-29 11:54:54,661006
2024-05-29 11:54:56,663087
2024-05-29 11:54:58,663766
2024-05-29 11:55:00,664968
2024-05-29 11:55:02,671127
2024-05-29 11:55:04,672746
2024-05-29 11:55:06,657453
2024-05-29 11:55:08,651569
2024-05-29 11:55:10,687242
2024-05-29 11:55:12,688490
2024-05-29 11:55:14,693745
2024-05-29 11:55:16,694494
2024-05-29 11:55:18,694797
2024-05-29 11:55:20,719333
2024-05-29 11:55:22,719567
2024-05-29 11:55:24,700546
2024-05-29 11:55:26,699635
2024-05-29 11:55:28,692439
2024-05-29 11:55:30,692350
2024-05-29 11:55:32,693060
2024-05-29 11:55:34,718720
2024-05-29 11:55:36,726870
2024-05-29 11:55:38,706913
2024-05-29 11:55:40,706709
2024-05-29 11:55:42,706917
2024-05-29 11:55:44,709583
2024-05-29 11:55:46,706926
2024-05-29 11:55:48,713643
2024-05-29 11:55:50,741021
