"Time","adservice-6fd97c5f66-85vlz","adservice-84674696bd-dwm2q","cartservice-56464cbd57-mmb44","cartservice-d6c6b89c5-thm6z","checkoutservice-547698945f-kkq85","checkoutservice-57ff9b6f6f-chntd","currencyservice-6c79f6489c-xgcnj","currencyservice-758cffcb79-mmx4m","emailservice-6b8c7568f6-sq8lf","emailservice-7db8d45dbb-vjsbv","frontend-5b7bdb5976-5rlqp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-n5x68","loadgenerator-56c4cd7887-r425m","loadgenerator-675b588654-rrgkb","paymentservice-5c459c6b77-stvrx","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-58f898d544-ppwqq","recommendationservice-75cdbfb85f-tbx68","recommendationservice-b44f7c66f-bhqth","redis-cart-5bbccd47f-kr6wf","redis-cart-689d957757-xs562","shippingservice-6d78c69fb9-wrrsf","shippingservice-8f959b975-tfj6s"
2024-05-29 14:02:02,0.0205,0.00131,0.0115,0.00214,0.0000422,0.000352,0.000199,0.00452,0.00397,0.000363,0.0000585,0.000500,0.00581,0.00649,0.000495,0.000166,0.00277,0.000316,0.0000465,0.00390,0.000398,0.000419,0.00202,0.0000786,0.000387
2024-05-29 14:02:04,0.0206,0.00129,0.0115,0.00153,0.0000408,0.000343,0.000195,0.00456,0.00401,0.000352,0.0000570,0.000504,0.00581,0.00704,0.000486,0.000162,0.00279,0.000318,0.0000451,0.00393,0.000318,0.000410,0.00204,0.0000761,0.000391
2024-05-29 14:02:06,0.0208,0.00126,0.0116,0.00175,0.0000395,0.000347,0.000191,0.00460,0.00384,0.000341,0.0000447,0.000508,0.00581,0.00760,0.000250,0.000158,0.00281,0.000321,0.0000472,0.00396,0.000318,0.000395,0.00206,0.0000736,0.000394
2024-05-29 14:02:08,0.0210,0.00124,0.0117,0.00170,0.0000381,0.000349,0.000187,0.00464,0.00387,0.000265,0.0000506,0.000512,0.00581,0.00815,0.000245,0.000153,0.00283,0.000324,0.0000456,0.00400,0.000363,0.000379,0.00208,0.0000711,0.000397
2024-05-29 14:02:10,0.0208,0.00121,0.0118,0.00165,0.0000367,0.000352,0.000185,0.00577,0.00390,0.000300,0.0000492,0.00124,0.00581,0.00527,0.000240,0.000149,0.00286,0.000596,0.0000441,0.00386,0.000351,0.000364,0.00201,0.0000624,0.000400
2024-05-29 14:02:12,0.0209,0.00119,0.0119,0.00160,0.0000360,0.000355,0.000180,0.00582,0.00394,0.000290,0.0000478,0.00125,0.00581,0.00560,0.000235,0.000144,0.00288,0.000601,0.0000426,0.00386,0.000339,0.000349,0.00212,0.0000736,0.000403
2024-05-29 14:02:14,0.0211,0.00116,0.0145,0.00155,0.0000346,0.000358,0.000176,0.00587,0.00397,0.000280,0.0000465,0.00126,0.00581,0.00593,0.000230,0.000145,0.00276,0.000605,0.0000411,0.00416,0.000327,0.000334,0.00214,0.0000707,0.000407
2024-05-29 14:02:16,0.0212,0.00114,0.0146,0.00150,0.0000332,0.000361,0.000172,0.00592,0.00388,0.000270,0.0000451,0.00127,0.00581,0.00627,0.000225,0.000141,0.00278,0.000610,0.0000396,0.00419,0.000315,0.000319,0.00216,0.0000679,0.000457
2024-05-29 14:02:18,0.0214,0.00111,0.0147,0.00144,0.0000318,0.000363,0.000168,0.00597,0.00391,0.000260,0.0000437,0.00128,0.00581,0.00660,0.000221,0.000136,0.00280,0.000615,0.0000288,0.00423,0.000304,0.000304,0.00217,0.0000651,0.000460
2024-05-29 14:02:20,0.0216,0.00109,0.0148,0.00139,0.0000304,0.000403,0.000163,0.00601,0.00395,0.000249,0.0000424,0.00129,0.00581,0.00693,0.000191,0.000132,0.00282,0.00120,0.0000277,0.00426,0.000292,0.000289,0.00219,0.0000623,0.000464
2024-05-29 14:02:22,0.0223,0.00106,0.0149,0.00134,0.0000237,0.000406,0.000150,0.0111,0.00398,0.000239,0.0000410,0.00130,0.00581,0.00726,0.000191,0.000127,0.00284,0.00121,0.0000265,0.00429,0.000280,0.000212,0.00221,0.0000595,0.000468
2024-05-29 14:02:24,0.0225,0.00104,0.0151,0.00117,0.0000226,0.000409,0.000146,0.0112,0.00401,0.000160,0.0000396,0.00131,0.00581,0.00759,0.000210,0.000135,0.00296,0.00122,0.0000254,0.00433,0.000257,0.000263,0.00223,0.0000567,0.000471
2024-05-29 14:02:26,0.0226,0.00104,0.0171,0.00138,0.0000214,0.000412,0.000142,0.0113,0.00404,0.000160,0.0000369,0.00384,0.00581,0.00672,0.000205,0.000130,0.00298,0.00123,0.0000243,0.00436,0.000245,0.000247,0.00224,0.0000539,0.000475
2024-05-29 14:02:28,0.0228,0.00102,0.0172,0.00132,0.0000203,0.000415,0.000138,0.0114,0.00407,0.000188,0.0000355,0.00387,0.00581,0.00700,0.000200,0.000125,0.00300,0.00123,0.0000231,0.00425,0.000234,0.000232,0.00226,0.0000368,0.000478
2024-05-29 14:02:30,0.0230,0.000990,0.0173,0.00127,0.0000192,0.000487,0.000134,0.0114,0.00399,0.000179,0.0000342,0.00390,0.00581,0.00728,0.000195,0.000120,0.00302,0.00124,0.0000238,0.00425,0.000223,0.000216,0.00219,0.0000463,0.000482
2024-05-29 14:02:32,0.0232,0.000964,0.0175,0.00121,0.0000180,0.000491,0.000130,0.0115,0.00401,0.000170,0.0000329,0.00392,0.00581,0.00756,0.000190,0.000115,0.00305,0.00125,0.0000226,0.00425,0.000211,0.000200,0.00238,0.0000435,0.000647
2024-05-29 14:02:34,0.0233,0.000939,0.0176,0.00115,0.0000166,0.000494,0.000126,0.0116,0.00404,0.000161,0.0000315,0.00395,0.00581,0.00784,0.000185,0.000110,0.00307,0.00126,0.0000214,0.00547,0.000200,0.000184,0.00240,0.0000408,0.000652
2024-05-29 14:02:36,0.0235,0.000913,0.0177,0.00109,0.0000155,0.000498,0.000110,0.0117,0.00407,0.000152,0.0000302,0.00398,0.00581,0.00812,0.000180,0.000110,0.00309,0.00278,0.0000203,0.00551,0.000122,0.000168,0.00241,0.0000380,0.000656
2024-05-29 14:02:38,0.0229,0.000887,0.0178,0.00104,0.0000144,0.000502,0.000122,0.0114,0.00410,0.000142,0.0000289,0.00679,0.00581,0.00840,0.000178,0.000105,0.00311,0.00280,0.0000191,0.00555,0.000122,,0.00243,0.0000353,0.000661
2024-05-29 14:02:40,0.0250,0.000862,0.0191,0.000979,0.0000133,0.000505,0.000118,0.0214,0.00413,0.000140,0.0000276,0.00684,0.00581,0.00868,0.000173,0.0000995,0.00313,0.00282,0.0000179,0.00559,0.000155,,0.00245,0.0000326,0.000666
2024-05-29 14:02:42,0.0252,0.000866,0.0193,0.000881,0.0000122,0.000509,0.000114,0.0215,0.00409,0.000130,0.0000262,0.00689,0.00581,0.00896,0.000168,0.0000943,0.00330,0.00284,,0.00563,0.000144,,0.00247,0.0000298,0.000671
2024-05-29 14:02:44,0.0253,0.000839,0.0194,0.00108,,0.000632,0.000110,0.0217,0.00412,0.000121,0.0000310,0.00694,0.00581,0.00921,0.000163,0.0000890,0.00333,0.00286,,0.00568,0.000133,,0.00248,,0.000836
2024-05-29 14:02:46,0.0255,0.000813,0.0195,0.00101,,0.000636,0.000105,0.0218,0.00415,0.000111,0.0000294,0.00699,0.00581,0.00949,0.000158,0.0000838,0.00336,0.00288,,0.00572,0.000122,,0.00250,,0.000842
2024-05-29 14:02:48,0.0257,0.000786,0.0197,0.000933,,0.000657,0.000101,0.0220,0.00418,0.000101,0.0000279,0.00704,0.00581,0.00977,0.000153,0.0000843,0.00338,0.00290,,0.00576,0.000111,,0.00265,,0.000848
2024-05-29 14:02:50,0.0259,0.000760,0.0198,0.000859,,0.000657,0.0000971,0.0222,0.00421,0.0000912,0.0000263,0.00709,0.00581,0.0100,0.000156,0.0000788,0.00340,0.00292,,0.00558,0.0000996,,0.00266,,0.000879
2024-05-29 14:02:52,0.0261,0.000733,0.0200,0.000785,,0.000657,0.0000957,0.0223,0.00424,0.0000814,0.0000247,0.00997,0.00581,0.0103,0.000150,0.0000732,0.00342,0.00285,,0.00742,,,0.00268,,0.000879
2024-05-29 14:02:54,0.0262,0.000707,0.0201,0.000711,,0.000657,0.0000914,0.0225,0.00427,,0.0000231,0.0100,0.00581,0.0110,0.000145,0.0000677,0.00345,0.00471,,0.00747,,,0.00270,,0.000879
2024-05-29 14:02:56,0.0277,0.000468,0.0219,,,0.000787,0.0000872,0.0219,0.00421,,,0.0101,0.00581,0.0113,0.000140,0.0000621,0.00345,0.00475,,0.00752,,,0.00272,,0.000879
2024-05-29 14:02:58,0.0279,0.000468,0.0221,,,0.000787,0.0000829,0.0319,0.00424,,,0.0102,0.00581,0.0116,0.000134,0.0000566,0.00345,0.00478,,0.00758,,,0.00274,,0.00112
2024-05-29 14:03:00,0.0136,0.000558,0.0222,,,0.000787,0.0000786,0.0322,0.00427,,,0.0102,0.00581,0.0119,0.000129,,0.00333,0.00479,,0.00763,,,0.00276,,0.00112
2024-05-29 14:03:02,0.0140,0.000534,0.0224,,,0.000787,0.0000381,0.0324,0.00430,,,0.0103,0.00581,0.0122,0.000119,,0.00367,0.00479,,0.00768,,,0.00286,,0.00112
2024-05-29 14:03:04,0.0140,0.000510,0.0214,,,0.000682,0.0000381,0.0326,0.00431,,,0.0103,0.00581,0.0132,0.000114,,0.00198,0.00631,,0.00773,,,0.00286,,0.00112
2024-05-29 14:03:06,0.0140,0.000486,0.0214,,,0.000682,0.0000381,0.0329,0.00431,,,0.0151,0.00581,0.0135,0.000109,,0.00205,0.00635,,0.00778,,,0.00286,,0.00112
2024-05-29 14:03:08,0.0155,0.000462,0.0234,,,0.000682,0.0000482,0.0331,0.00168,,,0.0152,0.00581,0.0139,0.000103,,0.00205,0.00639,,0.00955,,,0.00282,,0.00107
2024-05-29 14:03:10,0.0155,0.000438,0.0234,,,0.000741,0.0000447,0.0333,0.00168,,,0.0153,0.00581,0.0142,0.0000984,,0.00205,0.00642,,0.00741,,,0.00282,,0.00107
2024-05-29 14:03:12,0.0155,0.000414,0.0234,,,0.000741,0.0000411,0.0335,0.00168,,,0.0153,0.00581,0.0145,0.0000933,,0.00205,0.00642,,0.00741,,,0.00295,,0.00136
2024-05-29 14:03:14,0.0155,0.000390,0.0234,,,0.000741,0.0000376,0.0420,0.00168,,,0.0153,0.00581,0.0148,0.0000882,,0.00205,0.00815,,0.00741,,,0.00295,,0.00136
2024-05-29 14:03:16,0.0155,0.000319,0.0232,,,0.000757,0.0000340,0.0422,0.00168,,,0.0157,0.00581,0.0151,0.0000916,,0.00205,0.00815,,0.00741,,,0.00295,,0.00136
2024-05-29 14:03:18,0.0129,0.000298,0.0232,,,0.000757,0.0000305,0.0425,0.00168,,,0.0197,0.00581,0.0170,0.0000860,,0.00205,0.00815,,0.00741,,,0.00295,,0.00136
2024-05-29 14:03:20,0.0129,0.000277,0.0232,,,0.000757,,0.0413,0.00168,,,0.0198,0.00581,0.0173,0.0000804,,0.00205,0.00840,,0.00741,,,0.00295,,0.00141
2024-05-29 14:03:22,0.0156,0.000256,0.0232,,,0.000757,,0.0413,0.00168,,,0.0199,0.00581,0.0177,0.0000748,,0.00205,0.00846,,0.00741,,,0.00295,,0.00141
2024-05-29 14:03:24,0.0156,0.000236,0.0225,,,0.000735,,0.0413,0.00174,,,0.0200,0.00581,0.0180,0.0000691,,0.00177,0.00851,,0.00718,,,0.00309,,0.00141
2024-05-29 14:03:26,0.0156,0.000215,0.0271,,,0.000730,,0.0478,0.00174,,,0.0200,0.00581,0.0184,0.0000635,,0.00177,0.00856,,0.00743,,,0.00313,,0.00141
2024-05-29 14:03:28,0.0156,,0.0271,,,0.00108,,0.0478,0.00174,,,0.0204,0.00581,0.0187,0.0000579,,0.00210,0.00856,,0.0107,,,0.00313,,0.00141
