"Time","default"
2024-05-29 14:02:02,0.00572
2024-05-29 14:02:04,0.00574
2024-05-29 14:02:06,0.00580
2024-05-29 14:02:08,0.00587
2024-05-29 14:02:10,0.00578
2024-05-29 14:02:12,0.00583
2024-05-29 14:02:14,0.00610
2024-05-29 14:02:16,0.00615
2024-05-29 14:02:18,0.00620
2024-05-29 14:02:20,0.00631
2024-05-29 14:02:22,0.00682
2024-05-29 14:02:24,0.00688
2024-05-29 14:02:26,0.00723
2024-05-29 14:02:28,0.00728
2024-05-29 14:02:30,0.00732
2024-05-29 14:02:32,0.00740
2024-05-29 14:02:34,0.00756
2024-05-29 14:02:36,0.00773
2024-05-29 14:02:38,0.00792
2024-05-29 14:02:40,0.00906
2024-05-29 14:02:42,0.00913
2024-05-29 14:02:44,0.00924
2024-05-29 14:02:46,0.00931
2024-05-29 14:02:48,0.00939
2024-05-29 14:02:50,0.00944
2024-05-29 14:02:52,0.00988
2024-05-29 14:02:54,0.0101
2024-05-29 14:02:56,0.0103
2024-05-29 14:02:58,0.0112
2024-05-29 14:03:00,0.0101
2024-05-29 14:03:02,0.0102
2024-05-29 14:03:04,0.0103
2024-05-29 14:03:06,0.0107
2024-05-29 14:03:08,0.0110
2024-05-29 14:03:10,0.0109
2024-05-29 14:03:12,0.0109
2024-05-29 14:03:14,0.0118
2024-05-29 14:03:16,0.0119
2024-05-29 14:03:18,0.0122
2024-05-29 14:03:20,0.0121
2024-05-29 14:03:22,0.0124
2024-05-29 14:03:24,0.0123
2024-05-29 14:03:26,0.0133
2024-05-29 14:03:28,0.0137
2024-05-29 14:03:30,0.0138
2024-05-29 14:03:32,0.0140
2024-05-29 14:03:34,0.0141
2024-05-29 14:03:36,0.0152
2024-05-29 14:03:38,0.0156
2024-05-29 14:03:40,0.0163
2024-05-29 14:03:42,0.0165
2024-05-29 14:03:44,0.0167
2024-05-29 14:03:46,0.0171
2024-05-29 14:03:48,0.0171
2024-05-29 14:03:50,0.0178
2024-05-29 14:03:52,0.0183
2024-05-29 14:03:54,0.0193
2024-05-29 14:03:56,0.0190
2024-05-29 14:03:58,0.0197
2024-05-29 14:04:00,0.0200
2024-05-29 14:04:02,0.0200
2024-05-29 14:04:04,0.0202
2024-05-29 14:04:06,0.0205
2024-05-29 14:04:08,0.0214
2024-05-29 14:04:10,0.0215
2024-05-29 14:04:12,0.0227
2024-05-29 14:04:14,0.0235
2024-05-29 14:04:16,0.0237
2024-05-29 14:04:18,0.0238
2024-05-29 14:04:20,0.0240
2024-05-29 14:04:22,0.0242
2024-05-29 14:04:24,0.0243
2024-05-29 14:04:26,0.0260
2024-05-29 14:04:28,0.0270
2024-05-29 14:04:30,0.0270
2024-05-29 14:04:32,0.0276
2024-05-29 14:04:34,0.0279
2024-05-29 14:04:36,0.0280
2024-05-29 14:04:38,0.0287
2024-05-29 14:04:40,0.0292
2024-05-29 14:04:42,0.0294
2024-05-29 14:04:44,0.0298
2024-05-29 14:04:46,0.0313
2024-05-29 14:04:48,0.0317
2024-05-29 14:04:50,0.0319
2024-05-29 14:04:52,0.0319
2024-05-29 14:04:54,0.0329
2024-05-29 14:04:56,0.0333
2024-05-29 14:04:58,0.0339
2024-05-29 14:05:00,0.0343
2024-05-29 14:05:02,0.0344
2024-05-29 14:05:04,0.0359
2024-05-29 14:05:06,0.0364
2024-05-29 14:05:08,0.0365
2024-05-29 14:05:10,0.0366
2024-05-29 14:05:12,0.0370
2024-05-29 14:05:14,0.0381
2024-05-29 14:05:16,0.0391
2024-05-29 14:05:18,0.0393
2024-05-29 14:05:20,0.0390
2024-05-29 14:05:22,0.0398
2024-05-29 14:05:24,0.0399
2024-05-29 14:05:26,0.0413
2024-05-29 14:05:28,0.0414
2024-05-29 14:05:30,0.0419
2024-05-29 14:05:32,0.0429
2024-05-29 14:05:34,0.0431
2024-05-29 14:05:36,0.0437
2024-05-29 14:05:38,0.0441
2024-05-29 14:05:40,0.0442
2024-05-29 14:05:42,0.0452
2024-05-29 14:05:44,0.0467
2024-05-29 14:05:46,0.0473
2024-05-29 14:05:48,0.0477
2024-05-29 14:05:50,0.0479
2024-05-29 14:05:52,0.0481
2024-05-29 14:05:54,0.0485
2024-05-29 14:05:56,0.0494
2024-05-29 14:05:58,0.0507
2024-05-29 14:06:00,0.0511
2024-05-29 14:06:02,0.0513
2024-05-29 14:06:04,0.0519
2024-05-29 14:06:06,0.0521
2024-05-29 14:06:08,0.0529
2024-05-29 14:06:10,0.0534
2024-05-29 14:06:12,0.0543
2024-05-29 14:06:14,0.0554
2024-05-29 14:06:16,0.0557
2024-05-29 14:06:18,0.0559
2024-05-29 14:06:20,0.0566
2024-05-29 14:06:22,0.0569
2024-05-29 14:06:24,0.0573
2024-05-29 14:06:26,0.0572
2024-05-29 14:06:28,0.0590
2024-05-29 14:06:30,0.0594
2024-05-29 14:06:32,0.0600
2024-05-29 14:06:34,0.0605
2024-05-29 14:06:36,0.0604
2024-05-29 14:06:38,0.0615
2024-05-29 14:06:40,0.0623
2024-05-29 14:06:42,0.0628
2024-05-29 14:06:44,0.0631
2024-05-29 14:06:46,0.0638
2024-05-29 14:06:48,0.0644
2024-05-29 14:06:50,0.0643
2024-05-29 14:06:52,0.0647
