"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:02:02,7545
2024-05-29 14:02:04,7569
2024-05-29 14:02:06,7594
2024-05-29 14:02:08,7618
2024-05-29 14:02:10,7626
2024-05-29 14:02:12,7651
2024-05-29 14:02:14,7675
2024-05-29 14:02:16,7540
2024-05-29 14:02:18,7563
2024-05-29 14:02:20,9505
2024-05-29 14:02:22,9524
2024-05-29 14:02:24,11481
2024-05-29 14:02:26,11534
2024-05-29 14:02:28,11587
2024-05-29 14:02:30,11557
2024-05-29 14:02:32,11530
2024-05-29 14:02:34,11470
2024-05-29 14:02:36,11521
2024-05-29 14:02:38,11560
2024-05-29 14:02:40,11601
2024-05-29 14:02:42,11506
2024-05-29 14:02:44,11442
2024-05-29 14:02:46,11404
2024-05-29 14:02:48,11452
2024-05-29 14:02:50,11500
2024-05-29 14:02:52,11549
2024-05-29 14:02:54,11597
2024-05-29 14:02:56,11691
2024-05-29 14:02:58,11687
2024-05-29 14:03:00,11549
2024-05-29 14:03:02,11441
2024-05-29 14:03:04,11440
2024-05-29 14:03:06,11453
2024-05-29 14:03:08,11440
2024-05-29 14:03:10,11440
2024-05-29 14:03:12,9308
2024-05-29 14:03:14,9233
2024-05-29 14:03:16,9222
2024-05-29 14:03:18,8886
2024-05-29 14:03:20,8788
2024-05-29 14:03:22,8788
2024-05-29 14:03:24,8910
2024-05-29 14:03:26,8648
2024-05-29 14:03:28,8603
2024-05-29 14:03:30,8603
2024-05-29 14:03:32,8603
2024-05-29 14:03:34,8603
2024-05-29 14:03:36,8538
2024-05-29 14:03:38,8484
2024-05-29 14:03:40,8726
2024-05-29 14:03:42,8672
2024-05-29 14:03:44,8719
2024-05-29 14:03:46,8665
2024-05-29 14:03:48,8610
2024-05-29 14:03:50,8556
2024-05-29 14:03:52,8421
2024-05-29 14:03:54,8253
2024-05-29 14:03:56,3853
2024-05-29 14:03:58,4012
2024-05-29 14:04:00,4013
2024-05-29 14:04:02,4013
2024-05-29 14:04:04,4012
2024-05-29 14:04:06,3921
2024-05-29 14:04:08,3922
2024-05-29 14:04:10,3860
2024-05-29 14:04:12,3907
2024-05-29 14:04:14,3997
2024-05-29 14:04:16,3998
2024-05-29 14:04:18,3997
2024-05-29 14:04:20,3997
2024-05-29 14:04:22,3926
2024-05-29 14:04:24,3797
2024-05-29 14:04:26,3878
2024-05-29 14:04:28,3877
2024-05-29 14:04:30,3973
2024-05-29 14:04:32,3974
2024-05-29 14:04:34,3973
2024-05-29 14:04:36,3973
2024-05-29 14:04:38,4067
2024-05-29 14:04:40,3848
2024-05-29 14:04:42,3848
2024-05-29 14:04:44,3904
2024-05-29 14:04:46,3918
2024-05-29 14:04:48,3977
2024-05-29 14:04:50,3977
2024-05-29 14:04:52,4064
2024-05-29 14:04:54,4063
2024-05-29 14:04:56,3883
2024-05-29 14:04:58,3804
2024-05-29 14:05:00,3804
2024-05-29 14:05:02,3804
2024-05-29 14:05:04,3941
2024-05-29 14:05:06,3941
2024-05-29 14:05:08,3941
2024-05-29 14:05:10,3941
2024-05-29 14:05:12,3856
2024-05-29 14:05:14,3853
2024-05-29 14:05:16,3963
2024-05-29 14:05:18,3963
2024-05-29 14:05:20,3963
2024-05-29 14:05:22,3963
2024-05-29 14:05:24,3963
2024-05-29 14:05:26,3868
2024-05-29 14:05:28,3868
2024-05-29 14:05:30,3809
2024-05-29 14:05:32,3964
2024-05-29 14:05:34,3964
2024-05-29 14:05:36,3964
2024-05-29 14:05:38,3875
2024-05-29 14:05:40,3875
2024-05-29 14:05:42,3875
2024-05-29 14:05:44,3875
2024-05-29 14:05:46,3950
2024-05-29 14:05:48,3949
2024-05-29 14:05:50,3949
2024-05-29 14:05:52,3949
2024-05-29 14:05:54,3885
2024-05-29 14:05:56,3965
2024-05-29 14:05:58,3839
2024-05-29 14:06:00,3839
2024-05-29 14:06:02,3839
2024-05-29 14:06:04,3949
2024-05-29 14:06:06,3949
2024-05-29 14:06:08,3949
2024-05-29 14:06:10,3967
2024-05-29 14:06:12,3871
2024-05-29 14:06:14,3871
2024-05-29 14:06:16,3871
2024-05-29 14:06:18,3871
2024-05-29 14:06:20,3985
2024-05-29 14:06:22,3910
2024-05-29 14:06:24,4003
2024-05-29 14:06:26,4003
2024-05-29 14:06:28,3933
2024-05-29 14:06:30,3872
2024-05-29 14:06:32,3872
2024-05-29 14:06:34,3872
2024-05-29 14:06:36,3872
2024-05-29 14:06:38,3914
2024-05-29 14:06:40,3980
2024-05-29 14:06:42,3896
2024-05-29 14:06:44,3896
2024-05-29 14:06:46,3896
2024-05-29 14:06:48,3896
2024-05-29 14:06:50,3956
2024-05-29 14:06:52,4022
