"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:02:02,0
2024-05-29 14:02:04,0
2024-05-29 14:02:06,0
2024-05-29 14:02:08,0
2024-05-29 14:02:10,0
2024-05-29 14:02:12,0
2024-05-29 14:02:14,0
2024-05-29 14:02:16,0
2024-05-29 14:02:18,0
2024-05-29 14:02:20,0
2024-05-29 14:02:22,0
2024-05-29 14:02:24,0
2024-05-29 14:02:26,0
2024-05-29 14:02:28,0
2024-05-29 14:02:30,0
2024-05-29 14:02:32,0
2024-05-29 14:02:34,0
2024-05-29 14:02:36,0
2024-05-29 14:02:38,0
2024-05-29 14:02:40,0
2024-05-29 14:02:42,0
2024-05-29 14:02:44,0
2024-05-29 14:02:46,0
2024-05-29 14:02:48,0
2024-05-29 14:02:50,0
2024-05-29 14:02:52,0
2024-05-29 14:02:54,0
2024-05-29 14:02:56,0
2024-05-29 14:02:58,0
2024-05-29 14:03:00,0
2024-05-29 14:03:02,0
2024-05-29 14:03:04,0
2024-05-29 14:03:06,0
2024-05-29 14:03:08,0
2024-05-29 14:03:10,0
2024-05-29 14:03:12,0
2024-05-29 14:03:14,0
2024-05-29 14:03:16,0
2024-05-29 14:03:18,0
2024-05-29 14:03:20,0
2024-05-29 14:03:22,0
2024-05-29 14:03:24,0
2024-05-29 14:03:26,0
2024-05-29 14:03:28,0
2024-05-29 14:03:30,0
2024-05-29 14:03:32,0
2024-05-29 14:03:34,0
2024-05-29 14:03:36,0
2024-05-29 14:03:38,0
2024-05-29 14:03:40,0
2024-05-29 14:03:42,0
2024-05-29 14:03:44,0
2024-05-29 14:03:46,0
2024-05-29 14:03:48,0
2024-05-29 14:03:50,0
2024-05-29 14:03:52,0
2024-05-29 14:03:54,0
2024-05-29 14:03:56,0
2024-05-29 14:03:58,0
2024-05-29 14:04:00,0
2024-05-29 14:04:02,0
2024-05-29 14:04:04,0
2024-05-29 14:04:06,0
2024-05-29 14:04:08,0
2024-05-29 14:04:10,0
2024-05-29 14:04:12,0
2024-05-29 14:04:14,0
2024-05-29 14:04:16,0
2024-05-29 14:04:18,0
2024-05-29 14:04:20,0
2024-05-29 14:04:22,0
2024-05-29 14:04:24,0
2024-05-29 14:04:26,0
2024-05-29 14:04:28,0
2024-05-29 14:04:30,0
2024-05-29 14:04:32,0
2024-05-29 14:04:34,0
2024-05-29 14:04:36,0
2024-05-29 14:04:38,0
2024-05-29 14:04:40,0
2024-05-29 14:04:42,0
2024-05-29 14:04:44,0
2024-05-29 14:04:46,0
2024-05-29 14:04:48,0
2024-05-29 14:04:50,0
2024-05-29 14:04:52,0
2024-05-29 14:04:54,0
2024-05-29 14:04:56,0
2024-05-29 14:04:58,0
2024-05-29 14:05:00,0
2024-05-29 14:05:02,0
2024-05-29 14:05:04,0
2024-05-29 14:05:06,0
2024-05-29 14:05:08,0
2024-05-29 14:05:10,0
2024-05-29 14:05:12,0
2024-05-29 14:05:14,0
2024-05-29 14:05:16,0
2024-05-29 14:05:18,0
2024-05-29 14:05:20,0
2024-05-29 14:05:22,0
2024-05-29 14:05:24,0
2024-05-29 14:05:26,0
2024-05-29 14:05:28,0
2024-05-29 14:05:30,0
2024-05-29 14:05:32,0
2024-05-29 14:05:34,0
2024-05-29 14:05:36,0
2024-05-29 14:05:38,0
2024-05-29 14:05:40,0
2024-05-29 14:05:42,0
2024-05-29 14:05:44,0
2024-05-29 14:05:46,0
2024-05-29 14:05:48,0
2024-05-29 14:05:50,0
2024-05-29 14:05:52,0
2024-05-29 14:05:54,0
2024-05-29 14:05:56,0
2024-05-29 14:05:58,0
2024-05-29 14:06:00,0
2024-05-29 14:06:02,0
2024-05-29 14:06:04,0
2024-05-29 14:06:06,0
2024-05-29 14:06:08,0
2024-05-29 14:06:10,0
2024-05-29 14:06:12,0
2024-05-29 14:06:14,0
2024-05-29 14:06:16,0
2024-05-29 14:06:18,0
2024-05-29 14:06:20,0
2024-05-29 14:06:22,0
2024-05-29 14:06:24,0
2024-05-29 14:06:26,0
2024-05-29 14:06:28,0
2024-05-29 14:06:30,0
2024-05-29 14:06:32,0
2024-05-29 14:06:34,0
2024-05-29 14:06:36,0
2024-05-29 14:06:38,142
2024-05-29 14:06:40,286
2024-05-29 14:06:42,288
2024-05-29 14:06:44,291
2024-05-29 14:06:46,294
2024-05-29 14:06:48,297
2024-05-29 14:06:50,291
2024-05-29 14:06:52,293
