"Time","adservice-6fd97c5f66-85vlz","adservice-84674696bd-dwm2q","cartservice-56464cbd57-mmb44","cartservice-d6c6b89c5-thm6z","checkoutservice-547698945f-kkq85","checkoutservice-57ff9b6f6f-chntd","currencyservice-6c79f6489c-xgcnj","currencyservice-758cffcb79-mmx4m","emailservice-6b8c7568f6-sq8lf","emailservice-7db8d45dbb-vjsbv","frontend-5b7bdb5976-5rlqp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-n5x68","loadgenerator-56c4cd7887-r425m","loadgenerator-675b588654-rrgkb","paymentservice-5c459c6b77-stvrx","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-58f898d544-ppwqq","recommendationservice-75cdbfb85f-tbx68","recommendationservice-b44f7c66f-bhqth","redis-cart-5bbccd47f-kr6wf","redis-cart-689d957757-xs562","shippingservice-6d78c69fb9-wrrsf","shippingservice-8f959b975-tfj6s"
2024-05-29 14:02:02,111,41.7,113,38.8,20.7,121,38.7,122,244,88.0,29.0,233,489,4.38,9.16,36.0,117,113,23.1,242,89.0,17.1,72.3,45.5,150
2024-05-29 14:02:04,112,40.9,114,37.7,19.9,122,42.4,123,246,85.8,28.3,457,489,4.38,9.16,35.0,118,114,22.4,244,86.6,16.6,72.9,44.2,159
2024-05-29 14:02:06,113,39.0,115,36.7,19.2,123,41.3,124,249,83.7,27.5,461,489,176,9.16,34.0,119,115,21.7,246,84.5,16.1,73.5,42.9,160
2024-05-29 14:02:08,124,42.2,146,35.7,18.4,121,40.2,125,251,81.5,27.3,465,489,187,9.79,34.5,120,116,20.9,248,82.4,15.6,74.1,41.6,161
2024-05-29 14:02:10,125,41.3,147,34.6,17.7,122,39.2,188,253,79.3,26.6,468,489,199,9.61,33.5,121,117,20.2,250,80.4,15.1,74.7,44.9,163
2024-05-29 14:02:12,126,40.4,149,33.6,16.9,123,38.1,190,245,77.1,25.8,472,489,211,9.43,32.5,121,118,20.2,252,78.3,14.6,75.3,43.5,164
2024-05-29 14:02:14,127,39.5,150,36.4,16.1,124,37.0,191,245,75.0,25.1,476,489,222,9.25,31.5,124,119,19.4,329,76.2,14.2,89.3,42.0,165
2024-05-29 14:02:16,128,38.6,151,35.3,15.4,124,36.0,193,255,72.8,24.3,480,489,234,9.08,30.4,125,115,18.7,331,74.1,13.7,90.1,40.6,166
2024-05-29 14:02:18,129,37.7,152,34.1,10.0,125,34.9,194,257,67.7,23.5,483,489,246,8.90,29.4,126,846,17.9,334,72.1,14.0,90.8,39.1,168
2024-05-29 14:02:20,152,36.8,153,33.0,9.51,126,37.3,196,259,65.6,25.3,3991,489,257,8.72,24.7,127,853,17.2,337,73.2,13.5,91.5,37.7,198
