"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:02:02,2608
2024-05-29 14:02:04,2844
2024-05-29 14:02:06,3018
2024-05-29 14:02:08,3077
2024-05-29 14:02:10,3159
2024-05-29 14:02:12,3165
2024-05-29 14:02:14,3272
2024-05-29 14:02:16,3291
2024-05-29 14:02:18,4030
2024-05-29 14:02:20,7612
2024-05-29 14:02:22,7649
2024-05-29 14:02:24,7674
2024-05-29 14:02:26,8866
2024-05-29 14:02:28,9007
2024-05-29 14:02:30,9077
2024-05-29 14:02:32,9161
2024-05-29 14:02:34,9293
2024-05-29 14:02:36,16525
2024-05-29 14:02:38,19246
2024-05-29 14:02:40,19399
2024-05-29 14:02:42,19968
2024-05-29 14:02:44,20528
2024-05-29 14:02:46,21242
2024-05-29 14:02:48,21524
2024-05-29 14:02:50,23387
2024-05-29 14:02:52,23576
2024-05-29 14:02:54,23546
2024-05-29 14:02:56,35642
2024-05-29 14:02:58,36026
2024-05-29 14:03:00,37238
2024-05-29 14:03:02,37992
2024-05-29 14:03:04,38530
2024-05-29 14:03:06,39108
2024-05-29 14:03:08,42697
2024-05-29 14:03:10,43018
2024-05-29 14:03:12,43373
2024-05-29 14:03:14,60526
2024-05-29 14:03:16,61036
2024-05-29 14:03:18,62248
2024-05-29 14:03:20,62598
2024-05-29 14:03:22,67797
2024-05-29 14:03:24,68757
2024-05-29 14:03:26,69640
2024-05-29 14:03:28,70295
2024-05-29 14:03:30,88032
2024-05-29 14:03:32,88785
2024-05-29 14:03:34,90277
2024-05-29 14:03:36,90629
2024-05-29 14:03:38,92032
2024-05-29 14:03:40,98638
2024-05-29 14:03:42,99569
2024-05-29 14:03:44,100591
2024-05-29 14:03:46,101927
2024-05-29 14:03:48,100303
2024-05-29 14:03:50,127154
2024-05-29 14:03:52,128082
2024-05-29 14:03:54,133542
2024-05-29 14:03:56,134861
2024-05-29 14:03:58,137808
2024-05-29 14:04:00,138752
2024-05-29 14:04:02,140139
2024-05-29 14:04:04,141124
2024-05-29 14:04:06,143451
2024-05-29 14:04:08,171715
2024-05-29 14:04:10,173500
2024-05-29 14:04:12,174715
2024-05-29 14:04:14,175911
2024-05-29 14:04:16,178220
2024-05-29 14:04:18,180412
2024-05-29 14:04:20,182935
2024-05-29 14:04:22,189194
2024-05-29 14:04:24,190592
2024-05-29 14:04:26,217815
2024-05-29 14:04:28,220039
2024-05-29 14:04:30,221586
2024-05-29 14:04:32,224862
2024-05-29 14:04:34,230135
2024-05-29 14:04:36,231709
2024-05-29 14:04:38,233342
2024-05-29 14:04:40,258417
2024-05-29 14:04:42,260902
2024-05-29 14:04:44,265244
2024-05-29 14:04:46,267999
2024-05-29 14:04:48,270359
2024-05-29 14:04:50,277971
2024-05-29 14:04:52,280038
2024-05-29 14:04:54,302086
2024-05-29 14:04:56,304447
2024-05-29 14:04:58,307015
2024-05-29 14:05:00,310784
2024-05-29 14:05:02,316953
2024-05-29 14:05:04,321249
2024-05-29 14:05:06,323544
2024-05-29 14:05:08,350166
2024-05-29 14:05:10,353062
2024-05-29 14:05:12,355814
2024-05-29 14:05:14,359016
2024-05-29 14:05:16,361716
2024-05-29 14:05:18,371806
2024-05-29 14:05:20,374309
2024-05-29 14:05:22,398068
2024-05-29 14:05:24,401371
2024-05-29 14:05:26,404319
2024-05-29 14:05:28,408184
2024-05-29 14:05:30,410780
2024-05-29 14:05:32,420537
2024-05-29 14:05:34,443590
2024-05-29 14:05:36,446939
2024-05-29 14:05:38,450585
2024-05-29 14:05:40,453435
2024-05-29 14:05:42,457765
2024-05-29 14:05:44,461554
2024-05-29 14:05:46,464841
2024-05-29 14:05:48,465815
2024-05-29 14:05:50,477068
2024-05-29 14:05:52,510391
2024-05-29 14:05:54,513975
2024-05-29 14:05:56,518231
2024-05-29 14:05:58,522013
2024-05-29 14:06:00,525148
2024-05-29 14:06:02,531354
2024-05-29 14:06:04,535060
2024-05-29 14:06:06,557796
2024-05-29 14:06:08,570248
2024-05-29 14:06:10,575402
2024-05-29 14:06:12,579559
2024-05-29 14:06:14,583943
2024-05-29 14:06:16,588867
2024-05-29 14:06:18,595871
2024-05-29 14:06:20,621639
2024-05-29 14:06:22,626746
2024-05-29 14:06:24,631533
2024-05-29 14:06:26,637182
2024-05-29 14:06:28,641717
2024-05-29 14:06:30,646173
2024-05-29 14:06:32,669747
2024-05-29 14:06:34,674562
2024-05-29 14:06:36,679710
2024-05-29 14:06:38,684532
2024-05-29 14:06:40,688595
2024-05-29 14:06:42,694583
2024-05-29 14:06:44,700084
2024-05-29 14:06:46,710013
2024-05-29 14:06:48,697292
2024-05-29 14:06:50,739341
2024-05-29 14:06:52,744751
