"Time","adservice-6b4979fd86-tnxvz","adservice-6fd97c5f66-85vlz","cartservice-56464cbd57-mmb44","cartservice-88fdf8db5-2wr56","checkoutservice-57ff9b6f6f-chntd","checkoutservice-77bcb7ccc7-f46zn","currencyservice-758cffcb79-mmx4m","currencyservice-84f9ccd67-rjh2b","emailservice-6b8c7568f6-sq8lf","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-r425m","loadgenerator-64d987f766-wkpjd","paymentservice-584488cb95-kxs6t","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-68f4dbd84b-6jhgk","recommendationservice-564896d75f-4djl7","recommendationservice-75cdbfb85f-tbx68","redis-cart-689d957757-xs562","redis-cart-7fc544db85-mk6rh","shippingservice-79d4cfc86c-8h4z5","shippingservice-8f959b975-tfj6s"
2024-05-29 14:35:02,0.0214,0.00203,0.00165,0.00765,0.000169,0.000201,0.000409,0.00424,0.00112,0.00343,0.000377,0.000189,0.00375,0.00564,0.00268,0.000447,0.000167,0.000194,0.00327,0.00145,0.00178,0.000734,0.000204,0.000279
2024-05-29 14:35:04,0.0197,0.00202,0.00163,0.00783,0.000167,0.000205,0.000405,0.00434,0.00111,0.00352,0.000430,0.000187,0.00372,0.00600,0.00275,0.000444,0.000166,0.000199,0.00335,0.00145,0.00176,0.000751,0.000209,0.000276
2024-05-29 14:35:06,0.0182,0.00200,0.00162,0.00801,0.000166,0.000209,0.000401,0.00444,0.00110,0.00290,0.000439,0.000193,0.00370,0.00636,0.00282,0.000440,0.000164,0.000203,0.00343,0.00144,0.00175,0.000768,0.000214,0.000274
2024-05-29 14:35:08,0.0187,0.00198,0.00160,0.00820,0.000155,0.000214,0.000390,0.00447,0.00109,0.00298,0.000449,0.000191,0.00367,0.00672,0.00289,0.000436,0.000166,0.000207,0.00351,0.00143,0.00166,0.000776,0.000218,0.000271
2024-05-29 14:35:10,0.0191,0.00197,0.00159,0.00838,0.000155,0.000218,0.000386,0.00457,0.00108,0.00305,0.000458,0.000189,0.00364,0.00708,0.00296,0.000432,0.000164,0.000212,0.00359,0.00141,0.00172,0.000793,0.000223,0.000269
2024-05-29 14:35:12,0.0195,0.00195,0.00158,0.00856,0.000161,0.000222,0.000383,0.00467,0.00107,0.00312,0.000467,0.000188,0.00361,0.00744,0.00317,0.000416,0.000162,0.000434,0.00367,0.00140,0.00170,0.000809,0.000227,0.000266
2024-05-29 14:35:14,0.0199,0.00184,0.00156,0.00874,0.000159,0.000489,0.000379,0.00476,0.00101,0.00319,0.000477,0.000186,0.00359,0.00607,0.00325,0.000412,0.000161,0.000443,0.00354,0.00139,0.00169,0.000826,0.000207,0.000257
2024-05-29 14:35:16,0.0203,0.00183,0.00155,0.0114,0.000157,0.000498,0.000376,0.00486,0.00101,0.00327,0.000486,0.000185,0.00356,0.00558,0.00332,0.000409,0.000159,0.000452,0.00361,0.00138,0.00167,0.000842,0.000349,0.000257
2024-05-29 14:35:18,0.0186,0.00182,0.00153,0.0116,0.000156,0.000508,0.000372,0.00496,0.00104,0.00334,0.000907,0.000183,0.00353,0.00583,0.00340,0.000405,0.000158,0.000461,0.00368,0.00137,0.00165,0.000859,0.000355,0.000266
2024-05-29 14:35:20,0.0190,0.00180,0.00156,0.0118,0.000154,0.000517,0.000369,0.00506,0.00103,0.00341,0.000924,0.000181,0.00353,0.00607,0.00347,0.000401,0.000161,0.000470,0.00376,0.00135,0.00164,0.000875,0.000362,0.000264
