"Time","default"
2024-05-29 14:35:02,0.00529
2024-05-29 14:35:04,0.00522
2024-05-29 14:35:06,0.00511
2024-05-29 14:35:08,0.00519
2024-05-29 14:35:10,0.00530
2024-05-29 14:35:12,0.00543
2024-05-29 14:35:14,0.00538
2024-05-29 14:35:16,0.00562
2024-05-29 14:35:18,0.00558
2024-05-29 14:35:20,0.00568
2024-05-29 14:35:22,0.00592
2024-05-29 14:35:24,0.00599
2024-05-29 14:35:26,0.00610
2024-05-29 14:35:28,0.00624
2024-05-29 14:35:30,0.00620
2024-05-29 14:35:32,0.00665
2024-05-29 14:35:34,0.00707
2024-05-29 14:35:36,0.00717
2024-05-29 14:35:38,0.00728
2024-05-29 14:35:40,0.00746
2024-05-29 14:35:42,0.00759
2024-05-29 14:35:44,0.00799
2024-05-29 14:35:46,0.00819
2024-05-29 14:35:48,0.00829
2024-05-29 14:35:50,0.00841
2024-05-29 14:35:52,0.00862
2024-05-29 14:35:54,0.00873
2024-05-29 14:35:56,0.00902
2024-05-29 14:35:58,0.00958
2024-05-29 14:36:00,0.0101
2024-05-29 14:36:02,0.0103
2024-05-29 14:36:04,0.0104
2024-05-29 14:36:06,0.0105
2024-05-29 14:36:08,0.0109
2024-05-29 14:36:10,0.0110
2024-05-29 14:36:12,0.0116
2024-05-29 14:36:14,0.0122
2024-05-29 14:36:16,0.0128
2024-05-29 14:36:18,0.0130
2024-05-29 14:36:20,0.0131
2024-05-29 14:36:22,0.0132
2024-05-29 14:36:24,0.0137
2024-05-29 14:36:26,0.0143
2024-05-29 14:36:28,0.0147
2024-05-29 14:36:30,0.0151
2024-05-29 14:36:32,0.0153
2024-05-29 14:36:34,0.0155
2024-05-29 14:36:36,0.0156
2024-05-29 14:36:38,0.0161
2024-05-29 14:36:40,0.0167
2024-05-29 14:36:42,0.0169
2024-05-29 14:36:44,0.0175
2024-05-29 14:36:46,0.0181
2024-05-29 14:36:48,0.0185
2024-05-29 14:36:50,0.0188
2024-05-29 14:36:52,0.0190
2024-05-29 14:36:54,0.0193
2024-05-29 14:36:56,0.0194
2024-05-29 14:36:58,0.0205
2024-05-29 14:37:00,0.0207
2024-05-29 14:37:02,0.0210
2024-05-29 14:37:04,0.0210
2024-05-29 14:37:06,0.0221
2024-05-29 14:37:08,0.0224
2024-05-29 14:37:10,0.0229
2024-05-29 14:37:12,0.0232
2024-05-29 14:37:14,0.0238
2024-05-29 14:37:16,0.0241
2024-05-29 14:37:18,0.0249
2024-05-29 14:37:20,0.0252
2024-05-29 14:37:22,0.0255
2024-05-29 14:37:24,0.0260
2024-05-29 14:37:26,0.0261
2024-05-29 14:37:28,0.0269
2024-05-29 14:37:30,0.0277
2024-05-29 14:37:32,0.0279
2024-05-29 14:37:34,0.0280
2024-05-29 14:37:36,0.0280
2024-05-29 14:37:38,0.0290
2024-05-29 14:37:40,0.0300
2024-05-29 14:37:42,0.0305
2024-05-29 14:37:44,0.0305
2024-05-29 14:37:46,0.0309
2024-05-29 14:37:48,0.0319
2024-05-29 14:37:50,0.0325
2024-05-29 14:37:52,0.0327
2024-05-29 14:37:54,0.0329
2024-05-29 14:37:56,0.0337
2024-05-29 14:37:58,0.0338
2024-05-29 14:38:00,0.0353
2024-05-29 14:38:02,0.0359
2024-05-29 14:38:04,0.0361
2024-05-29 14:38:06,0.0366
2024-05-29 14:38:08,0.0370
2024-05-29 14:38:10,0.0381
2024-05-29 14:38:12,0.0386
2024-05-29 14:38:14,0.0396
2024-05-29 14:38:16,0.0401
2024-05-29 14:38:18,0.0404
2024-05-29 14:38:20,0.0412
2024-05-29 14:38:22,0.0419
2024-05-29 14:38:24,0.0423
2024-05-29 14:38:26,0.0430
2024-05-29 14:38:28,0.0433
2024-05-29 14:38:30,0.0438
2024-05-29 14:38:32,0.0441
2024-05-29 14:38:34,0.0442
2024-05-29 14:38:36,0.0444
2024-05-29 14:38:38,0.0453
2024-05-29 14:38:40,0.0455
2024-05-29 14:38:42,0.0455
2024-05-29 14:38:44,0.0471
2024-05-29 14:38:46,0.0474
2024-05-29 14:38:48,0.0478
2024-05-29 14:38:50,0.0480
2024-05-29 14:38:52,0.0489
2024-05-29 14:38:54,0.0494
2024-05-29 14:38:56,0.0499
2024-05-29 14:38:58,0.0505
2024-05-29 14:39:00,0.0510
2024-05-29 14:39:02,0.0516
2024-05-29 14:39:04,0.0521
2024-05-29 14:39:06,0.0521
2024-05-29 14:39:08,0.0530
2024-05-29 14:39:10,0.0537
2024-05-29 14:39:12,0.0544
2024-05-29 14:39:14,0.0553
2024-05-29 14:39:16,0.0561
2024-05-29 14:39:18,0.0566
2024-05-29 14:39:20,0.0569
2024-05-29 14:39:22,0.0572
2024-05-29 14:39:24,0.0577
2024-05-29 14:39:26,0.0583
2024-05-29 14:39:28,0.0591
2024-05-29 14:39:30,0.0600
2024-05-29 14:39:32,0.0608
2024-05-29 14:39:34,0.0611
2024-05-29 14:39:36,0.0620
2024-05-29 14:39:38,0.0624
2024-05-29 14:39:40,0.0625
2024-05-29 14:39:42,0.0629
2024-05-29 14:39:44,0.0633
2024-05-29 14:39:46,0.0654
2024-05-29 14:39:48,0.0665
2024-05-29 14:39:50,0.0669
2024-05-29 14:39:52,0.0666
2024-05-29 14:39:54,0.0668
2024-05-29 14:39:56,0.0684
2024-05-29 14:39:58,0.0690
2024-05-29 14:40:00,0.0700
2024-05-29 14:40:02,0.0707
2024-05-29 14:40:04,0.0713
2024-05-29 14:40:06,0.0716
2024-05-29 14:40:08,0.0722
2024-05-29 14:40:10,0.0726
2024-05-29 14:40:12,0.0735
2024-05-29 14:40:14,0.0735
