"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:35:02,212710
2024-05-29 14:35:04,194530
2024-05-29 14:35:06,200140
2024-05-29 14:35:08,201188
2024-05-29 14:35:10,206025
2024-05-29 14:35:12,215638
2024-05-29 14:35:14,224086
2024-05-29 14:35:16,206647
2024-05-29 14:35:18,214809
2024-05-29 14:35:20,219390
2024-05-29 14:35:22,220787
2024-05-29 14:35:24,224744
2024-05-29 14:35:26,228577
2024-05-29 14:35:28,233076
2024-05-29 14:35:30,237712
2024-05-29 14:35:32,213278
2024-05-29 14:35:34,217201
2024-05-29 14:35:36,218483
2024-05-29 14:35:38,221824
2024-05-29 14:35:40,225489
2024-05-29 14:35:42,228725
2024-05-29 14:35:44,231052
2024-05-29 14:35:46,234891
2024-05-29 14:35:48,238730
2024-05-29 14:35:50,214780
2024-05-29 14:35:52,216381
2024-05-29 14:35:54,217880
2024-05-29 14:35:56,221159
2024-05-29 14:35:58,223787
2024-05-29 14:36:00,226374
2024-05-29 14:36:02,229674
2024-05-29 14:36:04,232974
2024-05-29 14:36:06,215372
2024-05-29 14:36:08,217937
2024-05-29 14:36:10,219667
2024-05-29 14:36:12,222264
2024-05-29 14:36:14,222894
2024-05-29 14:36:16,225892
2024-05-29 14:36:18,228835
2024-05-29 14:36:20,214531
2024-05-29 14:36:22,216862
2024-05-29 14:36:24,218302
2024-05-29 14:36:26,220454
2024-05-29 14:36:28,221323
2024-05-29 14:36:30,223984
2024-05-29 14:36:32,226423
2024-05-29 14:36:34,227927
2024-05-29 14:36:36,220550
2024-05-29 14:36:38,212934
2024-05-29 14:36:40,215235
2024-05-29 14:36:42,217634
2024-05-29 14:36:44,219066
2024-05-29 14:36:46,220272
2024-05-29 14:36:48,221782
2024-05-29 14:36:50,222481
2024-05-29 14:36:52,224853
2024-05-29 14:36:54,211928
2024-05-29 14:36:56,214063
2024-05-29 14:36:58,215644
2024-05-29 14:37:00,217826
2024-05-29 14:37:02,219780
2024-05-29 14:37:04,212381
2024-05-29 14:37:06,212890
2024-05-29 14:37:08,214983
2024-05-29 14:37:10,216445
2024-05-29 14:37:12,218256
2024-05-29 14:37:14,219724
2024-05-29 14:37:16,220409
2024-05-29 14:37:18,211033
2024-05-29 14:37:20,212289
2024-05-29 14:37:22,214240
2024-05-29 14:37:24,216186
2024-05-29 14:37:26,217895
2024-05-29 14:37:28,219845
2024-05-29 14:37:30,210243
2024-05-29 14:37:32,211893
2024-05-29 14:37:34,213742
2024-05-29 14:37:36,215137
2024-05-29 14:37:38,216886
2024-05-29 14:37:40,218737
2024-05-29 14:37:42,220499
2024-05-29 14:37:44,222187
2024-05-29 14:37:46,211427
2024-05-29 14:37:48,213037
2024-05-29 14:37:50,214746
2024-05-29 14:37:52,216355
2024-05-29 14:37:54,218091
2024-05-29 14:37:56,218744
2024-05-29 14:37:58,220399
2024-05-29 14:38:00,211178
2024-05-29 14:38:02,212032
2024-05-29 14:38:04,213069
2024-05-29 14:38:06,214699
2024-05-29 14:38:08,216206
2024-05-29 14:38:10,217810
2024-05-29 14:38:12,218053
2024-05-29 14:38:14,219584
2024-05-29 14:38:16,214576
2024-05-29 14:38:18,210805
2024-05-29 14:38:20,212336
2024-05-29 14:38:22,213867
2024-05-29 14:38:24,215393
2024-05-29 14:38:26,216312
2024-05-29 14:38:28,217225
2024-05-29 14:38:30,218383
2024-05-29 14:38:32,219186
2024-05-29 14:38:34,219052
2024-05-29 14:38:36,218483
2024-05-29 14:38:38,213425
2024-05-29 14:38:40,212918
2024-05-29 14:38:42,194133
2024-05-29 14:38:44,193804
2024-05-29 14:38:46,193590
2024-05-29 14:38:48,193592
2024-05-29 14:38:50,30972
2024-05-29 14:38:52,30721
2024-05-29 14:38:54,30747
2024-05-29 14:38:56,30848
2024-05-29 14:38:58,31144
2024-05-29 14:39:00,30958
2024-05-29 14:39:02,31194
2024-05-29 14:39:04,31045
2024-05-29 14:39:06,30891
2024-05-29 14:39:08,30855
2024-05-29 14:39:10,30102
2024-05-29 14:39:12,30483
2024-05-29 14:39:14,30474
2024-05-29 14:39:16,30096
2024-05-29 14:39:18,28294
2024-05-29 14:39:20,28551
2024-05-29 14:39:22,28677
2024-05-29 14:39:24,28785
2024-05-29 14:39:26,28742
2024-05-29 14:39:28,27686
2024-05-29 14:39:30,27397
2024-05-29 14:39:32,27397
2024-05-29 14:39:34,27237
2024-05-29 14:39:36,27407
2024-05-29 14:39:38,27124
2024-05-29 14:39:40,26996
2024-05-29 14:39:42,26872
2024-05-29 14:39:44,26974
2024-05-29 14:39:46,24637
2024-05-29 14:39:48,24912
2024-05-29 14:39:50,25171
2024-05-29 14:39:52,24748
2024-05-29 14:39:54,21363
2024-05-29 14:39:56,20055
2024-05-29 14:39:58,20008
2024-05-29 14:40:00,19590
2024-05-29 14:40:02,16333
2024-05-29 14:40:04,12557
2024-05-29 14:40:06,9383
2024-05-29 14:40:08,9383
2024-05-29 14:40:10,9371
2024-05-29 14:40:12,9210
2024-05-29 14:40:14,9210
2024-05-29 14:40:16,7967
2024-05-29 14:40:18,6785
2024-05-29 14:40:20,6785
2024-05-29 14:40:22,6627
2024-05-29 14:40:24,6627
2024-05-29 14:40:26,6482
2024-05-29 14:40:28,6468
2024-05-29 14:40:30,6293
2024-05-29 14:40:32,6040
