"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:35:02,0
2024-05-29 14:35:04,0
2024-05-29 14:35:06,0
2024-05-29 14:35:08,0
2024-05-29 14:35:10,0
2024-05-29 14:35:12,0
2024-05-29 14:35:14,0
2024-05-29 14:35:16,0
2024-05-29 14:35:18,0
2024-05-29 14:35:20,0
2024-05-29 14:35:22,0
2024-05-29 14:35:24,0
2024-05-29 14:35:26,0
2024-05-29 14:35:28,0
2024-05-29 14:35:30,0
2024-05-29 14:35:32,0
2024-05-29 14:35:34,0
2024-05-29 14:35:36,0
2024-05-29 14:35:38,0
2024-05-29 14:35:40,0
2024-05-29 14:35:42,0
2024-05-29 14:35:44,0
2024-05-29 14:35:46,0
2024-05-29 14:35:48,0
2024-05-29 14:35:50,0
2024-05-29 14:35:52,0
2024-05-29 14:35:54,0
2024-05-29 14:35:56,0
2024-05-29 14:35:58,0
2024-05-29 14:36:00,0
2024-05-29 14:36:02,0
2024-05-29 14:36:04,0
2024-05-29 14:36:06,0
2024-05-29 14:36:08,0
2024-05-29 14:36:10,0
2024-05-29 14:36:12,0
2024-05-29 14:36:14,0
2024-05-29 14:36:16,0
2024-05-29 14:36:18,0
2024-05-29 14:36:20,0
2024-05-29 14:36:22,0
2024-05-29 14:36:24,0
2024-05-29 14:36:26,0
2024-05-29 14:36:28,0
2024-05-29 14:36:30,0
2024-05-29 14:36:32,0
2024-05-29 14:36:34,0
2024-05-29 14:36:36,0
2024-05-29 14:36:38,0
2024-05-29 14:36:40,0
2024-05-29 14:36:42,0
2024-05-29 14:36:44,0
2024-05-29 14:36:46,0
2024-05-29 14:36:48,0
2024-05-29 14:36:50,0
2024-05-29 14:36:52,0
2024-05-29 14:36:54,0
2024-05-29 14:36:56,0
2024-05-29 14:36:58,0
2024-05-29 14:37:00,0
2024-05-29 14:37:02,0
2024-05-29 14:37:04,0
2024-05-29 14:37:06,0
2024-05-29 14:37:08,0
2024-05-29 14:37:10,0
2024-05-29 14:37:12,0
2024-05-29 14:37:14,0
2024-05-29 14:37:16,0
2024-05-29 14:37:18,0
2024-05-29 14:37:20,0
2024-05-29 14:37:22,0
2024-05-29 14:37:24,0
2024-05-29 14:37:26,0
2024-05-29 14:37:28,0
2024-05-29 14:37:30,0
2024-05-29 14:37:32,0
2024-05-29 14:37:34,0
2024-05-29 14:37:36,0
2024-05-29 14:37:38,0
2024-05-29 14:37:40,0
2024-05-29 14:37:42,0
2024-05-29 14:37:44,0
2024-05-29 14:37:46,0
2024-05-29 14:37:48,0
2024-05-29 14:37:50,0
2024-05-29 14:37:52,0
2024-05-29 14:37:54,0
2024-05-29 14:37:56,0
2024-05-29 14:37:58,0
2024-05-29 14:38:00,0
2024-05-29 14:38:02,0
2024-05-29 14:38:04,0
2024-05-29 14:38:06,0
2024-05-29 14:38:08,0
2024-05-29 14:38:10,0
2024-05-29 14:38:12,0
2024-05-29 14:38:14,0
2024-05-29 14:38:16,0
2024-05-29 14:38:18,0
2024-05-29 14:38:20,0
2024-05-29 14:38:22,0
2024-05-29 14:38:24,0
2024-05-29 14:38:26,0
2024-05-29 14:38:28,0
2024-05-29 14:38:30,0
2024-05-29 14:38:32,0
2024-05-29 14:38:34,0
2024-05-29 14:38:36,0
2024-05-29 14:38:38,0
2024-05-29 14:38:40,0
2024-05-29 14:38:42,0
2024-05-29 14:38:44,68.3
2024-05-29 14:38:46,68.8
2024-05-29 14:38:48,69.2
2024-05-29 14:38:50,69.7
2024-05-29 14:38:52,139
2024-05-29 14:38:54,140
2024-05-29 14:38:56,141
2024-05-29 14:38:58,139
2024-05-29 14:39:00,139
2024-05-29 14:39:02,140
2024-05-29 14:39:04,142
2024-05-29 14:39:06,143
2024-05-29 14:39:08,139
2024-05-29 14:39:10,140
2024-05-29 14:39:12,141
2024-05-29 14:39:14,138
2024-05-29 14:39:16,139
2024-05-29 14:39:18,140
2024-05-29 14:39:20,138
2024-05-29 14:39:22,139
2024-05-29 14:39:24,138
2024-05-29 14:39:26,139
2024-05-29 14:39:28,139
2024-05-29 14:39:30,141
2024-05-29 14:39:32,142
2024-05-29 14:39:34,142
2024-05-29 14:39:36,144
2024-05-29 14:39:38,137
2024-05-29 14:39:40,138
2024-05-29 14:39:42,139
2024-05-29 14:39:44,140
2024-05-29 14:39:46,141
2024-05-29 14:39:48,142
2024-05-29 14:39:50,140
2024-05-29 14:39:52,141
2024-05-29 14:39:54,138
2024-05-29 14:39:56,139
2024-05-29 14:39:58,140
2024-05-29 14:40:00,141
2024-05-29 14:40:02,142
2024-05-29 14:40:04,139
2024-05-29 14:40:06,140
2024-05-29 14:40:08,141
2024-05-29 14:40:10,140
2024-05-29 14:40:12,139
2024-05-29 14:40:14,137
2024-05-29 14:40:16,138
2024-05-29 14:40:18,139
2024-05-29 14:40:20,140
2024-05-29 14:40:22,141
2024-05-29 14:40:24,142
2024-05-29 14:40:26,208
2024-05-29 14:40:28,209
2024-05-29 14:40:30,211
2024-05-29 14:40:32,276
