"Time","adservice-6b4979fd86-tnxvz","adservice-6fd97c5f66-85vlz","cartservice-56464cbd57-mmb44","cartservice-88fdf8db5-2wr56","checkoutservice-57ff9b6f6f-chntd","checkoutservice-77bcb7ccc7-f46zn","currencyservice-758cffcb79-mmx4m","currencyservice-84f9ccd67-rjh2b","emailservice-6b8c7568f6-sq8lf","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-7b6c847994-j72tz","loadgenerator-56c4cd7887-r425m","loadgenerator-64d987f766-wkpjd","paymentservice-584488cb95-kxs6t","paymentservice-fdb87db6c-n75xr","productcatalogservice-579f77468b-lf649","productcatalogservice-68f4dbd84b-6jhgk","recommendationservice-564896d75f-4djl7","recommendationservice-75cdbfb85f-tbx68","redis-cart-689d957757-xs562","redis-cart-7fc544db85-mk6rh","shippingservice-79d4cfc86c-8h4z5","shippingservice-8f959b975-tfj6s"
2024-05-29 14:35:02,52.6,104,110,42.8,104,55.5,105,49.4,252,73.7,113,747,4666,176,35.1,120,103,44.5,86.4,225,47.8,39.7,53.6,157
2024-05-29 14:35:04,53.9,103,109,42.8,103,56.9,104,50.5,250,75.5,116,740,4821,186,36.0,119,102,74.5,88.5,234,47.4,40.6,54.9,155
2024-05-29 14:35:06,55.1,102,108,42.8,102,58.2,104,51.7,248,77.2,119,733,4785,196,36.8,118,101,76.3,90.6,231,46.9,39.7,56.3,154
2024-05-29 14:35:08,56.3,101,107,68.2,101,59.5,103,52.9,246,79.0,121,727,4748,259,37.6,117,99.8,78.0,112,229,46.5,40.6,57.6,153
2024-05-29 14:35:10,51.7,100,105,69.7,100,60.8,102,54.1,241,80.7,124,720,4712,271,46.5,116,98.9,79.8,115,227,46.0,41.5,73.6,152
2024-05-29 14:35:12,53.4,99.6,104,71.2,100,62.1,101,55.2,238,97.2,127,714,4675,284,47.5,115,98.0,81.6,117,225,43.3,42.5,75.3,150
2024-05-29 14:35:14,54.5,98.8,103,72.7,99.4,63.4,99.8,56.4,236,99.3,130,707,4639,296,48.6,114,92.0,83.3,120,223,45.1,43.4,76.9,149
2024-05-29 14:35:16,55.6,102,102,74.2,98.4,64.7,98.8,107,234,101,859,701,4602,309,49.6,113,96.1,85.1,122,220,44.6,44.3,78.5,147
2024-05-29 14:35:18,56.7,101,101,75.7,97.4,58.8,97.9,109,232,103,876,694,4566,321,50.6,112,95.1,86.9,125,218,44.2,45.2,80.2,146
2024-05-29 14:35:20,57.8,101,100,146,96.5,324,97.0,111,230,106,894,687,4529,333,51.6,111,94.2,426,127,215,43.8,55.6,81.8,145
2024-05-29 14:35:22,59.0,99.7,99.4,149,95.5,331,97.0,113,229,108,912,681,4469,293,52.6,110,93.3,434,130,213,43.3,56.8,83.5,143
2024-05-29 14:35:24,60.1,98.9,98.5,152,94.5,337,96.1,116,227,110,929,674,4433,523,53.7,109,92.4,443,120,211,42.9,57.9,145,142
2024-05-29 14:35:26,61.2,96.7,97.4,155,88.8,344,95.1,118,225,102,947,667,4396,541,50.0,102,91.5,451,249,208,42.4,59.0,148,142
2024-05-29 14:35:28,71.9,99.7,96.4,157,92.4,350,94.2,238,223,152,2397,629,4360,559,50.0,107,90.5,460,254,206,42.0,60.1,151,141
2024-05-29 14:35:30,73.2,98.9,95.5,160,91.4,356,93.2,242,221,155,2441,653,4324,577,97.6,106,89.6,468,258,204,40.5,61.2,153,139
2024-05-29 14:35:32,74.5,98.0,94.5,163,90.4,363,92.3,247,219,158,2485,646,4287,595,99.4,105,88.7,477,263,202,42.1,62.3,156,138
2024-05-29 14:35:34,75.8,97.2,93.6,313,89.5,369,94.3,251,216,161,2529,640,4251,613,101,104,90.3,448,268,203,41.7,63.5,231,136
2024-05-29 14:35:36,77.1,96.3,92.7,318,88.5,865,93.4,255,214,164,2573,633,4263,631,103,103,89.4,448,272,201,41.2,98.4,235,135
2024-05-29 14:35:38,78.4,95.5,91.7,324,87.5,880,92.4,260,216,166,2617,626,4226,649,105,102,88.4,1632,277,199,40.8,100,240,133
2024-05-29 14:35:40,87.6,94.6,90.8,329,86.5,894,91.4,444,214,169,2661,620,4190,957,106,101,87.5,1659,282,197,40.3,102,244,132
2024-05-29 14:35:42,89.0,93.8,93.5,334,85.5,909,90.4,452,211,172,2705,613,4153,983,108,99.9,86.6,1687,286,194,39.9,104,248,128
2024-05-29 14:35:44,90.4,94.1,92.6,340,79.3,924,89.4,459,209,162,5969,607,4116,1009,110,98.9,85.6,1714,474,192,39.4,105,252,126
2024-05-29 14:35:46,91.8,93.3,91.6,536,83.1,938,88.5,466,207,162,6064,600,4111,1035,103,99.2,84.7,1742,482,190,39.5,134,256,125
2024-05-29 14:35:48,93.3,92.4,90.6,544,82.1,953,87.5,474,205,246,6160,593,4074,1061,192,98.2,78.6,2640,489,188,39.1,137,260,124
2024-05-29 14:35:50,94.7,91.5,89.6,552,81.2,968,80.2,481,203,250,6255,587,4037,1087,195,97.2,82.0,2681,497,185,38.6,139,244,122
2024-05-29 14:35:52,96.1,90.7,88.7,561,80.2,1685,83.7,665,201,254,6351,580,4000,1113,197,96.2,81.1,2722,505,183,38.2,141,244,121
2024-05-29 14:35:54,119,89.8,87.7,569,79.2,1710,82.7,674,198,258,6446,574,3963,1457,200,95.1,80.1,2764,512,181,37.7,143,456,120
2024-05-29 14:35:56,121,88.9,86.7,577,78.2,1735,81.8,684,192,262,6542,569,3926,1491,203,94.1,79.2,2805,520,179,37.2,145,463,119
2024-05-29 14:35:58,122,88.7,83.1,586,77.2,1760,80.8,694,190,304,6637,562,3889,1524,206,92.1,78.3,2846,528,177,35.5,147,470,118
2024-05-29 14:36:00,124,87.8,82.2,561,76.3,1785,79.8,704,187,308,12101,556,3852,1557,260,91.1,77.3,2887,759,175,35.1,150,477,116
2024-05-29 14:36:02,126,87.0,81.3,561,75.5,1811,78.9,714,185,312,12273,549,3840,1590,263,90.1,76.4,4514,770,172,34.6,152,484,115
2024-05-29 14:36:04,128,86.1,80.3,561,74.5,1836,77.9,724,183,317,12444,543,3803,1624,267,89.1,75.4,4577,781,170,34.2,142,490,114
2024-05-29 14:36:06,129,85.2,79.4,1060,73.5,2891,77.0,1099,182,321,12616,536,3766,1657,271,88.0,76.9,4641,791,168,33.7,248,497,112
2024-05-29 14:36:08,131,84.3,78.4,1074,72.5,2930,74.0,1113,180,325,12788,529,3729,2135,274,87.0,75.9,4704,802,167,33.3,251,504,111
2024-05-29 14:36:10,133,83.5,77.5,1088,71.5,2969,73.1,1128,178,330,12959,523,3692,2177,278,86.0,75.0,4768,813,165,32.8,255,474,102
2024-05-29 14:36:12,125,82.3,79.1,1103,70.5,3008,72.2,1143,176,334,13131,482,3655,2219,282,85.0,74.0,4831,824,162,32.4,258,819,102
2024-05-29 14:36:14,163,81.5,78.1,1117,67.8,3047,71.2,1158,174,430,13303,482,3616,2261,286,84.0,73.0,4895,835,160,32.0,261,829,107
2024-05-29 14:36:16,165,80.6,77.1,1131,66.9,3086,70.3,1173,171,436,19258,506,3579,2303,272,83.2,72.1,4958,1161,158,31.5,265,840,106
2024-05-29 14:36:18,167,79.7,76.2,1145,65.9,3125,69.4,1188,169,441,19503,499,3542,2346,272,82.2,71.1,4717,1176,156,31.1,323,851,105
2024-05-29 14:36:20,169,78.9,75.2,1097,65.0,3883,68.4,1203,167,447,19748,492,3505,2689,420,81.2,70.1,7148,1190,153,30.7,327,862,103
2024-05-29 14:36:22,171,78.0,74.2,1097,64.0,3931,67.5,1660,158,452,19994,486,3468,2737,425,80.2,69.1,7237,1205,151,30.2,331,873,102
2024-05-29 14:36:24,174,77.1,73.2,1639,63.0,3979,67.7,1680,167,458,20239,479,3431,2784,431,79.2,64.8,7326,1220,145,29.8,335,884,100
2024-05-29 14:36:26,176,76.2,72.3,1659,62.1,4027,66.7,1700,165,463,20484,472,3396,2831,436,78.7,63.8,7416,1235,142,30.4,339,895,98.9
2024-05-29 14:36:28,178,75.2,69.4,1678,61.1,4075,65.8,1721,163,533,20730,466,3359,2879,441,77.7,62.9,7505,1250,140,29.9,343,905,97.5
2024-05-29 14:36:30,170,74.3,68.5,1698,62.2,4123,64.8,1741,160,539,20975,459,3321,2926,446,76.7,62.0,7594,1265,138,29.5,347,1179,96.7
2024-05-29 14:36:32,221,73.5,67.5,1718,61.2,4171,63.9,1761,158,545,21220,453,3284,2973,532,75.7,61.1,9371,1210,136,29.0,351,1193,95.3
2024-05-29 14:36:34,224,72.6,66.6,1737,60.2,4218,62.9,1782,156,551,20150,446,3247,3472,539,74.7,60.4,9480,1598,134,28.5,436,1207,93.9
2024-05-29 14:36:36,226,71.7,65.6,2064,59.2,4266,62.0,1802,154,558,29177,439,3071,3526,545,73.7,59.4,9589,1617,132,28.1,441,1220,92.5
2024-05-29 14:36:38,229,70.9,64.7,2088,58.2,5715,62.8,1731,152,564,29506,433,3226,3581,551,72.7,58.5,9698,1635,129,27.8,446,1234,91.1
2024-05-29 14:36:40,231,70.0,63.8,2111,57.2,5779,61.8,2343,146,570,29836,426,3188,3635,557,71.6,57.6,9807,1654,115,27.3,451,1248,91.1
2024-05-29 14:36:42,234,70.8,63.8,2134,56.3,5842,60.9,2369,144,577,30166,419,3150,3689,563,70.6,56.7,9916,1672,124,26.8,456,1471,89.7
2024-05-29 14:36:44,236,69.9,67.4,2157,55.3,5905,59.9,2395,142,551,30495,402,3113,3744,569,69.6,55.7,10025,1892,122,26.4,461,1487,88.3
2024-05-29 14:36:46,267,69.0,66.3,2180,54.6,5969,58.9,2420,139,551,30825,396,3075,3798,665,68.6,49.3,10134,1913,120,25.9,466,1503,86.8
2024-05-29 14:36:48,270,68.1,65.3,2203,53.6,6032,57.9,2446,137,718,31155,389,3037,4342,672,67.6,53.0,12566,1933,117,25.4,471,1520,85.4
2024-05-29 14:36:50,272,67.2,64.2,2629,52.6,6096,53.3,2472,135,725,31485,383,2999,4403,679,66.6,52.1,12700,1954,115,24.0,570,1536,84.0
2024-05-29 14:36:52,275,66.3,63.2,2656,51.6,6159,52.4,2498,133,733,39192,376,2962,4465,686,65.6,51.2,12833,1974,113,23.5,576,1552,74.8
2024-05-29 14:36:54,278,65.4,62.2,2684,50.6,6223,51.5,2524,131,741,39598,342,2924,4526,693,67.7,50.3,12967,2206,111,23.1,582,1569,80.2
2024-05-29 14:36:56,281,64.5,61.1,2711,46.6,7828,50.6,2428,129,748,40005,342,2897,4587,701,66.6,49.4,13101,2229,109,22.7,588,1832,78.8
2024-05-29 14:36:58,284,64.5,57.2,2738,45.6,7907,49.7,2428,131,756,40411,368,2859,4648,708,65.6,48.5,13234,2252,107,22.2,594,1851,77.4
2024-05-29 14:37:00,312,63.6,56.2,2766,44.7,7986,48.8,3185,128,763,40817,361,2821,5136,715,64.5,47.6,13368,2275,98.3,21.8,675,1869,76.0
2024-05-29 14:37:02,315,62.7,55.2,2793,43.8,8065,47.8,3217,126,771,41223,354,2783,5203,843,63.4,46.7,13501,2297,106,21.3,681,1888,74.6
2024-05-29 14:37:04,319,61.8,54.2,2820,42.8,8144,49.5,3249,124,899,41629,348,2745,5270,851,62.4,45.9,13023,2320,104,20.9,688,1907,73.2
2024-05-29 14:37:06,322,60.9,53.2,2715,41.9,8223,48.6,3280,122,908,42036,341,2708,5337,859,61.3,45.0,16456,2343,101,20.2,695,1926,71.8
2024-05-29 14:37:08,325,60.0,52.3,2715,41.0,8302,47.6,3312,120,917,42442,334,2670,5403,867,59.8,44.0,16616,2366,99.2,19.8,702,1945,70.3
2024-05-29 14:37:10,359,61.2,53.2,3550,41.2,8381,46.6,3343,104,926,52308,327,2675,5470,876,58.8,43.1,16775,2763,97.0,19.3,709,1963,62.8
2024-05-29 14:37:12,363,60.3,52.1,3583,40.3,9865,45.7,3375,114,934,52804,321,2637,5537,884,57.7,42.2,16935,2790,94.8,18.9,715,2283,68.9
2024-05-29 14:37:14,366,59.4,51.1,3617,39.3,9957,44.7,3407,112,943,53300,304,2598,5604,892,56.7,41.3,17095,2816,92.5,18.5,819,2305,67.4
2024-05-29 14:37:16,369,58.4,50.1,3650,38.3,10049,43.7,3281,110,952,53796,298,2560,6307,1003,55.6,40.7,17254,2842,90.3,18.0,827,2326,66.0
2024-05-29 14:37:18,373,57.5,49.1,3684,37.4,10141,37.0,4112,108,961,54292,291,2521,6381,1013,54.6,39.8,17414,2869,90.1,17.6,835,2348,64.5
2024-05-29 14:37:20,376,56.6,48.1,3717,36.4,10233,41.1,4150,106,1080,54788,285,2483,6456,1022,53.5,38.9,17574,3174,87.8,18.4,842,2369,63.1
