"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-05-29 14:35:02,7563
2024-05-29 14:35:04,7763
2024-05-29 14:35:06,7732
2024-05-29 14:35:08,7800
2024-05-29 14:35:10,7788
2024-05-29 14:35:12,7778
2024-05-29 14:35:14,7750
2024-05-29 14:35:16,8510
2024-05-29 14:35:18,8494
2024-05-29 14:35:20,9164
2024-05-29 14:35:22,9095
2024-05-29 14:35:24,9364
2024-05-29 14:35:26,9477
2024-05-29 14:35:28,11081
2024-05-29 14:35:30,11200
2024-05-29 14:35:32,11245
2024-05-29 14:35:34,11480
2024-05-29 14:35:36,12091
2024-05-29 14:35:38,13326
2024-05-29 14:35:40,13880
2024-05-29 14:35:42,13967
2024-05-29 14:35:44,17439
2024-05-29 14:35:46,17824
2024-05-29 14:35:48,19001
2024-05-29 14:35:50,19138
2024-05-29 14:35:52,20177
2024-05-29 14:35:54,20898
2024-05-29 14:35:56,21080
2024-05-29 14:35:58,21296
2024-05-29 14:36:00,27089
2024-05-29 14:36:02,28955
2024-05-29 14:36:04,29221
2024-05-29 14:36:06,31499
2024-05-29 14:36:08,32255
2024-05-29 14:36:10,32531
2024-05-29 14:36:12,33150
2024-05-29 14:36:14,33613
2024-05-29 14:36:16,40050
2024-05-29 14:36:18,40201
2024-05-29 14:36:20,44075
2024-05-29 14:36:22,44942
2024-05-29 14:36:24,45925
2024-05-29 14:36:26,46385
2024-05-29 14:36:28,46904
2024-05-29 14:36:30,47616
2024-05-29 14:36:32,49826
2024-05-29 14:36:34,49897
2024-05-29 14:36:36,59340
2024-05-29 14:36:38,61425
2024-05-29 14:36:40,62597
2024-05-29 14:36:42,63421
2024-05-29 14:36:44,64189
2024-05-29 14:36:46,64901
2024-05-29 14:36:48,68486
2024-05-29 14:36:50,69619
2024-05-29 14:36:52,77634
2024-05-29 14:36:54,78550
2024-05-29 14:36:56,80954
2024-05-29 14:36:58,81705
2024-05-29 14:37:00,83699
2024-05-29 14:37:02,84583
2024-05-29 14:37:04,84850
2024-05-29 14:37:06,88773
2024-05-29 14:37:08,89528
2024-05-29 14:37:10,101014
2024-05-29 14:37:12,103621
2024-05-29 14:37:14,104605
2024-05-29 14:37:16,106086
2024-05-29 14:37:18,107789
2024-05-29 14:37:20,109098
2024-05-29 14:37:22,113215
2024-05-29 14:37:24,114930
2024-05-29 14:37:26,115886
2024-05-29 14:37:28,127096
2024-05-29 14:37:30,127736
2024-05-29 14:37:32,133686
2024-05-29 14:37:34,137121
2024-05-29 14:37:36,138179
2024-05-29 14:37:38,139310
2024-05-29 14:37:40,141070
2024-05-29 14:37:42,142755
2024-05-29 14:37:44,154917
2024-05-29 14:37:46,156241
2024-05-29 14:37:48,159918
2024-05-29 14:37:50,164859
2024-05-29 14:37:52,166939
2024-05-29 14:37:54,169033
2024-05-29 14:37:56,170693
2024-05-29 14:37:58,171498
2024-05-29 14:38:00,188155
2024-05-29 14:38:02,189538
2024-05-29 14:38:04,193091
2024-05-29 14:38:06,195955
2024-05-29 14:38:08,197618
2024-05-29 14:38:10,199507
2024-05-29 14:38:12,200859
2024-05-29 14:38:14,203349
2024-05-29 14:38:16,216214
2024-05-29 14:38:18,223562
2024-05-29 14:38:20,226160
2024-05-29 14:38:22,230051
2024-05-29 14:38:24,233067
2024-05-29 14:38:26,242653
2024-05-29 14:38:28,244427
2024-05-29 14:38:30,246386
2024-05-29 14:38:32,248073
2024-05-29 14:38:34,248456
2024-05-29 14:38:36,249545
2024-05-29 14:38:38,267291
2024-05-29 14:38:40,271342
2024-05-29 14:38:42,275865
2024-05-29 14:38:44,278225
2024-05-29 14:38:46,280458
2024-05-29 14:38:48,282324
2024-05-29 14:38:50,284683
2024-05-29 14:38:52,286530
2024-05-29 14:38:54,289160
2024-05-29 14:38:56,312547
2024-05-29 14:38:58,315088
2024-05-29 14:39:00,318295
2024-05-29 14:39:02,320497
2024-05-29 14:39:04,323415
2024-05-29 14:39:06,326055
2024-05-29 14:39:08,337987
2024-05-29 14:39:10,341736
2024-05-29 14:39:12,349775
2024-05-29 14:39:14,352395
2024-05-29 14:39:16,354880
2024-05-29 14:39:18,357517
2024-05-29 14:39:20,360476
2024-05-29 14:39:22,367227
2024-05-29 14:39:24,369762
2024-05-29 14:39:26,364471
2024-05-29 14:39:28,388683
2024-05-29 14:39:30,393583
2024-05-29 14:39:32,396775
2024-05-29 14:39:34,400891
2024-05-29 14:39:36,406488
2024-05-29 14:39:38,410906
2024-05-29 14:39:40,414123
2024-05-29 14:39:42,428115
2024-05-29 14:39:44,431100
2024-05-29 14:39:46,433482
2024-05-29 14:39:48,439575
2024-05-29 14:39:50,443109
2024-05-29 14:39:52,446502
2024-05-29 14:39:54,445574
2024-05-29 14:39:56,466981
2024-05-29 14:39:58,471509
2024-05-29 14:40:00,475302
2024-05-29 14:40:02,479659
2024-05-29 14:40:04,483999
2024-05-29 14:40:06,487111
2024-05-29 14:40:08,498912
2024-05-29 14:40:10,502458
2024-05-29 14:40:12,506643
2024-05-29 14:40:14,513757
2024-05-29 14:40:16,517734
2024-05-29 14:40:18,519289
2024-05-29 14:40:20,533307
2024-05-29 14:40:22,535610
2024-05-29 14:40:24,542262
2024-05-29 14:40:26,543878
2024-05-29 14:40:28,552328
2024-05-29 14:40:30,555630
2024-05-29 14:40:32,561134
