"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-6n4d7","loadgenerator-7c6fb64488-87k5l","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-12 11:05:02,0.00158,0.00184,0.000297,0.000493,0.00148,0.000232,0.00702,0.00177,0.000451,0.000289,0.00171,0.00234,0.000445
2024-06-12 11:05:04,0.00158,0.00190,0.000297,0.000487,0.00148,0.000232,0.00781,0.00182,0.000429,0.000317,0.00183,0.00234,0.000445
2024-06-12 11:05:06,0.00158,0.00190,0.000277,0.000487,0.00148,0.000232,0.00861,0.00180,0.000432,0.000317,0.00183,0.00234,0.000457
2024-06-12 11:05:08,0.00158,0.00190,0.000287,0.000487,0.00143,0.000232,0.00940,0.00179,0.000457,0.000317,0.00183,0.00234,0.000457
2024-06-12 11:05:10,0.00158,0.00190,0.000287,0.000487,0.00150,0.000232,0.00593,0.00178,0.000457,0.000317,0.00183,0.00240,0.000457
2024-06-12 11:05:12,0.00167,0.00185,0.000287,0.000487,0.00150,0.000232,0.00639,0.00176,0.000457,0.000317,0.00177,0.00239,0.000456
2024-06-12 11:05:14,0.00167,0.00292,0.000287,0.000487,0.00150,0.000236,0.00685,0.00175,0.000457,0.000317,0.00183,0.00239,0.000456
2024-06-12 11:05:16,0.00167,0.00292,0.000287,0.00463,0.00150,0.000236,0.00730,0.00174,0.000457,0.000984,0.00183,0.00239,0.000456
2024-06-12 11:05:18,0.00167,0.00292,0.000512,0.00480,0.00150,0.00229,0.00776,0.00173,0.000457,0.000984,0.00183,0.00239,0.000456
2024-06-12 11:05:20,0.00167,0.00292,0.000512,0.00480,0.00150,0.00229,0.00822,0.00178,0.000457,0.00102,0.00177,0.00239,0.000456
2024-06-12 11:05:22,0.00167,0.00292,0.000512,0.00480,0.00156,0.00229,0.00868,0.00177,0.000993,0.00102,0.00284,0.00239,0.000615
2024-06-12 11:05:24,0.00167,0.00292,0.000509,0.00480,0.00157,0.00229,0.00770,0.00176,0.000993,0.00102,0.00284,0.00239,0.000594
2024-06-12 11:05:26,0.00167,0.00451,0.000512,0.00480,0.00157,0.00242,0.00809,0.00174,0.000993,0.00102,0.00284,0.00247,0.000598
2024-06-12 11:05:28,0.00162,0.00451,0.000530,0.00480,0.00157,0.00242,0.00848,0.00173,0.000993,0.00102,0.00284,0.00247,0.000618
2024-06-12 11:05:30,0.00205,0.00465,0.000854,0.00509,0.00157,0.00242,0.00886,0.00172,0.000993,0.00102,0.00288,0.00247,0.000618
2024-06-12 11:05:32,0.00205,0.00465,0.000854,0.00491,0.00157,0.00242,0.00925,0.00170,0.000993,0.00262,0.00288,0.00247,0.000618
2024-06-12 11:05:34,0.00205,0.00465,0.000854,0.00488,0.00157,0.00742,0.00963,0.00171,0.000993,0.00262,0.00288,0.00247,0.000618
2024-06-12 11:05:36,0.00205,0.00465,0.000854,0.0170,0.00157,0.00742,0.0100,0.00176,0.000993,0.00262,0.00288,0.00259,0.000618
2024-06-12 11:05:38,0.00205,0.00749,0.000854,0.0170,0.00153,0.00742,0.00879,0.00174,0.000961,0.00262,0.00279,0.00259,0.000963
2024-06-12 11:05:40,0.00205,0.00749,0.000854,0.0170,0.00152,0.00742,0.0110,0.00173,0.000961,0.00262,0.00277,0.00260,0.000963
2024-06-12 11:05:42,0.00207,0.00749,0.000854,0.0170,0.00179,0.00782,0.0114,0.00172,0.00241,0.00262,0.00448,0.00260,0.000963
