"Time","default"
2024-06-12 11:05:02,0.00166
2024-06-12 11:05:04,0.00175
2024-06-12 11:05:06,0.00181
2024-06-12 11:05:08,0.00188
2024-06-12 11:05:10,0.00160
2024-06-12 11:05:12,0.00163
2024-06-12 11:05:14,0.00176
2024-06-12 11:05:16,0.00220
2024-06-12 11:05:18,0.00244
2024-06-12 11:05:20,0.00248
2024-06-12 11:05:22,0.00267
2024-06-12 11:05:24,0.00259
2024-06-12 11:05:26,0.00277
2024-06-12 11:05:28,0.00280
2024-06-12 11:05:30,0.00293
2024-06-12 11:05:32,0.00308
2024-06-12 11:05:34,0.00353
2024-06-12 11:05:36,0.00458
2024-06-12 11:05:38,0.00473
2024-06-12 11:05:40,0.00491
2024-06-12 11:05:42,0.00527
2024-06-12 11:05:44,0.00540
2024-06-12 11:05:46,0.00587
2024-06-12 11:05:48,0.00654
2024-06-12 11:05:50,0.00657
2024-06-12 11:05:52,0.00683
2024-06-12 11:05:54,0.00686
2024-06-12 11:05:56,0.00781
2024-06-12 11:05:58,0.00816
2024-06-12 11:06:00,0.00907
2024-06-12 11:06:02,0.00922
2024-06-12 11:06:04,0.00929
2024-06-12 11:06:06,0.00934
2024-06-12 11:06:08,0.00964
2024-06-12 11:06:10,0.0102
2024-06-12 11:06:12,0.0106
2024-06-12 11:06:14,0.0119
2024-06-12 11:06:16,0.0125
2024-06-12 11:06:18,0.0126
2024-06-12 11:06:20,0.0127
2024-06-12 11:06:22,0.0128
2024-06-12 11:06:24,0.0141
2024-06-12 11:06:26,0.0141
2024-06-12 11:06:28,0.0144
2024-06-12 11:06:30,0.0150
2024-06-12 11:06:32,0.0160
2024-06-12 11:06:34,0.0163
2024-06-12 11:06:36,0.0163
2024-06-12 11:06:38,0.0168
2024-06-12 11:06:40,0.0177
2024-06-12 11:06:42,0.0181
2024-06-12 11:06:44,0.0190
2024-06-12 11:06:46,0.0191
2024-06-12 11:06:48,0.0198
2024-06-12 11:06:50,0.0204
2024-06-12 11:06:52,0.0210
2024-06-12 11:06:54,0.0212
2024-06-12 11:06:56,0.0213
2024-06-12 11:06:58,0.0221
2024-06-12 11:07:00,0.0224
2024-06-12 11:07:02,0.0235
2024-06-12 11:07:04,0.0243
2024-06-12 11:07:06,0.0244
2024-06-12 11:07:08,0.0250
2024-06-12 11:07:10,0.0251
2024-06-12 11:07:12,0.0260
2024-06-12 11:07:14,0.0264
2024-06-12 11:07:16,0.0276
2024-06-12 11:07:18,0.0277
2024-06-12 11:07:20,0.0282
2024-06-12 11:07:22,0.0286
2024-06-12 11:07:24,0.0291
2024-06-12 11:07:26,0.0294
2024-06-12 11:07:28,0.0303
2024-06-12 11:07:30,0.0311
2024-06-12 11:07:32,0.0319
2024-06-12 11:07:34,0.0325
2024-06-12 11:07:36,0.0327
2024-06-12 11:07:38,0.0330
2024-06-12 11:07:40,0.0332
2024-06-12 11:07:42,0.0345
2024-06-12 11:07:44,0.0347
2024-06-12 11:07:46,0.0352
2024-06-12 11:07:48,0.0362
2024-06-12 11:07:50,0.0365
2024-06-12 11:07:52,0.0368
2024-06-12 11:07:54,0.0374
2024-06-12 11:07:56,0.0385
2024-06-12 11:07:58,0.0386
2024-06-12 11:08:00,0.0389
2024-06-12 11:08:02,0.0392
2024-06-12 11:08:04,0.0404
2024-06-12 11:08:06,0.0409
2024-06-12 11:08:08,0.0412
2024-06-12 11:08:10,0.0419
2024-06-12 11:08:12,0.0422
2024-06-12 11:08:14,0.0426
2024-06-12 11:08:16,0.0429
2024-06-12 11:08:18,0.0435
2024-06-12 11:08:20,0.0436
2024-06-12 11:08:22,0.0451
2024-06-12 11:08:24,0.0455
2024-06-12 11:08:26,0.0462
2024-06-12 11:08:28,0.0467
2024-06-12 11:08:30,0.0472
2024-06-12 11:08:32,0.0482
2024-06-12 11:08:34,0.0489
2024-06-12 11:08:36,0.0496
2024-06-12 11:08:38,0.0499
2024-06-12 11:08:40,0.0504
2024-06-12 11:08:42,0.0504
2024-06-12 11:08:44,0.0511
2024-06-12 11:08:46,0.0525
2024-06-12 11:08:48,0.0531
2024-06-12 11:08:50,0.0537
2024-06-12 11:08:52,0.0543
2024-06-12 11:08:54,0.0547
2024-06-12 11:08:56,0.0549
2024-06-12 11:08:58,0.0554
2024-06-12 11:09:00,0.0563
2024-06-12 11:09:02,0.0573
2024-06-12 11:09:04,0.0575
2024-06-12 11:09:06,0.0586
2024-06-12 11:09:08,0.0588
2024-06-12 11:09:10,0.0590
2024-06-12 11:09:12,0.0592
2024-06-12 11:09:14,0.0604
2024-06-12 11:09:16,0.0603
2024-06-12 11:09:18,0.0617
2024-06-12 11:09:20,0.0619
2024-06-12 11:09:22,0.0623
2024-06-12 11:09:24,0.0632
2024-06-12 11:09:26,0.0635
2024-06-12 11:09:28,0.0642
2024-06-12 11:09:30,0.0647
2024-06-12 11:09:32,0.0655
2024-06-12 11:09:34,0.0654
2024-06-12 11:09:36,0.0673
2024-06-12 11:09:38,0.0674
2024-06-12 11:09:40,0.0675
2024-06-12 11:09:42,0.0676
2024-06-12 11:09:44,0.0681
2024-06-12 11:09:46,0.0687
2024-06-12 11:09:48,0.0702
2024-06-12 11:09:50,0.0704
2024-06-12 11:09:52,0.0701
2024-06-12 11:09:54,0.0712
2024-06-12 11:09:56,0.0712
2024-06-12 11:09:58,0.0718
2024-06-12 11:10:00,0.0724
2024-06-12 11:10:02,0.0732
2024-06-12 11:10:04,0.0739
2024-06-12 11:10:06,0.0740
2024-06-12 11:10:08,0.0741
2024-06-12 11:10:10,0.0750
2024-06-12 11:10:12,0.0745
2024-06-12 11:10:14,0.0751
2024-06-12 11:10:16,0.0743
2024-06-12 11:10:18,0.0747
2024-06-12 11:10:20,0.0752
2024-06-12 11:10:22,0.0752
2024-06-12 11:10:24,0.0754
2024-06-12 11:10:26,0.0753
2024-06-12 11:10:28,0.0753
2024-06-12 11:10:30,0.0743
2024-06-12 11:10:32,0.0742
2024-06-12 11:10:34,0.0746
2024-06-12 11:10:36,0.0745
2024-06-12 11:10:38,0.0740
2024-06-12 11:10:40,0.0747
2024-06-12 11:10:42,0.0743
2024-06-12 11:10:44,0.0749
2024-06-12 11:10:46,0.0751
2024-06-12 11:10:48,0.0750
2024-06-12 11:10:50,0.0751
2024-06-12 11:10:52,0.0752
2024-06-12 11:10:54,0.0752
2024-06-12 11:10:56,0.0753
2024-06-12 11:10:58,0.0752
2024-06-12 11:11:00,0.0754
2024-06-12 11:11:02,0.0762
2024-06-12 11:11:04,0.0762
2024-06-12 11:11:06,0.0763
2024-06-12 11:11:08,0.0762
2024-06-12 11:11:10,0.0763
2024-06-12 11:11:12,0.0763
2024-06-12 11:11:14,0.0771
2024-06-12 11:11:16,0.0770
2024-06-12 11:11:18,0.0772
2024-06-12 11:11:20,0.0772
2024-06-12 11:11:22,0.0770
2024-06-12 11:11:24,0.0771
2024-06-12 11:11:26,0.0770
2024-06-12 11:11:28,0.0766
2024-06-12 11:11:30,0.0767
2024-06-12 11:11:32,0.0777
2024-06-12 11:11:34,0.0778
2024-06-12 11:11:36,0.0777
2024-06-12 11:11:38,0.0776
2024-06-12 11:11:40,0.0771
2024-06-12 11:11:42,0.0776
2024-06-12 11:11:44,0.0768
2024-06-12 11:11:46,0.0768
2024-06-12 11:11:48,0.0779
2024-06-12 11:11:50,0.0772
2024-06-12 11:11:52,0.0778
2024-06-12 11:11:54,0.0777
2024-06-12 11:11:56,0.0780
2024-06-12 11:11:58,0.0775
2024-06-12 11:12:00,0.0780
2024-06-12 11:12:02,0.0780
2024-06-12 11:12:04,0.0780
2024-06-12 11:12:06,0.0781
2024-06-12 11:12:08,0.0773
2024-06-12 11:12:10,0.0782
2024-06-12 11:12:12,0.0778
2024-06-12 11:12:14,0.0781
2024-06-12 11:12:16,0.0779
2024-06-12 11:12:18,0.0782
2024-06-12 11:12:20,0.0782
2024-06-12 11:12:22,0.0782
2024-06-12 11:12:24,0.0782
2024-06-12 11:12:26,0.0780
2024-06-12 11:12:28,0.0781
2024-06-12 11:12:30,0.0776
2024-06-12 11:12:32,0.0774
2024-06-12 11:12:34,0.0772
2024-06-12 11:12:36,0.0771
2024-06-12 11:12:38,0.0769
2024-06-12 11:12:40,0.0777
2024-06-12 11:12:42,0.0781
2024-06-12 11:12:44,0.0779
2024-06-12 11:12:46,0.0778
2024-06-12 11:12:48,0.0779
2024-06-12 11:12:50,0.0774
2024-06-12 11:12:52,0.0772
2024-06-12 11:12:54,0.0773
2024-06-12 11:12:56,0.0761
2024-06-12 11:12:58,0.0772
2024-06-12 11:13:00,0.0772
2024-06-12 11:13:02,0.0770
2024-06-12 11:13:04,0.0767
2024-06-12 11:13:06,0.0763
2024-06-12 11:13:08,0.0754
2024-06-12 11:13:10,0.0747
2024-06-12 11:13:12,0.0744
2024-06-12 11:13:14,0.0738
2024-06-12 11:13:16,0.0742
2024-06-12 11:13:18,0.0741
2024-06-12 11:13:20,0.0738
2024-06-12 11:13:22,0.0723
2024-06-12 11:13:24,0.0722
2024-06-12 11:13:26,0.0722
2024-06-12 11:13:28,0.0723
2024-06-12 11:13:30,0.0720
