"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:05:02,87.1
2024-06-12 11:05:04,87.9
2024-06-12 11:05:06,87.3
2024-06-12 11:05:08,86.7
2024-06-12 11:05:10,239
2024-06-12 11:05:12,406
2024-06-12 11:05:14,437
2024-06-12 11:05:16,468
2024-06-12 11:05:18,498
2024-06-12 11:05:20,530
2024-06-12 11:05:22,502
2024-06-12 11:05:24,446
2024-06-12 11:05:26,407
2024-06-12 11:05:28,414
2024-06-12 11:05:30,353
2024-06-12 11:05:32,369
2024-06-12 11:05:34,383
2024-06-12 11:05:36,397
2024-06-12 11:05:38,380
2024-06-12 11:05:40,312
2024-06-12 11:05:42,321
2024-06-12 11:05:44,329
2024-06-12 11:05:46,337
2024-06-12 11:05:48,349
2024-06-12 11:05:50,359
2024-06-12 11:05:52,368
2024-06-12 11:05:54,376
2024-06-12 11:05:56,323
2024-06-12 11:05:58,307
2024-06-12 11:06:00,313
2024-06-12 11:06:02,320
2024-06-12 11:06:04,326
2024-06-12 11:06:06,335
2024-06-12 11:06:08,341
2024-06-12 11:06:10,346
2024-06-12 11:06:12,314
2024-06-12 11:06:14,304
2024-06-12 11:06:16,308
2024-06-12 11:06:18,312
2024-06-12 11:06:20,320
2024-06-12 11:06:22,324
2024-06-12 11:06:24,316
2024-06-12 11:06:26,320
2024-06-12 11:06:28,324
2024-06-12 11:06:30,315
2024-06-12 11:06:32,307
2024-06-12 11:06:34,313
2024-06-12 11:06:36,319
2024-06-12 11:06:38,312
2024-06-12 11:06:40,316
2024-06-12 11:06:42,310
2024-06-12 11:06:44,313
2024-06-12 11:06:46,315
2024-06-12 11:06:48,300
2024-06-12 11:06:50,303
2024-06-12 11:06:52,221
2024-06-12 11:06:54,224
2024-06-12 11:06:56,228
2024-06-12 11:06:58,222
2024-06-12 11:07:00,217
2024-06-12 11:07:02,220
2024-06-12 11:07:04,208
2024-06-12 11:07:06,211
2024-06-12 11:07:08,214
2024-06-12 11:07:10,217
2024-06-12 11:07:12,221
2024-06-12 11:07:14,215
2024-06-12 11:07:16,210
2024-06-12 11:07:18,205
2024-06-12 11:07:20,208
2024-06-12 11:07:22,211
2024-06-12 11:07:24,214
2024-06-12 11:07:26,216
2024-06-12 11:07:28,219
2024-06-12 11:07:30,210
2024-06-12 11:07:32,213
2024-06-12 11:07:34,215
2024-06-12 11:07:36,210
2024-06-12 11:07:38,207
2024-06-12 11:07:40,209
2024-06-12 11:07:42,212
2024-06-12 11:07:44,214
2024-06-12 11:07:46,1222
2024-06-12 11:07:48,1213
2024-06-12 11:07:50,2201
2024-06-12 11:07:52,2203
2024-06-12 11:07:54,2236
2024-06-12 11:07:56,2232
2024-06-12 11:07:58,2301
2024-06-12 11:08:00,2268
2024-06-12 11:08:02,2237
2024-06-12 11:08:04,2275
2024-06-12 11:08:06,2244
2024-06-12 11:08:08,2246
2024-06-12 11:08:10,2208
2024-06-12 11:08:12,2210
2024-06-12 11:08:14,2207
2024-06-12 11:08:16,2259
2024-06-12 11:08:18,2261
2024-06-12 11:08:20,2242
2024-06-12 11:08:22,2239
2024-06-12 11:08:24,2241
2024-06-12 11:08:26,2213
2024-06-12 11:08:28,2182
2024-06-12 11:08:30,2288
2024-06-12 11:08:32,2245
2024-06-12 11:08:34,2247
2024-06-12 11:08:36,2242
2024-06-12 11:08:38,2244
2024-06-12 11:08:40,2246
2024-06-12 11:08:42,2247
2024-06-12 11:08:44,2157
2024-06-12 11:08:46,2229
2024-06-12 11:08:48,2263
2024-06-12 11:08:50,2265
2024-06-12 11:08:52,2267
2024-06-12 11:08:54,2268
2024-06-12 11:08:56,2270
2024-06-12 11:08:58,2185
2024-06-12 11:09:00,2212
2024-06-12 11:09:02,2214
2024-06-12 11:09:04,2252
2024-06-12 11:09:06,2254
2024-06-12 11:09:08,2251
2024-06-12 11:09:10,2354
2024-06-12 11:09:12,2356
2024-06-12 11:09:14,2355
2024-06-12 11:09:16,2350
2024-06-12 11:09:18,2345
2024-06-12 11:09:20,2342
2024-06-12 11:09:22,2343
2024-06-12 11:09:24,2444
2024-06-12 11:09:26,2444
2024-06-12 11:09:28,2402
2024-06-12 11:09:30,2603
2024-06-12 11:09:32,2659
2024-06-12 11:09:34,2661
2024-06-12 11:09:36,2655
2024-06-12 11:09:38,2813
2024-06-12 11:09:40,2817
2024-06-12 11:09:42,2835
2024-06-12 11:09:44,2872
2024-06-12 11:09:46,2841
2024-06-12 11:09:48,2833
2024-06-12 11:09:50,2811
2024-06-12 11:09:52,2811
2024-06-12 11:09:54,2841
2024-06-12 11:09:56,2833
2024-06-12 11:09:58,2650
2024-06-12 11:10:00,2707
2024-06-12 11:10:02,2667
2024-06-12 11:10:04,2596
2024-06-12 11:10:06,2600
2024-06-12 11:10:08,2646
2024-06-12 11:10:10,2656
2024-06-12 11:10:12,2663
2024-06-12 11:10:14,3223
2024-06-12 11:10:16,3257
2024-06-12 11:10:18,3762
2024-06-12 11:10:20,3723
2024-06-12 11:10:22,3754
2024-06-12 11:10:24,3754
2024-06-12 11:10:26,3789
2024-06-12 11:10:28,3789
2024-06-12 11:10:30,3825
2024-06-12 11:10:32,3777
2024-06-12 11:10:34,3748
2024-06-12 11:10:36,3754
2024-06-12 11:10:38,3722
2024-06-12 11:10:40,3711
2024-06-12 11:10:42,4112
2024-06-12 11:10:44,4176
2024-06-12 11:10:46,4143
2024-06-12 11:10:48,4161
2024-06-12 11:10:50,4137
2024-06-12 11:10:52,4545
2024-06-12 11:10:54,4576
2024-06-12 11:10:56,4542
2024-06-12 11:10:58,4579
2024-06-12 11:11:00,4608
2024-06-12 11:11:02,4601
2024-06-12 11:11:04,4581
2024-06-12 11:11:06,4499
2024-06-12 11:11:08,4491
2024-06-12 11:11:10,4537
2024-06-12 11:11:12,4537
2024-06-12 11:11:14,4586
2024-06-12 11:11:16,4677
2024-06-12 11:11:18,4600
2024-06-12 11:11:20,4535
2024-06-12 11:11:22,4478
2024-06-12 11:11:24,4536
2024-06-12 11:11:26,4536
2024-06-12 11:11:28,4610
2024-06-12 11:11:30,4604
2024-06-12 11:11:32,4646
2024-06-12 11:11:34,4580
2024-06-12 11:11:36,4519
2024-06-12 11:11:38,4534
2024-06-12 11:11:40,4534
2024-06-12 11:11:42,4568
2024-06-12 11:11:44,4630
2024-06-12 11:11:46,4649
2024-06-12 11:11:48,4625
2024-06-12 11:11:50,4567
2024-06-12 11:11:52,4602
2024-06-12 11:11:54,4574
2024-06-12 11:11:56,4507
2024-06-12 11:11:58,4553
2024-06-12 11:12:00,4637
2024-06-12 11:12:02,4575
2024-06-12 11:12:04,4640
2024-06-12 11:12:06,4616
2024-06-12 11:12:08,4566
2024-06-12 11:12:10,4566
2024-06-12 11:12:12,4538
2024-06-12 11:12:14,4590
2024-06-12 11:12:16,4576
2024-06-12 11:12:18,4614
2024-06-12 11:12:20,4618
2024-06-12 11:12:22,4622
2024-06-12 11:12:24,74823
2024-06-12 11:12:26,75053
2024-06-12 11:12:28,75459
2024-06-12 11:12:30,75495
2024-06-12 11:12:32,73519
2024-06-12 11:12:34,75689
2024-06-12 11:12:36,76168
2024-06-12 11:12:38,85820
2024-06-12 11:12:40,85718
2024-06-12 11:12:42,85704
2024-06-12 11:12:44,87635
2024-06-12 11:12:46,88237
2024-06-12 11:12:48,88873
2024-06-12 11:12:50,89446
2024-06-12 11:12:52,90027
2024-06-12 11:12:54,90891
2024-06-12 11:12:56,85946
2024-06-12 11:12:58,85942
2024-06-12 11:13:00,85989
2024-06-12 11:13:02,88492
