"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:05:02,0
2024-06-12 11:05:04,0
2024-06-12 11:05:06,294
2024-06-12 11:05:08,304
2024-06-12 11:05:10,593
2024-06-12 11:05:12,606
2024-06-12 11:05:14,606
2024-06-12 11:05:16,606
2024-06-12 11:05:18,606
2024-06-12 11:05:20,606
2024-06-12 11:05:22,590
2024-06-12 11:05:24,620
2024-06-12 11:05:26,603
2024-06-12 11:05:28,603
2024-06-12 11:05:30,603
2024-06-12 11:05:32,603
2024-06-12 11:05:34,603
2024-06-12 11:05:36,578
2024-06-12 11:05:38,587
2024-06-12 11:05:40,606
2024-06-12 11:05:42,615
2024-06-12 11:05:44,615
2024-06-12 11:05:46,615
2024-06-12 11:05:48,615
2024-06-12 11:05:50,605
2024-06-12 11:05:52,603
2024-06-12 11:05:54,583
2024-06-12 11:05:56,607
2024-06-12 11:05:58,607
2024-06-12 11:06:00,607
2024-06-12 11:06:02,607
2024-06-12 11:06:04,607
2024-06-12 11:06:06,607
2024-06-12 11:06:08,607
2024-06-12 11:06:10,606
2024-06-12 11:06:12,606
2024-06-12 11:06:14,606
2024-06-12 11:06:16,606
2024-06-12 11:06:18,606
2024-06-12 11:06:20,606
2024-06-12 11:06:22,595
2024-06-12 11:06:24,595
2024-06-12 11:06:26,607
2024-06-12 11:06:28,609
2024-06-12 11:06:30,599
2024-06-12 11:06:32,599
2024-06-12 11:06:34,587
2024-06-12 11:06:36,587
2024-06-12 11:06:38,600
2024-06-12 11:06:40,609
2024-06-12 11:06:42,620
2024-06-12 11:06:44,605
2024-06-12 11:06:46,605
2024-06-12 11:06:48,590
2024-06-12 11:06:50,601
2024-06-12 11:06:52,601
2024-06-12 11:06:54,601
2024-06-12 11:06:56,601
2024-06-12 11:06:58,602
2024-06-12 11:07:00,620
2024-06-12 11:07:02,620
2024-06-12 11:07:04,610
2024-06-12 11:07:06,607
2024-06-12 11:07:08,599
2024-06-12 11:07:10,599
2024-06-12 11:07:12,599
2024-06-12 11:07:14,591
2024-06-12 11:07:16,609
2024-06-12 11:07:18,619
2024-06-12 11:07:20,619
2024-06-12 11:07:22,619
2024-06-12 11:07:24,608
2024-06-12 11:07:26,599
2024-06-12 11:07:28,599
2024-06-12 11:07:30,589
2024-06-12 11:07:32,592
2024-06-12 11:07:34,603
2024-06-12 11:07:36,591
2024-06-12 11:07:38,591
2024-06-12 11:07:40,591
2024-06-12 11:07:42,591
2024-06-12 11:07:44,618
2024-06-12 11:07:46,618
2024-06-12 11:07:48,602
2024-06-12 11:07:50,589
2024-06-12 11:07:52,589
2024-06-12 11:07:54,598
2024-06-12 11:07:56,609
2024-06-12 11:07:58,609
2024-06-12 11:08:00,611
2024-06-12 11:08:02,611
2024-06-12 11:08:04,596
2024-06-12 11:08:06,596
2024-06-12 11:08:08,596
2024-06-12 11:08:10,596
2024-06-12 11:08:12,600
2024-06-12 11:08:14,616
2024-06-12 11:08:16,616
2024-06-12 11:08:18,601
2024-06-12 11:08:20,601
2024-06-12 11:08:22,601
2024-06-12 11:08:24,601
2024-06-12 11:08:26,601
2024-06-12 11:08:28,613
2024-06-12 11:08:30,621
2024-06-12 11:08:32,612
2024-06-12 11:08:34,594
2024-06-12 11:08:36,594
2024-06-12 11:08:38,594
2024-06-12 11:08:40,605
2024-06-12 11:08:42,595
2024-06-12 11:08:44,595
2024-06-12 11:08:46,599
2024-06-12 11:08:48,599
2024-06-12 11:08:50,599
2024-06-12 11:08:52,618
2024-06-12 11:08:54,618
2024-06-12 11:08:56,618
2024-06-12 11:08:58,589
2024-06-12 11:09:00,589
2024-06-12 11:09:02,602
2024-06-12 11:09:04,602
2024-06-12 11:09:06,602
2024-06-12 11:09:08,620
2024-06-12 11:09:10,620
2024-06-12 11:09:12,620
2024-06-12 11:09:14,586
2024-06-12 11:09:16,603
2024-06-12 11:09:18,603
2024-06-12 11:09:20,603
2024-06-12 11:09:22,603
2024-06-12 11:09:24,605
2024-06-12 11:09:26,605
2024-06-12 11:09:28,605
2024-06-12 11:09:30,589
2024-06-12 11:09:32,602
2024-06-12 11:09:34,602
2024-06-12 11:09:36,602
2024-06-12 11:09:38,618
2024-06-12 11:09:40,1110
2024-06-12 11:09:42,1626
2024-06-12 11:09:44,1626
2024-06-12 11:09:46,1661
2024-06-12 11:09:48,1661
2024-06-12 11:09:50,1661
2024-06-12 11:09:52,1368
2024-06-12 11:09:54,1368
2024-06-12 11:09:56,1368
2024-06-12 11:09:58,1071
2024-06-12 11:10:00,1053
2024-06-12 11:10:02,1053
2024-06-12 11:10:04,1053
2024-06-12 11:10:06,1082
2024-06-12 11:10:08,1065
2024-06-12 11:10:10,1078
2024-06-12 11:10:12,1078
2024-06-12 11:10:14,1054
2024-06-12 11:10:16,1054
2024-06-12 11:10:18,1054
2024-06-12 11:10:20,1054
2024-06-12 11:10:22,1079
2024-06-12 11:10:24,1079
2024-06-12 11:10:26,1071
2024-06-12 11:10:28,1071
2024-06-12 11:10:30,1039
2024-06-12 11:10:32,1039
2024-06-12 11:10:34,1039
2024-06-12 11:10:36,1071
2024-06-12 11:10:38,1095
2024-06-12 11:10:40,1092
2024-06-12 11:10:42,1060
2024-06-12 11:10:44,1060
2024-06-12 11:10:46,1060
2024-06-12 11:10:48,1060
2024-06-12 11:10:50,1060
2024-06-12 11:10:52,1042
2024-06-12 11:10:54,1031
2024-06-12 11:10:56,1075
2024-06-12 11:10:58,1075
2024-06-12 11:11:00,1075
2024-06-12 11:11:02,1075
2024-06-12 11:11:04,1075
2024-06-12 11:11:06,1075
2024-06-12 11:11:08,1057
2024-06-12 11:11:10,1046
2024-06-12 11:11:12,1048
2024-06-12 11:11:14,1066
2024-06-12 11:11:16,1066
2024-06-12 11:11:18,1066
2024-06-12 11:11:20,1066
2024-06-12 11:11:22,1089
2024-06-12 11:11:24,1089
2024-06-12 11:11:26,1070
2024-06-12 11:11:28,1035
2024-06-12 11:11:30,1045
2024-06-12 11:11:32,1045
2024-06-12 11:11:34,1072
2024-06-12 11:11:36,1072
2024-06-12 11:11:38,1072
2024-06-12 11:11:40,1072
2024-06-12 11:11:42,1046
2024-06-12 11:11:44,1074
2024-06-12 11:11:46,1055
2024-06-12 11:11:48,1055
2024-06-12 11:11:50,1058
2024-06-12 11:11:52,1076
2024-06-12 11:11:54,1076
2024-06-12 11:11:56,1076
2024-06-12 11:11:58,1089
2024-06-12 11:12:00,1074
2024-06-12 11:12:02,1074
2024-06-12 11:12:04,1042
2024-06-12 11:12:06,1042
2024-06-12 11:12:08,1059
2024-06-12 11:12:10,1076
2024-06-12 11:12:12,1076
2024-06-12 11:12:14,1093
2024-06-12 11:12:16,1069
2024-06-12 11:12:18,1053
2024-06-12 11:12:20,1053
2024-06-12 11:12:22,1053
2024-06-12 11:12:24,1053
2024-06-12 11:12:26,1074
2024-06-12 11:12:28,1074
2024-06-12 11:12:30,1048
2024-06-12 11:12:32,1076
2024-06-12 11:12:34,1059
2024-06-12 11:12:36,1065
2024-06-12 11:12:38,1065
2024-06-12 11:12:40,1065
2024-06-12 11:12:42,1065
2024-06-12 11:12:44,1065
2024-06-12 11:12:46,1038
2024-06-12 11:12:48,1059
2024-06-12 11:12:50,1085
2024-06-12 11:12:52,1085
2024-06-12 11:12:54,1054
2024-06-12 11:12:56,1054
2024-06-12 11:12:58,1054
2024-06-12 11:13:00,1949
2024-06-12 11:13:02,1949
2024-06-12 11:13:04,1976
2024-06-12 11:13:06,1976
2024-06-12 11:13:08,1976
2024-06-12 11:13:10,1957
2024-06-12 11:13:12,2864
2024-06-12 11:13:14,2839
2024-06-12 11:13:16,2839
2024-06-12 11:13:18,2925
2024-06-12 11:13:20,2925
2024-06-12 11:13:22,2873
2024-06-12 11:13:24,2873
2024-06-12 11:13:26,2816
2024-06-12 11:13:28,2816
2024-06-12 11:13:30,2816
2024-06-12 11:13:32,2866
2024-06-12 11:13:34,2925
2024-06-12 11:13:36,2925
2024-06-12 11:13:38,2925
2024-06-12 11:13:40,2759
2024-06-12 11:13:42,2839
2024-06-12 11:13:44,2839
2024-06-12 11:13:46,2894
2024-06-12 11:13:48,2894
2024-06-12 11:13:50,2894
2024-06-12 11:13:52,2894
2024-06-12 11:13:54,2894
2024-06-12 11:13:56,2894
2024-06-12 11:13:58,2922
2024-06-12 11:14:00,2870
2024-06-12 11:14:02,2870
2024-06-12 11:14:04,2870
2024-06-12 11:14:06,2870
2024-06-12 11:14:08,2870
2024-06-12 11:14:10,2870
2024-06-12 11:14:12,2870
2024-06-12 11:14:14,2926
2024-06-12 11:14:16,2926
2024-06-12 11:14:18,2835
2024-06-12 11:14:20,2835
2024-06-12 11:14:22,2835
2024-06-12 11:14:24,2365
2024-06-12 11:14:26,2327
2024-06-12 11:14:28,2327
2024-06-12 11:14:30,1836
2024-06-12 11:14:32,1836
2024-06-12 11:14:34,1787
2024-06-12 11:14:36,1787
2024-06-12 11:14:38,1787
2024-06-12 11:14:40,1768
2024-06-12 11:14:42,1809
2024-06-12 11:14:44,1803
2024-06-12 11:14:46,1803
2024-06-12 11:14:48,1803
2024-06-12 11:14:50,1803
2024-06-12 11:14:52,1822
2024-06-12 11:14:54,1822
2024-06-12 11:14:56,1822
2024-06-12 11:14:58,1822
2024-06-12 11:15:00,1864
2024-06-12 11:15:02,1830
2024-06-12 11:15:04,1803
2024-06-12 11:15:06,1803
2024-06-12 11:15:08,1774
2024-06-12 11:15:10,1821
2024-06-12 11:15:12,1793
2024-06-12 11:15:14,1849
2024-06-12 11:15:16,1849
2024-06-12 11:15:18,1849
2024-06-12 11:15:20,1797
