"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-6n4d7","loadgenerator-7c6fb64488-87k5l","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-12 11:05:02,111,138,140,155,314,161,191,3777,152,159,323,69.0,215
2024-06-12 11:05:04,111,138,140,158,314,161,212,3749,151,159,329,69.0,220
2024-06-12 11:05:06,115,138,140,163,314,161,232,3995,151,159,329,73.0,224
2024-06-12 11:05:08,116,138,140,163,314,161,171,3965,151,159,329,73.0,224
2024-06-12 11:05:10,116,137,140,163,313,161,171,3935,151,159,326,73.0,224
2024-06-12 11:05:12,116,137,180,163,313,2443,171,3906,152,712,326,73.0,224
2024-06-12 11:05:14,116,137,180,163,302,2556,474,3876,152,724,326,70.9,224
2024-06-12 11:05:16,116,137,182,163,321,2556,505,3846,152,747,326,73.4,224
2024-06-12 11:05:18,111,133,182,555,321,2556,536,3816,152,747,472,73.4,224
2024-06-12 11:05:20,198,132,182,555,321,2556,567,3787,147,747,472,73.4,217
2024-06-12 11:05:22,198,420,182,575,321,2556,598,3757,165,747,471,71.1,291
2024-06-12 11:05:24,198,420,182,575,319,2556,629,3879,164,2195,488,143,291
2024-06-12 11:05:26,198,420,182,575,319,2556,660,4002,164,2195,488,143,291
2024-06-12 11:05:28,198,420,176,575,319,2559,1137,3970,164,2195,488,143,291
2024-06-12 11:05:30,198,420,176,575,339,2637,1189,3937,164,2195,671,143,291
2024-06-12 11:05:32,198,420,483,575,339,14546,1240,3905,164,2314,671,142,291
2024-06-12 11:05:34,198,778,483,1427,339,14546,1291,3873,164,2314,671,219,291
2024-06-12 11:05:36,192,783,483,1437,339,14546,1342,3841,164,2314,671,219,291
2024-06-12 11:05:38,368,808,483,1486,345,14546,1831,3808,200,2314,671,219,286
2024-06-12 11:05:40,380,808,483,1486,345,14546,1898,3776,200,2239,671,219,432
2024-06-12 11:05:42,380,808,483,1486,345,24150,1966,4046,200,5581,945,219,432
2024-06-12 11:05:44,380,808,491,1486,373,24150,2033,4011,200,5581,945,219,432
2024-06-12 11:05:46,380,808,507,2421,373,25223,2100,3976,200,5581,945,219,432
2024-06-12 11:05:48,380,808,924,2421,373,25223,2167,3942,200,5889,945,219,432
2024-06-12 11:05:50,380,808,924,2421,373,25223,2235,3907,223,5889,945,212,432
2024-06-12 11:05:52,610,1386,924,2421,375,25223,2302,3872,230,5889,945,396,536
2024-06-12 11:05:54,610,1466,924,2541,375,25223,3014,3837,230,9156,954,408,537
2024-06-12 11:05:56,636,1466,924,2541,375,25223,3100,3802,230,9156,986,408,540
2024-06-12 11:05:58,636,1466,924,2541,375,24451,3185,3768,230,9156,1456,408,558
2024-06-12 11:06:00,636,1466,924,2541,363,48358,3271,3979,230,9156,1456,408,558
2024-06-12 11:06:02,636,1466,969,2465,409,48358,3357,3942,258,9156,1456,408,558
2024-06-12 11:06:04,636,1466,969,3938,409,48358,3442,3905,258,9577,1456,408,558
2024-06-12 11:06:06,636,1466,934,3938,415,48358,3528,3868,259,9577,1456,583,741
2024-06-12 11:06:08,615,2293,1680,3938,415,48358,3237,3830,259,9577,1456,583,741
2024-06-12 11:06:10,997,2293,1680,4138,415,48358,3237,3793,259,9577,1456,604,741
2024-06-12 11:06:12,997,2370,1680,4138,415,48358,3237,4003,301,15086,2058,604,741
2024-06-12 11:06:14,997,2370,1680,4138,415,48358,5003,3964,301,15086,2058,604,770
2024-06-12 11:06:16,997,2370,1680,4138,415,73948,5114,3924,301,15503,2058,604,770
